date,IBUY_2022_Q2,meta
2022-04-21 00:00:00,419.38798404880276,
2022-04-21 10:00:00,450.80384166589,
2022-04-21 10:30:00,458.3239150152624,
2022-04-21 12:00:00,409.06460640372245,
2022-04-21 13:30:00,443.3301725067349,
2022-04-21 15:00:00,420.47850556892104,
2022-04-21 15:30:30,420.47850556892104,
2022-04-21 23:59:59,439.67097337193525,c
2022-04-22 00:00:00,481.42890481790073,
2022-04-22 10:00:00,437.25401051212316,
2022-04-22 10:30:00,427.8343677893271,
2022-04-22 12:00:00,373.7900214534417,
2022-04-22 13:30:00,379.2309199167772,
2022-04-22 15:00:00,400.1575321567551,
2022-04-22 15:30:30,400.1575321567551,
2022-04-22 23:59:59,409.69676462701966,w
2022-04-25 00:00:00,388.68224344096416,
2022-04-25 10:00:00,361.1318879831888,
2022-04-25 10:30:00,368.1219369532728,
2022-04-25 12:00:00,309.1655925141205,
2022-04-25 13:30:00,267.6563685184839,
2022-04-25 15:00:00,289.14752026085625,
2022-04-25 15:30:30,289.14752026085625,
2022-04-25 23:59:59,300.8385343940083,c
2022-04-26 00:00:00,283.7324490320633,
2022-04-26 10:00:00,236.752351382999,
2022-04-26 10:30:00,256.74703419554476,
2022-04-26 12:00:00,254.35046268316614,
2022-04-26 13:30:00,258.9160370707302,
2022-04-26 15:00:00,273.7729037265333,
2022-04-26 15:30:30,273.7729037265333,
2022-04-26 23:59:59,237.02913153635507,c
2022-04-27 00:00:00,175.4224382871107,
2022-04-27 10:00:00,185.16966151583438,
2022-04-27 10:30:00,117.59754905646878,
2022-04-27 12:00:00,92.36701545576761,
2022-04-27 13:30:00,111.65566977615299,
2022-04-27 15:00:00,99.38470329549523,
2022-04-27 15:30:30,99.38470329549523,
2022-04-27 23:59:59,101.73382942485887,c
2022-04-28 00:00:00,52.85613620900699,
2022-04-28 10:00:00,25.959030282046342,
2022-04-28 10:30:00,-4.11950361093227,
2022-04-28 12:00:00,3.0126580136472967,
2022-04-28 13:30:00,36.629519904882045,
2022-04-28 15:00:00,67.09638398138122,
2022-04-28 15:30:30,67.09638398138122,
2022-04-28 23:59:59,82.55934997832492,c
2022-04-29 00:00:00,-32.760885587929806,
2022-04-29 10:00:00,76.8380672418507,
2022-04-29 10:30:00,48.727900081375765,
2022-04-29 12:00:00,12.884807008395683,
2022-04-29 13:30:00,22.009569571411475,
2022-04-29 15:00:00,13.330376875822822,
2022-04-29 15:30:30,13.330376875822822,
2022-04-29 23:59:59,16.374064642305257,w
2022-05-02 00:00:00,5.2004144087668465,
2022-05-02 10:00:00,53.73722208650611,
2022-05-02 10:30:00,92.78388800525431,
2022-05-02 12:00:00,76.95325246856441,
2022-05-02 13:30:00,64.09863554624008,
2022-05-02 15:00:00,63.59601225782785,
2022-05-02 15:30:30,63.59601225782785,
2022-05-02 23:59:59,103.47858741227242,c
2022-05-03 00:00:00,60.409219407041064,
2022-05-03 10:00:00,202.03900024525706,
2022-05-03 10:30:00,209.724134632939,
2022-05-03 12:00:00,215.03737275047683,
2022-05-03 13:30:00,231.51829288843396,
2022-05-03 15:00:00,231.46887324893214,
2022-05-03 15:30:30,231.46887324893214,
2022-05-03 23:59:59,228.1454031338692,c
2022-05-04 00:00:00,116.72052139169796,
2022-05-04 10:00:00,72.29693327962491,
2022-05-04 10:30:00,60.09542728952124,
2022-05-04 12:00:00,97.42233053046402,
2022-05-04 13:30:00,149.35975898359334,
2022-05-04 15:00:00,148.29894995022755,
2022-05-04 15:30:30,148.29894995022755,s
2022-05-04 23:59:59,147.75750534009853,c
2022-05-05 00:00:00,24.075810060419144,
2022-05-05 10:00:00,19.664268671028594,
2022-05-05 10:30:00,12.607872773352256,
2022-05-05 12:00:00,48.87828849615789,
2022-05-05 13:30:00,39.03790411433488,
2022-05-05 15:00:00,4.039333139165592,
2022-05-05 15:30:30,4.039333139165592,
2022-05-05 23:59:59,0.0,a
2022-05-06 00:00:00,129.68013252976675,
2022-05-06 10:00:00,80.58264708699949,
2022-05-06 10:30:00,55.80201361997365,
2022-05-06 12:00:00,121.46463628508218,
2022-05-06 13:30:00,149.87016173003008,
2022-05-06 15:00:00,110.3901503298664,
2022-05-06 15:30:30,110.3901503298664,
2022-05-06 23:59:59,125.83661641532694,w
2022-05-09 00:00:00,153.00503633831204,
2022-05-09 10:00:00,148.07846482107857,
2022-05-09 10:30:00,159.71013386537106,
2022-05-09 12:00:00,151.97088737234208,
2022-05-09 13:30:00,135.31019467721035,
2022-05-09 15:00:00,144.2902847851899,
2022-05-09 15:30:30,144.2902847851899,
2022-05-09 23:59:59,106.05185659020867,c
2022-05-10 00:00:00,-29.143076374564544,
2022-05-10 10:00:00,-3.765434572911772,
2022-05-10 10:30:00,51.742386008229005,
2022-05-10 12:00:00,39.230068564022304,
2022-05-10 13:30:00,52.64038570565549,
2022-05-10 15:00:00,35.675410800189184,
2022-05-10 15:30:30,35.675410800189184,u
2022-05-10 23:59:59,36.7274417174342,c
2022-05-11 00:00:00,-9.737488344194844,
2022-05-11 10:00:00,-81.13294217334806,
2022-05-11 10:30:00,-45.47363926219964,
2022-05-11 12:00:00,-37.610217282199756,
2022-05-11 13:30:00,-80.75484567919898,
2022-05-11 15:00:00,-111.70780961823039,
2022-05-11 15:30:30,-111.70780961823039,
2022-05-11 23:59:59,-154.86716043549472,e
2022-05-12 00:00:00,-106.91855297295547,
2022-05-12 10:00:00,-131.32593905747513,
2022-05-12 10:30:00,-46.51549847669344,
2022-05-12 12:00:00,13.73754428026291,
2022-05-12 13:30:00,29.462202334261292,
2022-05-12 15:00:00,10.879282991977334,
2022-05-12 15:30:30,10.879282991977334,
2022-05-12 23:59:59,-33.32874536778672,c
2022-05-13 00:00:00,26.66413059779302,
2022-05-13 10:00:00,-16.161679388814036,
2022-05-13 10:30:00,-94.33247414188486,
2022-05-13 12:00:00,-89.18487362219139,
2022-05-13 13:30:00,-91.96390940116612,
2022-05-13 15:00:00,-104.42435697295514,
2022-05-13 15:30:30,-104.42435697295514,
2022-05-13 23:59:59,-54.49762237839627,w
2022-05-16 00:00:00,-39.757588159351144,
2022-05-16 10:00:00,-14.684796182209084,
2022-05-16 10:30:00,-29.896083871793735,
2022-05-16 12:00:00,-23.07131537782061,
2022-05-16 13:30:00,-41.6838087728122,
2022-05-16 15:00:00,-37.71123086837497,
2022-05-16 15:30:30,-37.71123086837497,
2022-05-16 23:59:59,-56.92350325842199,c
2022-05-17 00:00:00,-163.63649372487885,
2022-05-17 10:00:00,-170.13308440634796,
2022-05-17 10:30:00,-179.04492098795708,
2022-05-17 12:00:00,-123.4958146131803,
2022-05-17 13:30:00,-141.80689242952303,
2022-05-17 15:00:00,-126.45417594056926,
2022-05-17 15:30:30,-126.45417594056926,
2022-05-17 23:59:59,-89.80221486788355,c
2022-05-18 00:00:00,-132.18527946495215,
2022-05-18 10:00:00,-112.0217360758893,
2022-05-18 10:30:00,-122.01581628293206,
2022-05-18 12:00:00,-117.49164009650553,
2022-05-18 13:30:00,-159.47530785962226,
2022-05-18 15:00:00,-159.33728278588615,
2022-05-18 15:30:30,-159.33728278588615,
2022-05-18 23:59:59,-162.5680353410114,c
