date,SOXX_TRANS_2021_Q2,meta
2021-06-11 12:00:00,42.991581317934326,
2021-06-11 13:30:00,35.870052333336275,
2021-06-11 15:00:00,43.099278679526726,
2021-06-11 15:30:30,43.099278679526726,
2021-06-11 23:59:59,43.96366480978978,w
2021-06-14 00:00:00,39.194104988186936,
2021-06-14 10:00:00,18.930895116063567,
2021-06-14 10:30:00,19.345294287925384,
2021-06-14 12:00:00,7.935344697159643,
2021-06-14 13:30:00,-7.806533616478337,
2021-06-14 15:00:00,-17.886113391638858,
2021-06-14 15:30:30,-17.886113391638858,
2021-06-14 23:59:59,-14.393976897649152,c
2021-06-15 00:00:00,-15.850089626283417,
2021-06-15 10:00:00,-8.109918139811885,
2021-06-15 10:30:00,-4.464983762508343,
2021-06-15 12:00:00,-1.976554380952333,
2021-06-15 13:30:00,-3.7789350552559107,
2021-06-15 15:00:00,-2.4946627175333056,
2021-06-15 15:30:30,-2.4946627175333056,
2021-06-15 23:59:59,-0.06020278001995294,c
2021-06-16 00:00:00,-12.403205483823431,
2021-06-16 10:00:00,-9.64356154828631,
2021-06-16 10:30:00,-13.017075609446366,
2021-06-16 12:00:00,-14.33449598495072,
2021-06-16 13:30:00,-13.543232700274242,
2021-06-16 15:00:00,-4.516562825131345,
2021-06-16 15:30:30,-4.516562825131345,
2021-06-16 23:59:59,-6.566591922631652,c
2021-06-17 00:00:00,8.819635657376573,
2021-06-17 10:00:00,51.44856629276071,
2021-06-17 10:30:00,42.54378898047879,
2021-06-17 12:00:00,46.86866412503287,
2021-06-17 13:30:00,65.90942757342847,
2021-06-17 15:00:00,55.08404817923918,
2021-06-17 15:30:30,55.08404817923918,
2021-06-17 23:59:59,42.683793875060694,c
2021-06-18 00:00:00,23.689398050768645,
2021-06-18 10:00:00,37.471285758692915,
2021-06-18 10:30:00,38.44858112544953,
2021-06-18 12:00:00,50.41289175128373,
2021-06-18 13:30:00,47.932808957905415,
2021-06-18 15:00:00,45.57221430500646,
2021-06-18 15:30:30,45.57221430500646,
2021-06-18 23:59:59,31.420197039953415,e
2021-06-21 00:00:00,23.792018621148067,
2021-06-21 10:00:00,-7.6137544228269824,
2021-06-21 10:30:00,-2.804180444520064,
2021-06-21 12:00:00,-11.112131926373731,
2021-06-21 13:30:00,-11.508930939438393,
2021-06-21 15:00:00,-15.449152018820925,
2021-06-21 15:30:30,-15.449152018820925,
2021-06-21 23:59:59,-28.788159459988627,c
2021-06-22 00:00:00,-13.898806092797471,
2021-06-22 10:00:00,-21.129071117449932,
2021-06-22 10:30:00,-23.99425159664439,
2021-06-22 12:00:00,-34.11067284652955,
2021-06-22 13:30:00,-26.04781647582842,
2021-06-22 15:00:00,-28.531328488651713,
2021-06-22 15:30:30,-28.531328488651713,
2021-06-22 23:59:59,-40.052258741016175,c
2021-06-23 00:00:00,-32.217446941650365,
2021-06-23 10:00:00,-28.749064122871612,
2021-06-23 10:30:00,-39.118950201402605,
2021-06-23 12:00:00,-29.549232730492253,
2021-06-23 13:30:00,-46.76180183364836,
2021-06-23 15:00:00,-41.32921022141329,
2021-06-23 15:30:30,-41.32921022141329,
2021-06-23 23:59:59,-41.80832819860562,c
2021-06-24 00:00:00,-38.89513221967897,
2021-06-24 10:00:00,-21.50755977857559,
2021-06-24 10:30:00,-19.22696753753799,
2021-06-24 12:00:00,-13.078163736537235,
2021-06-24 13:30:00,-12.491624883389848,
2021-06-24 15:00:00,-21.991207087253002,
2021-06-24 15:30:30,-21.991207087253002,
2021-06-24 23:59:59,-27.791743787664956,c
2021-06-25 00:00:00,-26.689629984004178,
2021-06-25 10:00:00,-33.31356348629883,
2021-06-25 10:30:00,-38.655928465693734,
2021-06-25 12:00:00,-35.079727808722474,
2021-06-25 13:30:00,-27.565176642120008,
2021-06-25 15:00:00,-30.665235729244433,
