date,MXN_FTSE_2022_Q1,meta
2022-01-07 00:00:00,-113.06984372608076,
2022-01-07 10:00:00,-138.11817958969687,
2022-01-07 10:30:00,-124.81436433119143,
2022-01-07 12:00:00,-130.96427415823837,
2022-01-07 13:30:00,-134.99931551787995,
2022-01-07 15:00:00,-171.33771729226328,
2022-01-07 15:30:30,-171.33771729226328,
2022-01-07 23:59:59,-169.6160908325578,w
2022-01-10 00:00:00,-175.33138493671413,
2022-01-10 10:00:00,-126.95152147913586,
2022-01-10 10:30:00,-136.36862932075474,
2022-01-10 12:00:00,-91.1950828497911,
2022-01-10 13:30:00,-95.78357446976997,
2022-01-10 15:00:00,-105.65414712724487,
2022-01-10 15:30:30,-105.65414712724487,
2022-01-10 23:59:59,-113.79129842799284,c
2022-01-11 00:00:00,-151.46794819014076,
2022-01-11 10:00:00,-110.57207202438985,
2022-01-11 10:30:00,-112.65809614392447,
2022-01-11 12:00:00,-65.62473830245972,
2022-01-11 13:30:00,-154.69171376085842,
2022-01-11 15:00:00,-150.82384348798996,
2022-01-11 15:30:30,-150.82384348798996,
2022-01-11 23:59:59,-174.00935468050193,c
2022-01-12 00:00:00,-183.24368629006767,
2022-01-12 10:00:00,-186.75141637587058,
2022-01-12 10:30:00,-169.80167597844502,
2022-01-12 12:00:00,-215.22075509809338,
2022-01-12 13:30:00,-282.03358396786416,
2022-01-12 15:00:00,-306.62642115943527,
2022-01-12 15:30:30,-306.62642115943527,
2022-01-12 23:59:59,-321.7194590880049,c
2022-01-13 00:00:00,-321.3991645404071,
2022-01-13 10:00:00,-337.66508530090186,
2022-01-13 10:30:00,-224.42402151730448,
2022-01-13 12:00:00,-238.96421331544798,
2022-01-13 13:30:00,-197.3589035734749,
2022-01-13 15:00:00,-218.7117215872936,
2022-01-13 15:30:30,-218.7117215872936,
2022-01-13 23:59:59,-232.68667467629757,c
2022-01-14 00:00:00,-236.20355126473623,
2022-01-14 10:00:00,-304.92086017169777,
2022-01-14 10:30:00,-285.88870127583687,
2022-01-14 12:00:00,-305.0535474399644,
2022-01-14 13:30:00,-278.4752824127854,
2022-01-14 15:00:00,-272.9146939571647,
2022-01-14 15:30:30,-272.9146939571647,
2022-01-14 23:59:59,-322.6879285258042,w
2022-01-17 00:00:00,-294.0784369267103,
2022-01-17 10:00:00,-338.2467195319259,
2022-01-17 10:30:00,-306.4878339170609,
2022-01-17 12:00:00,-284.51027479097456,
2022-01-17 13:30:00,-278.3871272265337,
2022-01-17 15:00:00,-265.8202714179206,
2022-01-17 15:30:30,-265.8202714179206,
2022-01-17 23:59:59,-306.58667374497963,c
2022-01-18 00:00:00,-345.54276020610587,
2022-01-18 10:00:00,-302.75502951674616,
2022-01-18 10:30:00,-233.2113324868219,
