date,AS_FTSE_DM_STAY_2022_Q2,meta
2022-04-08 00:00:00,160.60347017449192,
2022-04-08 01:00:00,146.7790512304317,
2022-04-08 02:30:00,157.287203853059,
2022-04-08 03:00:00,159.3784161938274,
2022-04-08 18:30:00,159.3784161938274,
2022-04-08 20:00:00,159.3784161938274,
2022-04-08 23:00:00,159.3784161938274,
2022-04-08 23:59:59,163.1595449576806,w
2022-04-11 00:00:00,148.62034965207442,
2022-04-11 01:00:00,132.2048672762672,
2022-04-11 02:30:00,140.86662208499416,
2022-04-11 03:00:00,138.3349012273157,
2022-04-11 18:30:00,139.46139936467392,
2022-04-11 20:00:00,139.95524227463085,
2022-04-11 23:00:00,139.16824042429542,
2022-04-11 23:59:59,145.97741922516218,c
2022-04-12 00:00:00,140.1210538918372,
2022-04-12 01:00:00,137.16181838451132,
2022-04-12 02:30:00,136.09150959701023,
2022-04-12 03:00:00,135.71573309240557,
2022-04-12 18:30:00,138.6900494697048,
2022-04-12 20:00:00,138.88295895710493,
2022-04-12 23:00:00,169.66099228732222,
2022-04-12 23:59:59,158.8020834863008,c
2022-04-13 00:00:00,164.5116746660651,
2022-04-13 01:00:00,159.96896023310427,
2022-04-13 02:30:00,166.9307585508861,
2022-04-13 03:00:00,165.7620630917538,
2022-04-13 18:30:00,166.84677066616808,
2022-04-13 20:00:00,168.01868396450604,
2022-04-13 23:00:00,158.55930619654862,
2022-04-13 23:59:59,166.00207768823032,c
2022-04-14 00:00:00,153.86836651191038,
2022-04-14 01:00:00,161.1584719926595,
2022-04-14 02:30:00,151.2623789916582,
2022-04-14 03:00:00,153.19152242952256,
2022-04-14 18:30:00,153.19152242952256,
2022-04-14 20:00:00,153.19152242952256,
2022-04-14 23:00:00,142.76839019793587,
2022-04-14 23:59:59,143.60429925628804,c
2022-04-15 00:00:00,145.26270673398585,
2022-04-15 01:00:00,144.02414986464356,
2022-04-15 02:30:00,144.02414986464356,
2022-04-15 03:00:00,144.02414986464356,
2022-04-15 18:30:00,144.02414986464356,
2022-04-15 20:00:00,144.02414986464356,
2022-04-15 23:00:00,144.02414986464356,
2022-04-15 23:59:59,139.0407370686547,w
2022-04-18 00:00:00,133.13829343915927,
2022-04-18 01:00:00,128.47400830676605,
2022-04-18 02:30:00,125.53341132810706,
2022-04-18 03:00:00,126.15330558182663,
2022-04-18 18:30:00,124.38484419972463,
2022-04-18 20:00:00,124.76688333759259,
2022-04-18 23:00:00,173.7868195785358,
2022-04-18 23:59:59,186.18545740836393,c
2022-04-19 00:00:00,180.37231844330313,
2022-04-19 01:00:00,178.476809430637,
2022-04-19 02:30:00,173.33147477411836,
2022-04-19 03:00:00,174.2579372998838,
2022-04-19 18:30:00,174.6257425472719,
2022-04-19 20:00:00,175.50185370770654,
2022-04-19 23:00:00,129.72188340466926,
2022-04-19 23:59:59,129.39656092452492,c
2022-04-20 00:00:00,120.10269343228993,
2022-04-20 01:00:00,119.01598227430449,
2022-04-20 02:30:00,116.02756417861417,
2022-04-20 03:00:00,118.02173434486167,
2022-04-20 18:30:00,121.30682510476578,
2022-04-20 20:00:00,120.88350162726351,
2022-04-20 23:00:00,140.0036799165339,
2022-04-20 23:59:59,141.12811049816023,c
2022-04-21 00:00:00,148.0440163125875,
2022-04-21 01:00:00,152.2608804261701,
2022-04-21 02:30:00,148.73758833643285,
2022-04-21 03:00:00,148.4877891858584,
2022-04-21 18:30:00,152.49734922854145,
2022-04-21 20:00:00,153.85510259915065,
2022-04-21 23:00:00,138.93715445328777,
2022-04-21 23:59:59,133.74084636751587,c
2022-04-22 00:00:00,131.85039475232458,
2022-04-22 01:00:00,135.79343131258508,
2022-04-22 02:30:00,147.81670366616245,
2022-04-22 03:00:00,148.7553239013235,
2022-04-22 18:30:00,148.7553239013235,
2022-04-22 20:00:00,148.7553239013235,
2022-04-22 23:00:00,148.7553239013235,
2022-04-22 23:59:59,148.19437075147152,w
2022-04-25 00:00:00,172.49918400425025,
2022-04-25 01:00:00,161.43225765504837,
2022-04-25 02:30:00,157.82849955494655,
2022-04-25 03:00:00,156.58580787445865,
2022-04-25 18:30:00,159.50808473033766,
2022-04-25 20:00:00,160.98652999514445,
2022-04-25 23:00:00,146.63983987579851,
2022-04-25 23:59:59,151.23141038161165,c
2022-04-26 00:00:00,144.27110283800184,
2022-04-26 01:00:00,137.31392217300146,
2022-04-26 02:30:00,140.96944111985292,
2022-04-26 03:00:00,142.0171724382943,
2022-04-26 18:30:00,144.11553013313744,
2022-04-26 20:00:00,142.72002834561968,
2022-04-26 23:00:00,125.41497804776148,
2022-04-26 23:59:59,125.5727461404006,c
2022-04-27 00:00:00,133.28986300846384,
2022-04-27 01:00:00,133.60364928366133,
2022-04-27 02:30:00,124.03945705783849,
2022-04-27 03:00:00,125.1855366748608,
2022-04-27 18:30:00,124.65555966456472,
2022-04-27 20:00:00,124.10890247439133,
