date,AS_NKY_2021_Q3,meta
2021-07-30 00:00:00,-283.81537360602346,
2021-07-30 01:00:00,-278.05126908582963,
2021-07-30 02:30:00,-278.05126908582963,
2021-07-30 03:00:00,-278.05126908582963,
2021-07-30 18:30:00,-278.05126908582963,
2021-07-30 20:00:00,-278.05126908582963,
2021-07-30 23:00:00,-278.05126908582963,
2021-07-30 23:59:59,-267.0424008244984,w
2021-08-02 00:00:00,-223.9011448099436,
2021-08-02 01:00:00,-225.9387372404529,
2021-08-02 02:30:00,-225.9387372404529,
2021-08-02 03:00:00,-225.9387372404529,
2021-08-02 18:30:00,-225.9387372404529,
2021-08-02 20:00:00,-225.9387372404529,
2021-08-02 23:00:00,-225.9387372404529,
2021-08-02 23:59:59,-172.88242773244934,c
2021-08-03 00:00:00,-153.373096249149,
2021-08-03 01:00:00,-159.0944615966094,
2021-08-03 02:30:00,-159.0944615966094,
2021-08-03 03:00:00,-159.0944615966094,
2021-08-03 18:30:00,-159.0944615966094,
2021-08-03 20:00:00,-159.0944615966094,
2021-08-03 23:00:00,-159.0944615966094,
2021-08-03 23:59:59,-186.81866617007847,c
2021-08-04 00:00:00,-168.48050025301794,
2021-08-04 01:00:00,-169.71826838072286,
2021-08-04 02:30:00,-169.71826838072286,
2021-08-04 03:00:00,-169.71826838072286,
2021-08-04 18:30:00,-169.71826838072286,
2021-08-04 20:00:00,-169.71826838072286,
2021-08-04 23:00:00,-169.71826838072286,
2021-08-04 23:59:59,-158.25180834699157,c
2021-08-05 00:00:00,-152.3318365342032,
2021-08-05 01:00:00,-151.0920866578196,
2021-08-05 02:30:00,-151.0920866578196,
2021-08-05 03:00:00,-151.0920866578196,
2021-08-05 18:30:00,-151.0920866578196,
2021-08-05 20:00:00,-151.0920866578196,
2021-08-05 23:00:00,-151.0920866578196,
2021-08-05 23:59:59,-103.91582222785365,c
2021-08-06 00:00:00,-120.47639956073773,
2021-08-06 01:00:00,-123.92153884965896,
2021-08-06 02:30:00,-123.92153884965896,
2021-08-06 03:00:00,-123.92153884965896,
