date,EU_DAX_2022_Q3,meta
2022-08-26 08:00:00,297.8050983924229,
2022-08-26 10:30:00,464.703128857627,
2022-08-26 11:00:00,396.5941369112886,
2022-08-26 23:59:59,450.98196223196214,w
2022-08-29 00:00:00,425.38004621853065,
2022-08-29 03:30:00,449.8622511509409,
2022-08-29 04:00:00,362.6397823867662,
2022-08-29 06:00:00,301.37469661847194,
2022-08-29 08:00:00,448.8424596717798,
2022-08-29 10:30:00,409.1189258754682,
2022-08-29 11:00:00,383.80799519061316,
2022-08-29 23:59:59,356.21670256057155,c
2022-08-30 00:00:00,360.38323696131033,
2022-08-30 03:30:00,414.75946380525943,
2022-08-30 04:00:00,360.4885842278352,
2022-08-30 06:00:00,319.89200882905084,
2022-08-30 08:00:00,358.2267329685744,
2022-08-30 10:30:00,353.7417716850043,
2022-08-30 11:00:00,352.429872727095,
2022-08-30 23:59:59,352.2593404255874,c
2022-08-31 00:00:00,425.91397123418824,
2022-08-31 03:30:00,420.4628832390906,
2022-08-31 04:00:00,357.5516622045209,
2022-08-31 06:00:00,264.8736100907752,
2022-08-31 08:00:00,304.03684796875973,
2022-08-31 10:30:00,320.5655085323285,
2022-08-31 11:00:00,340.06474651975554,
2022-08-31 23:59:59,291.4014398951001,c
2022-09-01 00:00:00,269.96605828240695,
2022-09-01 03:30:00,320.9930677638815,
2022-09-01 04:00:00,224.30549473925612,
2022-09-01 06:00:00,152.2985858586353,
2022-09-01 08:00:00,147.65134623672543,
2022-09-01 10:30:00,60.21378669126511,
2022-09-01 11:00:00,59.24611754173225,
2022-09-01 23:59:59,109.46089207237992,c
2022-09-02 00:00:00,104.02297234603293,
2022-09-02 03:30:00,116.1924815434702,
2022-09-02 04:00:00,138.18257369400476,
2022-09-02 06:00:00,131.85721737780796,
2022-09-02 08:00:00,94.42889785896955,
2022-09-02 10:30:00,-27.455709930485455,
2022-09-02 11:00:00,34.188187629429194,
2022-09-02 23:59:59,0.0,a
2022-09-05 00:00:00,28.60700860123461,
2022-09-05 03:30:00,77.1256152671915,
2022-09-05 04:00:00,78.82917775302417,
2022-09-05 06:00:00,87.04156657651697,
2022-09-05 08:00:00,116.80656202296791,
2022-09-05 10:30:00,76.57805207396586,
2022-09-05 11:00:00,54.28398823148768,
2022-09-05 23:59:59,71.36219134246562,c
2022-09-06 00:00:00,83.14350445153195,
2022-09-06 03:30:00,36.43659654678436,
2022-09-06 04:00:00,34.832432053731054,
2022-09-06 06:00:00,9.953850775722003,
2022-09-06 08:00:00,92.61768678657359,
2022-09-06 10:30:00,-19.944001521243308,
2022-09-06 11:00:00,-156.26318403696155,
2022-09-06 23:59:59,-117.37843482809399,c
2022-09-07 00:00:00,-312.280907789617,
2022-09-07 03:30:00,-409.0463178441546,
2022-09-07 04:00:00,-423.48454687985713,
2022-09-07 06:00:00,-327.54481013522604,
2022-09-07 08:00:00,-277.97626576759376,
2022-09-07 10:30:00,-349.06112434426564,
2022-09-07 11:00:00,-329.3815317741894,
2022-09-07 23:59:59,-345.31041894814985,c
0,-345.31041894814985,
0,-345.31041894814985,
0,-345.31041894814985,
0,-345.31041894814985,
0,-345.31041894814985,
0,-345.31041894814985,
0,-345.31041894814985,
0,-345.31041894814985,
2022-09-08 00:00:00,-301.9085491928381,
2022-09-08 03:30:00,-310.166626593209,
2022-09-08 04:00:00,-291.1731344837367,
2022-09-08 06:00:00,-371.4456634340031,
2022-09-08 08:00:00,-289.15430832565585,
2022-09-08 10:30:00,-280.152947101549,
2022-09-08 11:00:00,-271.1572831487747,
2022-09-08 23:59:59,-299.82528199245985,c
2022-09-09 00:00:00,-238.5546739019262,
2022-09-09 03:30:00,-328.44834160786377,
2022-09-09 04:00:00,-320.30130131251326,
2022-09-09 06:00:00,-362.69034204972945,
2022-09-09 08:00:00,-390.60010179478445,
2022-09-09 10:30:00,-410.6836140546111,
2022-09-09 11:00:00,-422.42837804021406,
2022-09-09 23:59:59,-425.7899352928523,w
2022-09-12 00:00:00,-181.9817067420629,
2022-09-12 03:30:00,-221.5258954316248,
2022-09-12 04:00:00,-183.88012168495152,
2022-09-12 06:00:00,-236.25839987756194,
2022-09-12 08:00:00,-242.94428284967762,
2022-09-12 10:30:00,-279.04546204896974,
2022-09-12 11:00:00,-311.41367120417135,
2022-09-12 23:59:59,-369.8636551470588,c
2022-09-13 00:00:00,-367.177678337687,
2022-09-13 03:30:00,-209.06855494314823,
2022-09-13 04:00:00,-217.00475456118556,
2022-09-13 06:00:00,-365.08723704851013,
2022-09-13 08:00:00,-374.85356729994896,
2022-09-13 10:30:00,-334.02870303296595,
2022-09-13 11:00:00,-343.4677789596976,
2022-09-13 23:59:59,-359.3373756325425,c
2022-09-14 00:00:00,-352.1161342674584,
2022-09-14 03:30:00,-350.33955926453086,
2022-09-14 04:00:00,-356.8027214645758,
2022-09-14 06:00:00,-345.5315973060981,
2022-09-14 08:00:00,-403.8528764415066,
2022-09-14 10:30:00,-427.66736450898657,
2022-09-14 11:00:00,-424.9813318893432,
2022-09-14 23:59:59,-422.3913053618178,c
2022-09-15 00:00:00,-440.9315378993831,
2022-09-15 03:30:00,-430.3151916616655,
2022-09-15 04:00:00,-448.59060327700104,
2022-09-15 06:00:00,-413.1348515884681,
2022-09-15 08:00:00,-469.9048022755644,
2022-09-15 10:30:00,-562.8427050498096,
2022-09-15 11:00:00,-574.9592421045768,
2022-09-15 23:59:59,-608.9826982243951,c
2022-09-16 00:00:00,-710.600469105895,
2022-09-16 03:30:00,-590.7108908146217,
2022-09-16 04:00:00,-597.5523933346585,
2022-09-16 06:00:00,-777.3088015391302,
2022-09-16 08:00:00,-837.8136009725596,
2022-09-16 10:30:00,-836.4879612891096,
2022-09-16 11:00:00,-917.5635716218133,
2022-09-16 23:59:59,-929.6434707062757,e
2022-09-19 00:00:00,-1010.1726014275217,
2022-09-19 03:30:00,-1109.199179689399,
2022-09-19 04:00:00,-1098.3863209240471,
2022-09-19 06:00:00,-1024.20810228957,
2022-09-19 08:00:00,-1010.4207272607908,
2022-09-19 10:30:00,-965.72947485479,
2022-09-19 11:00:00,-916.1017676065258,
2022-09-19 23:59:59,-892.9565429743922,c
2022-09-20 00:00:00,-904.8534365676051,
2022-09-20 03:30:00,-920.4106568521319,
2022-09-20 04:00:00,-882.0683463715077,
2022-09-20 06:00:00,-989.7153755197775,
2022-09-20 08:00:00,-941.3965599256424,
2022-09-20 10:30:00,-983.2963550999722,
2022-09-20 11:00:00,-961.8868513802353,
2022-09-20 23:59:59,-907.6549938611231,c
2022-09-21 00:00:00,-925.8732921345203,
2022-09-21 03:30:00,-827.9184286278524,
2022-09-21 04:00:00,-820.0538559664658,
2022-09-21 06:00:00,-750.9828726363919,
2022-09-21 08:00:00,-767.5497796199804,
2022-09-21 10:30:00,-724.207056054697,
2022-09-21 11:00:00,-730.8792198771537,
2022-09-21 23:59:59,-701.7611009627606,c
2022-09-22 00:00:00,-730.373746535467,
2022-09-22 03:30:00,-629.8354288876651,
2022-09-22 04:00:00,-580.3795989182395,
2022-09-22 06:00:00,-565.9355239545873,
2022-09-22 08:00:00,-625.5490060700824,
2022-09-22 10:30:00,-614.7633577907675,
2022-09-22 11:00:00,-582.501997755252,
2022-09-22 23:59:59,-543.0448933629357,c
2022-09-23 00:00:00,-592.8809297968423,
2022-09-23 03:30:00,-638.3813927380829,
2022-09-23 04:00:00,-618.587079778611,
2022-09-23 06:00:00,-616.113174853373,
2022-09-23 08:00:00,-690.8946825683684,
2022-09-23 10:30:00,-744.0534920795442,
2022-09-23 11:00:00,-790.0351241517478,
2022-09-23 23:59:59,-738.0161509177888,w
2022-09-26 00:00:00,-771.232845639547,
2022-09-26 03:30:00,-749.8706979833485,
2022-09-26 04:00:00,-711.7263150018136,
2022-09-26 06:00:00,-703.065594366876,
2022-09-26 08:00:00,-796.2315796530924,
2022-09-26 10:30:00,-713.0443763690043,
2022-09-26 11:00:00,-688.5386052947551,
2022-09-26 23:59:59,-722.5058181562954,c
2022-09-27 00:00:00,-642.5545898557791,
2022-09-27 03:30:00,-793.0036246126816,
2022-09-27 04:00:00,-695.5160993003337,
2022-09-27 06:00:00,-720.0178801301201,
2022-09-27 08:00:00,-766.0204499100155,
2022-09-27 10:30:00,-803.6526168498577,
2022-09-27 11:00:00,-776.243647801991,
2022-09-27 23:59:59,-817.8241730601433,c
2022-09-28 00:00:00,-827.9873593911605,
2022-09-28 03:30:00,-783.715755429366,
2022-09-28 04:00:00,-781.6115816777512,
2022-09-28 06:00:00,-765.1673019025559,
2022-09-28 08:00:00,-708.3875841129502,
2022-09-28 10:30:00,-701.4696470387364,
2022-09-28 11:00:00,-641.7389506209538,
2022-09-28 23:59:59,-667.5537962602093,c
2022-09-29 00:00:00,-598.2280762272978,
2022-09-29 03:30:00,-610.1477860076293,
2022-09-29 04:00:00,-642.4223258501493,
2022-09-29 06:00:00,-641.1974269580662,
2022-09-29 08:00:00,-631.670833546707,
2022-09-29 10:30:00,-685.0306702721164,
2022-09-29 11:00:00,-645.5464250336581,
2022-09-29 23:59:59,-653.6232498431716,c
2022-09-30 00:00:00,-667.0942928093616,
2022-09-30 03:30:00,-594.4784352515135,
2022-09-30 04:00:00,-622.4692236282021,
2022-09-30 06:00:00,-659.8060017907478,
2022-09-30 08:00:00,-709.4378962389978,
2022-09-30 10:30:00,-726.5481699031916,
2022-09-30 11:00:00,-755.371463615028,
2022-09-30 23:59:59,-722.8553780944662,w
2022-10-03 00:00:00,-708.8752173008838,
2022-10-03 03:30:00,-807.096219320006,
2022-10-03 04:00:00,-793.4025676166189,
2022-10-03 06:00:00,-730.9516734452936,
2022-10-03 08:00:00,-693.8181778224666,
2022-10-03 10:30:00,-687.845071512003,
2022-10-03 11:00:00,-707.2585552416426,
2022-10-03 23:59:59,-722.599409937902,c
2022-10-04 00:00:00,-652.2994316552797,
2022-10-04 03:30:00,-658.1342526541694,
2022-10-04 04:00:00,-656.9176239132844,
2022-10-04 06:00:00,-672.3733231248964,
2022-10-04 08:00:00,-752.3858538462594,
2022-10-04 10:30:00,-695.3184862287094,
2022-10-04 11:00:00,-724.9774354770884,
2022-10-04 23:59:59,-730.0709824880739,c
2022-10-05 00:00:00,-739.122341382699,
2022-10-05 03:30:00,-755.6290766945892,
2022-10-05 04:00:00,-805.899724930777,
