date,EU_IGF_2022_Q3,meta
2022-09-09 00:00:00,-525.5311355168978,
2022-09-09 03:30:00,-554.827030365148,
2022-09-09 04:00:00,-505.04425170159993,
2022-09-09 06:00:00,-597.6594269410034,
2022-09-09 08:00:00,-564.3389410395885,
2022-09-09 10:30:00,-560.5981062772134,
2022-09-09 11:00:00,-558.4097575688284,
2022-09-09 23:59:59,-578.2992427709432,w
2022-09-12 00:00:00,-607.5232440873242,
2022-09-12 03:30:00,-687.5796244278245,
2022-09-12 04:00:00,-653.0774894735405,
2022-09-12 06:00:00,-623.9031709183837,
2022-09-12 08:00:00,-619.6854030273789,
2022-09-12 10:30:00,-679.1386756880202,
2022-09-12 11:00:00,-655.6164072925803,
2022-09-12 23:59:59,-663.4551747121914,c
2022-09-13 00:00:00,-713.1821938697212,
2022-09-13 03:30:00,-666.1549510533769,
2022-09-13 04:00:00,-680.150050718994,
2022-09-13 06:00:00,-814.2242403437322,
2022-09-13 08:00:00,-861.5786304222584,
2022-09-13 10:30:00,-625.9080809455318,
2022-09-13 11:00:00,-595.7237526471017,
2022-09-13 23:59:59,-715.6156010591585,c
2022-09-14 00:00:00,-709.5104741001032,
2022-09-14 03:30:00,-655.6070564756774,
2022-09-14 04:00:00,-681.858080064676,
2022-09-14 06:00:00,-700.1728098665808,
2022-09-14 08:00:00,-628.8165931618951,
2022-09-14 10:30:00,-594.6930632631265,
2022-09-14 11:00:00,-629.8522567663331,
2022-09-14 23:59:59,-598.9279617457887,c
2022-09-15 00:00:00,-564.9859579342574,
2022-09-15 03:30:00,-536.2178886162164,
2022-09-15 04:00:00,-541.2539678458033,
2022-09-15 06:00:00,-568.3821888431448,
2022-09-15 08:00:00,-556.2269649035552,
2022-09-15 10:30:00,-458.0613980644903,
2022-09-15 11:00:00,-433.44079352431254,
2022-09-15 23:59:59,-425.30210701459146,c
2022-09-16 00:00:00,-350.5107387069929,
2022-09-16 03:30:00,-347.30963975271334,
2022-09-16 04:00:00,-283.15871178387897,
2022-09-16 06:00:00,-374.0144008413863,
2022-09-16 08:00:00,-403.71926773659106,
2022-09-16 10:30:00,-417.0518607437025,
2022-09-16 11:00:00,-431.3985895631231,
2022-09-16 23:59:59,-385.00806946605917,w
2022-09-19 00:00:00,-348.62420486319024,
2022-09-19 03:30:00,-331.2692839780848,
2022-09-19 04:00:00,-297.006181492643,
2022-09-19 06:00:00,-213.989964512195,
2022-09-19 08:00:00,-273.9282738049751,
