date,MSCI_US_SC_STAY_HEDGED_2021_Q2,meta
2021-04-06 00:00:00,-362.7239134523343,
2021-04-06 10:00:00,-377.3696920241964,
2021-04-06 10:30:00,-356.2207845528328,
2021-04-06 12:00:00,-354.44661404357976,
2021-04-06 13:30:00,-323.2434288535651,
2021-04-06 15:00:00,-291.0574247494178,
2021-04-06 15:30:30,-291.0574247494178,
2021-04-06 23:59:59,-255.64631297504002,c
2021-04-07 00:00:00,-254.14266341197708,
2021-04-07 10:00:00,-252.2236870718898,
2021-04-07 10:30:00,-242.1790211538164,
2021-04-07 12:00:00,-202.05473245320718,
2021-04-07 13:30:00,-215.20721204176243,
2021-04-07 15:00:00,-193.20839538978544,
2021-04-07 15:30:30,-193.20839538978544,
2021-04-07 23:59:59,-154.3468192913233,c
2021-04-08 00:00:00,-182.7765908969959,
2021-04-08 10:00:00,-155.68154760084326,
2021-04-08 10:30:00,-127.32639130198004,
2021-04-08 12:00:00,-170.38087469192305,
2021-04-08 13:30:00,-170.01207563671596,
2021-04-08 15:00:00,-155.47413528944526,
2021-04-08 15:30:30,-155.47413528944526,
2021-04-08 23:59:59,-161.78310431274986,c
2021-04-09 00:00:00,-165.3664135304034,
2021-04-09 10:00:00,-156.78391780612037,
2021-04-09 10:30:00,-153.38376432866608,
2021-04-09 12:00:00,-153.75364045770584,
2021-04-09 13:30:00,-129.36229290718165,
2021-04-09 15:00:00,-110.29683583519636,
2021-04-09 15:30:30,-110.29683583519636,
2021-04-09 23:59:59,-110.70960969849875,w
2021-04-12 00:00:00,-118.05234943610503,
2021-04-12 10:00:00,-43.94101914705425,
2021-04-12 10:30:00,-76.0863026787274,
2021-04-12 12:00:00,-79.63055271872508,
2021-04-12 13:30:00,-86.9267529033068,
2021-04-12 15:00:00,-87.2938711924744,
2021-04-12 15:30:30,-87.2938711924744,
2021-04-12 23:59:59,-67.43428113772734,c
2021-04-13 00:00:00,-69.0804819008099,
2021-04-13 10:00:00,-58.59525176262014,
2021-04-13 10:30:00,-50.39194688000862,
2021-04-13 12:00:00,-7.653232452898919,
2021-04-13 13:30:00,4.855479265201211,
2021-04-13 15:00:00,-18.92048452222116,
2021-04-13 15:30:30,-18.92048452222116,
2021-04-13 23:59:59,-32.298797427573845,c
2021-04-14 00:00:00,-51.29741077887775,
2021-04-14 10:00:00,-142.5413791390929,
2021-04-14 10:30:00,-156.62692663879898,
2021-04-14 12:00:00,-194.25241678249586,
2021-04-14 13:30:00,-180.502936063368,
2021-04-14 15:00:00,-149.56898897655083,
2021-04-14 15:30:30,-149.56898897655083,
2021-04-14 23:59:59,-148.13124914545097,c
2021-04-15 00:00:00,-172.16644165029993,
2021-04-15 10:00:00,-182.74048605876033,
2021-04-15 10:30:00,-151.6247091143823,
2021-04-15 12:00:00,-150.82356621254712,
2021-04-15 13:30:00,-118.31765552271827,
2021-04-15 15:00:00,-146.05888467112345,
2021-04-15 15:30:30,-146.05888467112345,
2021-04-15 23:59:59,-135.78290882684178,c
2021-04-16 00:00:00,-149.4839633216352,
2021-04-16 10:00:00,-103.8858914317434,
2021-04-16 10:30:00,-79.13761691816035,
2021-04-16 12:00:00,-81.80649211148466,
2021-04-16 13:30:00,-79.10104749575112,
2021-04-16 15:00:00,-113.76327436681822,
2021-04-16 15:30:30,-113.76327436681822,
2021-04-16 23:59:59,-105.05132550120743,w
2021-04-19 00:00:00,-67.24019553784183,
2021-04-19 10:00:00,-70.10802357809371,
2021-04-19 10:30:00,-38.112898739834236,
2021-04-19 12:00:00,-4.797497943696726,
2021-04-19 13:30:00,-27.822471173587473,
2021-04-19 15:00:00,-54.11985849010853,
2021-04-19 15:30:30,-54.11985849010853,s
2021-04-19 23:59:59,-52.84925668879805,c
2021-04-20 00:00:00,-40.22981156500373,
2021-04-20 10:00:00,-32.41527091663011,
2021-04-20 10:30:00,-48.5695792593624,
