date,CAD_TSX_2022_Q3,meta
2022-09-09 12:00:00,-10.971645294796417,
2022-09-09 13:30:00,-6.555691898783039,
2022-09-09 15:00:00,3.9412171683625274,
2022-09-09 15:30:30,3.9412171683625274,
2022-09-09 23:59:59,5.720522015929646,w
2022-09-12 00:00:00,5.852062538402151,
2022-09-12 10:00:00,-13.379208789487507,
2022-09-12 10:30:00,-10.765319843253792,
2022-09-12 12:00:00,10.47369048450389,
2022-09-12 13:30:00,-16.97128862822433,
2022-09-12 15:00:00,-10.64799777365647,
2022-09-12 15:30:30,-10.64799777365647,
2022-09-12 23:59:59,1.0044656221029982,c
2022-09-13 00:00:00,17.162955346874924,
2022-09-13 10:00:00,9.421583087312797,
2022-09-13 10:30:00,27.639460563655575,
2022-09-13 12:00:00,26.442951392519603,
2022-09-13 13:30:00,24.927383693794013,
2022-09-13 15:00:00,41.60316023362509,
2022-09-13 15:30:30,41.60316023362509,
2022-09-13 23:59:59,32.47840569104096,c
2022-09-14 00:00:00,47.04606959945022,
2022-09-14 10:00:00,47.221638805100156,
2022-09-14 10:30:00,65.71520361141427,
2022-09-14 12:00:00,62.63026963795289,
2022-09-14 13:30:00,52.73536467769611,
2022-09-14 15:00:00,67.29973899301137,
2022-09-14 15:30:30,67.29973899301137,
2022-09-14 23:59:59,74.7936528649999,c
2022-09-15 00:00:00,66.75379340782195,
2022-09-15 10:00:00,58.434139731782125,
2022-09-15 10:30:00,52.381666744626955,
2022-09-15 12:00:00,50.87179288464449,
2022-09-15 13:30:00,46.78018091998115,
2022-09-15 15:00:00,46.36585779366044,
2022-09-15 15:30:30,46.36585779366044,
2022-09-15 23:59:59,58.710156472482595,c
2022-09-16 00:00:00,58.61042092863238,
2022-09-16 10:00:00,51.23154251087169,
2022-09-16 10:30:00,43.89226118165777,
2022-09-16 12:00:00,34.29535003176841,
2022-09-16 13:30:00,46.519773812228664,
2022-09-16 15:00:00,47.84196650731019,
2022-09-16 15:30:30,47.84196650731019,
2022-09-16 23:59:59,32.89480377548057,e
2022-09-19 00:00:00,13.389646548469159,
2022-09-19 10:00:00,28.362259450207375,
2022-09-19 10:30:00,24.26111216439449,
2022-09-19 12:00:00,27.88159323284185,
2022-09-19 13:30:00,17.405758956088675,
2022-09-19 15:00:00,14.613770343423653,
2022-09-19 15:30:30,14.613770343423653,
2022-09-19 23:59:59,21.53244379419607,c
2022-09-20 00:00:00,31.14194014525401,
2022-09-20 10:00:00,29.802640581440528,
2022-09-20 10:30:00,39.23817282582388,
2022-09-20 12:00:00,34.24144471312684,
2022-09-20 13:30:00,38.30252722339321,
2022-09-20 15:00:00,42.04480069247575,
2022-09-20 15:30:30,42.04480069247575,
2022-09-20 23:59:59,33.4866745359501,c
2022-09-21 00:00:00,34.85585388511106,
2022-09-21 10:00:00,32.56142025584245,
2022-09-21 10:30:00,25.415534166930115,
2022-09-21 12:00:00,38.01241964181963,
2022-09-21 13:30:00,30.881057284258418,
2022-09-21 15:00:00,34.345687869216135,
2022-09-21 15:30:30,34.345687869216135,
2022-09-21 23:59:59,36.65372055869875,c
2022-09-22 00:00:00,35.13293726188306,
2022-09-22 10:00:00,22.364598027827128,
2022-09-22 10:30:00,20.200713338161222,
2022-09-22 12:00:00,23.666494501537045,
2022-09-22 13:30:00,0.3974445376567246,
