date,MSCI_EM_ADR_HEDGED_2021_Q4,meta
2021-10-07 00:00:00,120.67518845957375,
2021-10-07 10:00:00,123.81486221888167,
2021-10-07 10:30:00,150.53624780655036,
2021-10-07 12:00:00,124.06425451194173,
2021-10-07 13:30:00,91.63067127168392,
2021-10-07 15:00:00,69.64069831932466,
2021-10-07 15:30:30,69.64069831932466,
2021-10-07 23:59:59,77.12356502735452,c
2021-10-08 00:00:00,112.19475453473592,
2021-10-08 10:00:00,92.45369110731303,
2021-10-08 10:30:00,84.80628089562333,
2021-10-08 12:00:00,51.09994644820563,
2021-10-08 13:30:00,46.19707800208698,
2021-10-08 15:00:00,50.48526755244984,
2021-10-08 15:30:30,50.48526755244984,
2021-10-08 23:59:59,46.15428753548372,w
2021-10-11 00:00:00,42.68651518468732,
2021-10-11 10:00:00,38.50194115559407,
2021-10-11 10:30:00,45.064788788052965,
2021-10-11 12:00:00,26.270761294462318,
2021-10-11 13:30:00,18.931145986548586,
2021-10-11 15:00:00,21.62642225781474,
2021-10-11 15:30:30,21.62642225781474,
2021-10-11 23:59:59,19.536358208989213,c
2021-10-12 00:00:00,61.78172201733969,
2021-10-12 10:00:00,52.9123121957748,
2021-10-12 10:30:00,65.9578866604802,
2021-10-12 12:00:00,86.09739240428235,
2021-10-12 13:30:00,99.57303625469694,
2021-10-12 15:00:00,102.95254887057354,
2021-10-12 15:30:30,102.95254887057354,
2021-10-12 23:59:59,85.59042160307376,c
2021-10-13 00:00:00,62.68407525299631,
2021-10-13 10:00:00,157.3239153672605,
2021-10-13 10:30:00,173.95120963618228,
2021-10-13 12:00:00,197.16402829844947,
2021-10-13 13:30:00,192.4189143084086,
2021-10-13 15:00:00,190.4822367281729,
2021-10-13 15:30:30,190.4822367281729,
2021-10-13 23:59:59,199.52547166104932,c
2021-10-14 00:00:00,233.18378938497358,
2021-10-14 10:00:00,207.42524730718173,
2021-10-14 10:30:00,197.9957091566764,
2021-10-14 12:00:00,224.0240584035614,
2021-10-14 13:30:00,194.9422882244719,
2021-10-14 15:00:00,211.7451968877997,
2021-10-14 15:30:30,211.7451968877997,
2021-10-14 23:59:59,193.44887355411447,c
2021-10-15 00:00:00,215.11284512284965,
2021-10-15 10:00:00,194.0032793934031,
2021-10-15 10:30:00,203.33538013620614,
2021-10-15 12:00:00,223.0784847952134,
2021-10-15 13:30:00,266.9705532497203,
2021-10-15 15:00:00,261.48717386854287,
2021-10-15 15:30:30,261.48717386854287,
2021-10-15 23:59:59,248.22756909961709,w
2021-10-18 00:00:00,248.0022208709438,
2021-10-18 10:00:00,192.4749027436883,
2021-10-18 10:30:00,206.91935320111725,
2021-10-18 12:00:00,194.64110829008973,
2021-10-18 13:30:00,202.46252782191186,
2021-10-18 15:00:00,223.57018260119526,
2021-10-18 15:30:30,223.57018260119526,s
2021-10-18 23:59:59,194.87213636510523,c
2021-10-19 00:00:00,197.2750028409214,
2021-10-19 10:00:00,247.2765104212806,
2021-10-19 10:30:00,267.58815732562584,
2021-10-19 12:00:00,282.28620161984213,
2021-10-19 13:30:00,295.3600887478203,
2021-10-19 15:00:00,250.67267550115366,
2021-10-19 15:30:30,250.67267550115366,
2021-10-19 23:59:59,248.56371905851393,c
2021-10-20 00:00:00,257.0901946816264,
2021-10-20 10:00:00,234.56042168318004,
2021-10-20 10:30:00,179.74342519275274,
2021-10-20 12:00:00,178.53783985242535,
2021-10-20 13:30:00,184.87599107858114,
2021-10-20 15:00:00,185.77888559751455,
2021-10-20 15:30:30,185.77888559751455,
2021-10-20 23:59:59,192.73773085878247,c
2021-10-21 00:00:00,190.1959610140127,
2021-10-21 10:00:00,211.02254528599929,
2021-10-21 10:30:00,230.9211934532109,
2021-10-21 12:00:00,221.46663279442282,
2021-10-21 13:30:00,249.38440331570973,
2021-10-21 15:00:00,243.75994007605186,
2021-10-21 15:30:30,243.75994007605186,
2021-10-21 23:59:59,234.1333707108065,c
2021-10-22 00:00:00,239.10548433592612,
2021-10-22 10:00:00,185.6873359333672,
2021-10-22 10:30:00,183.41261325095547,
2021-10-22 12:00:00,192.79221392025283,
2021-10-22 13:30:00,204.73300437742523,
2021-10-22 15:00:00,211.49880354520315,
2021-10-22 15:30:30,211.49880354520315,
2021-10-22 23:59:59,220.00177617307668,w
2021-10-25 00:00:00,190.75994319671986,
2021-10-25 10:00:00,114.6450018856849,
2021-10-25 10:30:00,121.99037338578478,
2021-10-25 12:00:00,77.55757594232227,
2021-10-25 13:30:00,125.42896816797725,
2021-10-25 15:00:00,129.79178338907013,
2021-10-25 15:30:30,129.79178338907013,
2021-10-25 23:59:59,120.76371489045232,c
2021-10-26 00:00:00,127.82407594150345,
2021-10-26 10:00:00,126.94880012165527,
2021-10-26 10:30:00,138.2573092610712,
2021-10-26 12:00:00,97.05904407219464,
2021-10-26 13:30:00,96.76449892823962,
2021-10-26 15:00:00,111.45568794306018,
2021-10-26 15:30:30,111.45568794306018,
2021-10-26 23:59:59,119.42099215636449,c
2021-10-27 00:00:00,144.62634236504437,
2021-10-27 10:00:00,132.49708678323873,
2021-10-27 10:30:00,128.4891543120616,
2021-10-27 12:00:00,90.09938697496773,
2021-10-27 13:30:00,105.66140871590414,
2021-10-27 15:00:00,116.22881684005733,
2021-10-27 15:30:30,116.22881684005733,
2021-10-27 23:59:59,110.91707945215035,c
2021-10-28 00:00:00,166.53826308672842,
2021-10-28 10:00:00,131.99640861991884,
2021-10-28 10:30:00,170.11524548025227,
2021-10-28 12:00:00,222.04034342750288,
2021-10-28 13:30:00,223.47101304027387,
