date,SPHD_2022_Q1,meta
2022-01-03 00:00:00,-266.03665562756197,
2022-01-03 10:00:00,-226.53975453934234,
2022-01-03 10:30:00,-215.0917503416872,
2022-01-03 12:00:00,-216.34660088526616,
2022-01-03 13:30:00,-213.84917366502037,
2022-01-03 15:00:00,-217.05641812744562,
2022-01-03 15:30:30,-217.05641812744562,
2022-01-03 23:59:59,-215.9323398724253,c
2022-01-04 00:00:00,-200.5979849619899,
2022-01-04 10:00:00,-179.3279317300043,
2022-01-04 10:30:00,-172.5794123968902,
2022-01-04 12:00:00,-162.87366667531816,
2022-01-04 13:30:00,-165.93464325464623,
2022-01-04 15:00:00,-168.27032422658306,
2022-01-04 15:30:30,-168.27032422658306,
2022-01-04 23:59:59,-169.32021572608895,c
2022-01-05 00:00:00,-174.10929445277736,
2022-01-05 10:00:00,-170.0550340784228,
2022-01-05 10:30:00,-172.107073694932,
2022-01-05 12:00:00,-157.83751115562913,
2022-01-05 13:30:00,-157.64124639058824,
2022-01-05 15:00:00,-151.12618267029225,
2022-01-05 15:30:30,-151.12618267029225,
2022-01-05 23:59:59,-151.85235430940196,c
2022-01-06 00:00:00,-144.33354822720105,
2022-01-06 10:00:00,-127.33883480732925,
2022-01-06 10:30:00,-120.64898075256042,
2022-01-06 12:00:00,-119.44178400951967,
2022-01-06 13:30:00,-120.25634941368602,
2022-01-06 15:00:00,-116.75682674231271,
2022-01-06 15:30:30,-116.75682674231271,
2022-01-06 23:59:59,-112.42529183205235,c
2022-01-07 00:00:00,-104.44005152062098,
2022-01-07 10:00:00,-88.0668827022405,
2022-01-07 10:30:00,-78.44650154411521,
2022-01-07 12:00:00,-81.14076037281797,
2022-01-07 13:30:00,-76.00138349304434,
2022-01-07 15:00:00,-84.27869459211688,
2022-01-07 15:30:30,-84.27869459211688,
2022-01-07 23:59:59,-83.88432516088227,w
2022-01-10 00:00:00,-69.91625370168218,
2022-01-10 10:00:00,-69.48659784406787,
2022-01-10 10:30:00,-77.38315239338593,
2022-01-10 12:00:00,-64.08015512522331,
2022-01-10 13:30:00,-64.42858453504869,
2022-01-10 15:00:00,-70.25810614870929,
2022-01-10 15:30:30,-70.25810614870929,
2022-01-10 23:59:59,-78.29770047637518,c
2022-01-11 00:00:00,-101.21726580935439,
2022-01-11 10:00:00,-109.5188861367868,
2022-01-11 10:30:00,-114.26938841427447,
2022-01-11 12:00:00,-97.8057980775764,
2022-01-11 13:30:00,-97.04719789165341,
2022-01-11 15:00:00,-101.26308014988406,
2022-01-11 15:30:30,-101.26308014988406,
2022-01-11 23:59:59,-96.91824039179727,c
2022-01-12 00:00:00,-100.44297682610078,
2022-01-12 10:00:00,-108.85047529064587,
2022-01-12 10:30:00,-121.78312151212006,
2022-01-12 12:00:00,-124.67142712634927,
2022-01-12 13:30:00,-117.3440154025581,
2022-01-12 15:00:00,-113.06799991195653,
2022-01-12 15:30:30,-113.06799991195653,
2022-01-12 23:59:59,-117.445395144092,c
2022-01-13 00:00:00,-116.70676706942442,
2022-01-13 10:00:00,-98.2574077111526,
2022-01-13 10:30:00,-92.71281142948003,
2022-01-13 12:00:00,-85.22861302426264,
2022-01-13 13:30:00,-63.63855349507119,
2022-01-13 15:00:00,-51.64623233400046,
2022-01-13 15:30:30,-51.64623233400046,
2022-01-13 23:59:59,-56.00738228266921,c
