date,PKW_2022_Q1,meta
2022-01-03 00:00:00,-115.7943571637292,
2022-01-03 10:00:00,-108.9558959389857,
2022-01-03 10:30:00,-111.36321744998061,
2022-01-03 12:00:00,-116.52057162768325,
2022-01-03 13:30:00,-119.8296010948555,
2022-01-03 15:00:00,-110.83155057809039,
2022-01-03 15:30:30,-110.83155057809039,
2022-01-03 23:59:59,-115.43854416772302,c
2022-01-04 00:00:00,-114.16413846032486,
2022-01-04 10:00:00,-102.70352498684142,
2022-01-04 10:30:00,-95.84929042955513,
2022-01-04 12:00:00,-74.30654737153357,
2022-01-04 13:30:00,-60.157952285849206,
2022-01-04 15:00:00,-68.23743619198515,
2022-01-04 15:30:30,-68.23743619198515,
2022-01-04 23:59:59,-73.18885751329482,c
2022-01-05 00:00:00,-59.6212275986425,
2022-01-05 10:00:00,-68.21245692618749,
2022-01-05 10:30:00,-61.33430539616386,
2022-01-05 12:00:00,-60.20830579620972,
2022-01-05 13:30:00,-50.45256278181066,
2022-01-05 15:00:00,-50.19576214198105,
2022-01-05 15:30:30,-50.19576214198105,
2022-01-05 23:59:59,-42.44661496170503,c
2022-01-06 00:00:00,-36.11503759660928,
2022-01-06 10:00:00,-51.8437769271122,
2022-01-06 10:30:00,-55.70387957635243,
2022-01-06 12:00:00,-55.86139157852345,
2022-01-06 13:30:00,-41.20531413947471,
2022-01-06 15:00:00,-55.40565889626601,
2022-01-06 15:30:30,-55.40565889626601,
2022-01-06 23:59:59,-37.08868639724405,c
2022-01-07 00:00:00,-40.32350004871343,
2022-01-07 10:00:00,-57.04360891442094,
2022-01-07 10:30:00,-39.67619604540657,
2022-01-07 12:00:00,-38.75501777757801,
2022-01-07 13:30:00,-43.681973901774825,
2022-01-07 15:00:00,-48.74225198052496,
2022-01-07 15:30:30,-48.74225198052496,
2022-01-07 23:59:59,-47.57167441008697,w
2022-01-10 00:00:00,-19.006987030543193,
2022-01-10 10:00:00,-31.86919890891902,
2022-01-10 10:30:00,-59.58411318489469,
2022-01-10 12:00:00,-57.19039311672413,
2022-01-10 13:30:00,-59.60812512213437,
2022-01-10 15:00:00,-61.101192042288545,
2022-01-10 15:30:30,-61.101192042288545,
2022-01-10 23:59:59,-72.39647758831806,c
2022-01-11 00:00:00,-71.12560311933956,
2022-01-11 10:00:00,-86.19036920415427,
2022-01-11 10:30:00,-89.63272530861487,
2022-01-11 12:00:00,-100.68531791919172,
2022-01-11 13:30:00,-105.67157345311169,
2022-01-11 15:00:00,-100.53626101507477,
2022-01-11 15:30:30,-100.53626101507477,
2022-01-11 23:59:59,-101.11586869006298,c
2022-01-12 00:00:00,-72.84772915737496,
2022-01-12 10:00:00,-58.04062637463902,
2022-01-12 10:30:00,-52.72865436619141,
2022-01-12 12:00:00,-49.93953492144631,
2022-01-12 13:30:00,-54.26948172008761,
2022-01-12 15:00:00,-55.38936983031777,
2022-01-12 15:30:30,-55.38936983031777,
2022-01-12 23:59:59,-54.740624453251534,c
2022-01-13 00:00:00,-52.967137933234795,
2022-01-13 10:00:00,-62.721329662969886,
2022-01-13 10:30:00,-58.37907658269759,
2022-01-13 12:00:00,-57.05280056125275,
2022-01-13 13:30:00,-43.31266808227272,
2022-01-13 15:00:00,-45.49912005911804,
2022-01-13 15:30:30,-45.49912005911804,
2022-01-13 23:59:59,-42.794351023028156,c
2022-01-14 00:00:00,-50.35797620119627,
2022-01-14 10:00:00,-60.33779914997087,
2022-01-14 10:30:00,-53.43291793605046,
2022-01-14 12:00:00,-64.44571053095636,
