date,AS_FTSE_EM_AD_2022_Q3,meta
2022-07-08 00:00:00,-187.34454027451244,
2022-07-08 01:00:00,-183.45519126423423,
2022-07-08 02:30:00,-181.70925629567222,
2022-07-08 03:00:00,-181.68451886777106,
2022-07-08 18:30:00,-181.68451886777106,
2022-07-08 20:00:00,-181.68451886777106,
2022-07-08 23:00:00,-181.68451886777106,
2022-07-08 23:59:59,-181.85029423722696,w
2022-07-11 00:00:00,-107.98961818643468,
2022-07-11 01:00:00,-109.2772298536456,
2022-07-11 02:30:00,-79.50981388960662,
2022-07-11 03:00:00,-88.46269050623047,
2022-07-11 18:30:00,-88.46269050623047,
2022-07-11 20:00:00,-88.46269050623047,
2022-07-11 23:00:00,-89.3187971438175,
2022-07-11 23:59:59,-82.04434334416979,c
2022-07-12 00:00:00,-79.71474584454009,
2022-07-12 01:00:00,-76.44368523273565,
2022-07-12 02:30:00,-96.70948768889255,
2022-07-12 03:00:00,-93.11355579619314,
2022-07-12 18:30:00,-93.11355579619314,
2022-07-12 20:00:00,-93.11355579619314,
2022-07-12 23:00:00,-113.08858311967501,
2022-07-12 23:59:59,-102.2699911253917,c
2022-07-13 00:00:00,-94.93955355175504,
2022-07-13 01:00:00,-99.13778079405802,
2022-07-13 02:30:00,-52.65235214087904,
2022-07-13 03:00:00,-73.04980337929231,
2022-07-13 18:30:00,-73.04980337929231,
2022-07-13 20:00:00,-73.04980337929231,
2022-07-13 23:00:00,-82.73304878990035,
2022-07-13 23:59:59,-89.30216116218352,c
2022-07-14 00:00:00,-83.43934057745045,
2022-07-14 01:00:00,-87.4951927576098,
2022-07-14 02:30:00,-31.084657003320707,
2022-07-14 03:00:00,-49.402855408359464,
2022-07-14 18:30:00,-49.402855408359464,
2022-07-14 20:00:00,-49.402855408359464,
2022-07-14 23:00:00,-23.446216547153483,
2022-07-14 23:59:59,-17.953586126113038,c
2022-07-15 00:00:00,-5.237339433700129,
2022-07-15 01:00:00,0.03396202244285007,
2022-07-15 02:30:00,32.091406204866225,
2022-07-15 03:00:00,30.45314546357031,
2022-07-15 18:30:00,30.45314546357031,
2022-07-15 20:00:00,30.45314546357031,
2022-07-15 23:00:00,30.45314546357031,
2022-07-15 23:59:59,18.171990530072165,w
2022-07-18 00:00:00,-86.6191478517593,
2022-07-18 01:00:00,-93.41504011824341,
2022-07-18 02:30:00,-84.4112324156271,
2022-07-18 03:00:00,-79.08901663944218,
2022-07-18 18:30:00,-79.08901663944218,
2022-07-18 20:00:00,-79.08901663944218,
2022-07-18 23:00:00,-64.88744783713412,
2022-07-18 23:59:59,-62.59716875579041,c
2022-07-19 00:00:00,-60.132174044756674,
2022-07-19 01:00:00,-62.46223023636974,
2022-07-19 02:30:00,-81.4021507797242,
2022-07-19 03:00:00,-74.025036283785,
2022-07-19 18:30:00,-74.025036283785,
2022-07-19 20:00:00,-74.025036283785,
2022-07-19 23:00:00,-95.57276270768753,
2022-07-19 23:59:59,-79.9309100884523,c
2022-07-20 00:00:00,-99.45678642062737,
2022-07-20 01:00:00,-102.91309548285182,
2022-07-20 02:30:00,-89.86985194046463,
2022-07-20 03:00:00,-78.81774038592101,
2022-07-20 18:30:00,-78.81774038592101,
2022-07-20 20:00:00,-78.81774038592101,
2022-07-20 23:00:00,-8.444069607458161,
2022-07-20 23:59:59,-11.122461311602315,c
2022-07-21 00:00:00,4.18138317725964,
2022-07-21 01:00:00,-3.9379752567205983,
2022-07-21 02:30:00,-39.05370906413483,
2022-07-21 03:00:00,-11.46988801682636,
2022-07-21 18:30:00,-11.46988801682636,
2022-07-21 20:00:00,-11.46988801682636,
2022-07-21 23:00:00,19.625374295260976,
2022-07-21 23:59:59,22.89641541415542,c
2022-07-22 00:00:00,16.7301672832517,
2022-07-22 01:00:00,12.954698364640919,
2022-07-22 02:30:00,21.39126489023376,
2022-07-22 03:00:00,14.055767886227926,
2022-07-22 18:30:00,14.055767886227926,
2022-07-22 20:00:00,14.055767886227926,
2022-07-22 23:00:00,14.055767886227926,
2022-07-22 23:59:59,6.115989105380663,w
2022-07-25 00:00:00,-10.339378510031082,
2022-07-25 01:00:00,-10.72068648441607,
2022-07-25 02:30:00,-31.737851532148106,
2022-07-25 03:00:00,-24.239620303594847,
2022-07-25 18:30:00,-24.239620303594847,
2022-07-25 20:00:00,-24.239620303594847,
2022-07-25 23:00:00,-101.35460253134261,
2022-07-25 23:59:59,-104.50337782363815,c
2022-07-26 00:00:00,-116.60098562029634,
2022-07-26 01:00:00,-119.15001648445408,
2022-07-26 02:30:00,-129.29472077645391,
2022-07-26 03:00:00,-131.31568655353922,
2022-07-26 18:30:00,-131.31568655353922,
2022-07-26 20:00:00,-131.31568655353922,
2022-07-26 23:00:00,-93.79890677255426,
2022-07-26 23:59:59,-86.12643866327844,c
2022-07-27 00:00:00,-66.20125736593724,
2022-07-27 01:00:00,-64.84004692691676,
2022-07-27 02:30:00,-78.99361538132223,
2022-07-27 03:00:00,-69.94206992393711,
2022-07-27 18:30:00,-69.94206992393711,
2022-07-27 20:00:00,-69.94206992393711,
2022-07-27 23:00:00,-106.52475272204023,
2022-07-27 23:59:59,-72.98959254614522,c
2022-07-28 00:00:00,-76.76266559801562,
2022-07-28 01:00:00,-93.9292287702616,
2022-07-28 02:30:00,-111.56034355985145,
2022-07-28 03:00:00,-115.24710698875487,
2022-07-28 18:30:00,-115.24710698875487,
2022-07-28 20:00:00,-115.24710698875487,
2022-07-28 23:00:00,-67.47329993785837,
2022-07-28 23:59:59,-38.95689763069581,c
2022-07-29 00:00:00,-68.16510534036391,
2022-07-29 01:00:00,-64.81759207923787,
2022-07-29 02:30:00,-65.5718414717389,
2022-07-29 03:00:00,-59.82460764052065,
2022-07-29 18:30:00,-59.82460764052065,
2022-07-29 20:00:00,-59.82460764052065,
2022-07-29 23:00:00,-59.82460764052065,
2022-07-29 23:59:59,-70.43948931130947,w
2022-08-01 00:00:00,-53.89642478217545,
2022-08-01 01:00:00,-62.25286863177825,
2022-08-01 02:30:00,-74.833225174754,
2022-08-01 03:00:00,-76.45614289129585,
2022-08-01 18:30:00,-76.45614289129585,
2022-08-01 20:00:00,-76.45614289129585,
2022-08-01 23:00:00,-32.110231562221294,
2022-08-01 23:59:59,-60.31989080750767,c
2022-08-02 00:00:00,-32.073653755772476,
2022-08-02 01:00:00,-32.843850485943996,
2022-08-02 02:30:00,-49.029213093263515,
2022-08-02 03:00:00,-45.352125402044486,
2022-08-02 18:30:00,-45.352125402044486,
2022-08-02 20:00:00,-45.352125402044486,
2022-08-02 23:00:00,-38.629682250859695,
2022-08-02 23:59:59,-61.9747388572109,c
2022-08-03 00:00:00,-73.84719541860741,
2022-08-03 01:00:00,-75.40145537105005,
2022-08-03 02:30:00,-70.99284937937088,
2022-08-03 03:00:00,-59.835140020819914,
2022-08-03 18:30:00,-59.835140020819914,
2022-08-03 20:00:00,-59.835140020819914,
2022-08-03 23:00:00,-85.89049935445394,
2022-08-03 23:59:59,-67.05594999004805,c
2022-08-04 00:00:00,-99.06550787966816,
2022-08-04 01:00:00,-91.13544492199296,
2022-08-04 02:30:00,-106.11945226962223,
2022-08-04 03:00:00,-109.76317242246606,
2022-08-04 18:30:00,-109.76317242246606,
2022-08-04 20:00:00,-109.76317242246606,
2022-08-04 23:00:00,-116.5878221080551,
2022-08-04 23:59:59,-126.2738896398914,c
2022-08-05 00:00:00,-128.58980753364676,
2022-08-05 01:00:00,-120.80038748114754,
2022-08-05 02:30:00,-139.6077960777956,
2022-08-05 03:00:00,-128.5524090442243,
2022-08-05 18:30:00,-128.5524090442243,
2022-08-05 20:00:00,-128.5524090442243,
2022-08-05 23:00:00,-128.5524090442243,
2022-08-05 23:59:59,-123.17479427926799,w
2022-08-08 00:00:00,-118.7676386110879,
2022-08-08 01:00:00,-121.11618808179196,
2022-08-08 02:30:00,-119.33800748109238,
2022-08-08 03:00:00,-119.29144351650791,
2022-08-08 18:30:00,-119.29144351650791,
2022-08-08 20:00:00,-119.29144351650791,
2022-08-08 23:00:00,-101.90114368977757,
2022-08-08 23:59:59,-143.32827769484186,c
2022-08-09 00:00:00,-141.05951882835745,
2022-08-09 01:00:00,-143.05331210821709,
2022-08-09 02:30:00,-102.17098263391046,
2022-08-09 03:00:00,-109.56978085204031,
2022-08-09 18:30:00,-109.56978085204031,
2022-08-09 20:00:00,-109.56978085204031,
2022-08-09 23:00:00,-41.90322567906279,
2022-08-09 23:59:59,-48.49526542980093,c
2022-08-10 00:00:00,-38.65323615254956,
2022-08-10 01:00:00,-37.7965805378707,
2022-08-10 02:30:00,-22.968575654908975,
2022-08-10 03:00:00,-26.20791235217898,
2022-08-10 18:30:00,-26.20791235217898,
2022-08-10 20:00:00,-26.20791235217898,
2022-08-10 23:00:00,-28.684063618111395,
2022-08-10 23:59:59,-61.355804826671665,c
2022-08-11 00:00:00,-86.36149093597209,
2022-08-11 01:00:00,-87.986832006734,
2022-08-11 02:30:00,-107.26848419497628,
2022-08-11 03:00:00,-107.05945038789378,
2022-08-11 18:30:00,-107.05945038789378,
2022-08-11 20:00:00,-107.05945038789378,
2022-08-11 23:00:00,-74.27723177623938,
2022-08-11 23:59:59,-79.73424968204836,c
2022-08-12 00:00:00,-87.7289726227487,
2022-08-12 01:00:00,-86.39681325498856,
2022-08-12 02:30:00,-91.68408809117372,
2022-08-12 03:00:00,-82.4324860557926,
2022-08-12 18:30:00,-82.4324860557926,
2022-08-12 20:00:00,-82.4324860557926,
2022-08-12 23:00:00,-82.4324860557926,
2022-08-12 23:59:59,-82.25713098340796,w
2022-08-15 00:00:00,-96.43929462921528,
2022-08-15 01:00:00,-97.91500172442335,
2022-08-15 02:30:00,-84.81111524784134,
2022-08-15 03:00:00,-87.03777584540208,
2022-08-15 18:30:00,-87.03777584540208,
2022-08-15 20:00:00,-87.03777584540208,
2022-08-15 23:00:00,-87.62070950472744,
2022-08-15 23:59:59,-78.52315747442913,c
2022-08-16 00:00:00,-79.16623044640653,
2022-08-16 01:00:00,-81.27741913688928,
2022-08-16 02:30:00,-45.18056109117408,
2022-08-16 03:00:00,-33.74096380001787,
2022-08-16 18:30:00,-33.74096380001787,
2022-08-16 20:00:00,-33.74096380001787,
2022-08-16 23:00:00,2.7926035884975136,
2022-08-16 23:59:59,-12.69035154505098,c
2022-08-17 00:00:00,-28.842352591372972,
2022-08-17 01:00:00,-24.217785000508137,
2022-08-17 02:30:00,-24.06250367841892,
2022-08-17 03:00:00,-17.8032630522967,
2022-08-17 18:30:00,-17.8032630522967,
2022-08-17 20:00:00,-17.8032630522967,
2022-08-17 23:00:00,21.307965685781838,
2022-08-17 23:59:59,13.01727404943071,c
2022-08-18 00:00:00,8.032498461584233,
2022-08-18 01:00:00,9.784081079666631,
2022-08-18 02:30:00,16.09094316428312,
2022-08-18 03:00:00,23.38798690833004,
2022-08-18 18:30:00,23.38798690833004,
2022-08-18 20:00:00,23.38798690833004,
2022-08-18 23:00:00,-9.460560706384108,
2022-08-18 23:59:59,-12.897270704582233,c
2022-08-19 00:00:00,-6.942502212247021,
2022-08-19 01:00:00,-5.862410948864678,
2022-08-19 02:30:00,17.21230785305469,
2022-08-19 03:00:00,11.654330101686625,
2022-08-19 18:30:00,11.654330101686625,
2022-08-19 20:00:00,11.654330101686625,
2022-08-19 23:00:00,11.654330101686625,
2022-08-19 23:59:59,0.0,a
2022-08-22 00:00:00,-11.622447238542328,
2022-08-22 01:00:00,-6.506091308235277,
2022-08-22 02:30:00,1.795072323083133,
2022-08-22 03:00:00,-0.008367373139670065,
2022-08-22 18:30:00,-0.008367373139670065,
2022-08-22 20:00:00,-0.008367373139670065,
2022-08-22 23:00:00,57.24052454418278,
2022-08-22 23:59:59,25.659910731074167,c
2022-08-23 00:00:00,27.96767166894217,
2022-08-23 01:00:00,29.766526843706494,
2022-08-23 02:30:00,63.82640021118394,
