date,USMC_2022_Q2,meta
2022-04-01 00:00:00,-120.59965042331453,
2022-04-01 10:00:00,-139.2305373233335,
2022-04-01 10:30:00,-141.3895616164143,
2022-04-01 12:00:00,-114.1147394095776,
2022-04-01 13:30:00,-129.13353366363884,
2022-04-01 15:00:00,-130.68522849025157,
2022-04-01 15:30:30,-130.68522849025157,
2022-04-01 23:59:59,-132.345429261993,w
2022-04-04 00:00:00,-132.0217888982423,
2022-04-04 10:00:00,-139.42860014026968,
2022-04-04 10:30:00,-137.1384574442414,
2022-04-04 12:00:00,-172.40906918642074,
2022-04-04 13:30:00,-179.77733148414328,
2022-04-04 15:00:00,-172.00897849735264,
2022-04-04 15:30:30,-172.00897849735264,
2022-04-04 23:59:59,-176.0520595549085,c
2022-04-05 00:00:00,-184.89910587806597,
2022-04-05 10:00:00,-138.06672152203367,
2022-04-05 10:30:00,-140.16178208369533,
2022-04-05 12:00:00,-121.92381725272591,
2022-04-05 13:30:00,-127.44144406457735,
2022-04-05 15:00:00,-124.8274045007523,
2022-04-05 15:30:30,-124.8274045007523,
2022-04-05 23:59:59,-129.4684404603833,c
2022-04-06 00:00:00,-111.28860644359864,
2022-04-06 10:00:00,-85.61305939200838,
2022-04-06 10:30:00,-80.79351807517699,
2022-04-06 12:00:00,-99.10600778771217,
2022-04-06 13:30:00,-103.948822700948,
2022-04-06 15:00:00,-116.73946822951456,
2022-04-06 15:30:30,-116.73946822951456,
2022-04-06 23:59:59,-110.92934732994559,c
2022-04-07 00:00:00,-100.9231128530333,
2022-04-07 10:00:00,-108.87671918983298,
2022-04-07 10:30:00,-98.1070417695278,
2022-04-07 12:00:00,-84.25616869966615,
2022-04-07 13:30:00,-77.76573009784919,
2022-04-07 15:00:00,-72.92535578795722,
2022-04-07 15:30:30,-72.92535578795722,
2022-04-07 23:59:59,-67.30577152847292,c
2022-04-08 00:00:00,-58.73686437331568,
2022-04-08 10:00:00,-43.50921864145394,
2022-04-08 10:30:00,-49.63693480597182,
2022-04-08 12:00:00,-26.133908793028795,
2022-04-08 13:30:00,-20.68262330005964,
2022-04-08 15:00:00,-15.534495304155202,
2022-04-08 15:30:30,-15.534495304155202,
2022-04-08 23:59:59,-18.546650759115224,w
2022-04-11 00:00:00,-24.697055883979797,
2022-04-11 10:00:00,-80.14543987434212,
