date,EU_FTSE_DM_SC_2022_Q1,meta
2022-01-07 00:00:00,661.266760841221,
2022-01-07 03:30:00,597.1058318171984,
2022-01-07 04:00:00,601.7048753287236,
2022-01-07 06:00:00,583.1546875412437,
2022-01-07 08:00:00,601.6474703634384,
2022-01-07 10:30:00,585.2613594814143,
2022-01-07 11:00:00,583.3195330094188,
2022-01-07 23:59:59,566.1671997882936,w
2022-01-10 00:00:00,566.4765046861858,
2022-01-10 03:30:00,458.8859038871436,
2022-01-10 04:00:00,463.14489677138926,
2022-01-10 06:00:00,464.8635429960307,
2022-01-10 08:00:00,419.18676816301314,
2022-01-10 10:30:00,391.69654294526845,
2022-01-10 11:00:00,385.21810606726604,
2022-01-10 23:59:59,420.8504317583297,c
2022-01-11 00:00:00,397.34617630804917,
2022-01-11 03:30:00,446.274613006661,
2022-01-11 04:00:00,397.88924108113196,
2022-01-11 06:00:00,423.3882046345884,
2022-01-11 08:00:00,422.35574889019625,
2022-01-11 10:30:00,428.3735692296848,
2022-01-11 11:00:00,418.415822380797,
2022-01-11 23:59:59,411.60904609677374,c
2022-01-12 00:00:00,420.8044045537717,
2022-01-12 03:30:00,384.41874629996187,
2022-01-12 04:00:00,393.97201859215136,
2022-01-12 06:00:00,443.88397304882,
2022-01-12 08:00:00,454.5082878266761,
2022-01-12 10:30:00,483.26469226635805,
2022-01-12 11:00:00,467.3419269247154,
2022-01-12 23:59:59,449.9900304016352,c
2022-01-13 00:00:00,436.4285476447903,
2022-01-13 03:30:00,439.3497873477921,
2022-01-13 04:00:00,435.75356887417377,
2022-01-13 06:00:00,451.6469365144645,
2022-01-13 08:00:00,447.90590369857017,
2022-01-13 10:30:00,396.11797375063463,
2022-01-13 11:00:00,382.5508871911653,
2022-01-13 23:59:59,387.2982366132578,c
2022-01-14 00:00:00,393.5736112283008,
2022-01-14 03:30:00,365.5664229639335,
2022-01-14 04:00:00,384.18643770817323,
2022-01-14 06:00:00,385.16076301950716,
2022-01-14 08:00:00,355.2588054657874,
2022-01-14 10:30:00,353.73044496775196,
2022-01-14 11:00:00,341.32679163347586,
2022-01-14 23:59:59,352.1889337931281,w
2022-01-17 00:00:00,331.55944628376335,
2022-01-17 03:30:00,278.5994187721816,
2022-01-17 04:00:00,278.61316673270846,
2022-01-17 06:00:00,340.76264257649495,
2022-01-17 08:00:00,321.215556073097,
2022-01-17 10:30:00,321.88973018694185,
2022-01-17 11:00:00,318.5789917198685,
2022-01-17 23:59:59,317.2303042301975,c
2022-01-18 00:00:00,307.4579858977281,
2022-01-18 03:30:00,235.27457892893938,
2022-01-18 04:00:00,222.7642670486963,
2022-01-18 06:00:00,192.21536110854498,
2022-01-18 08:00:00,168.27213893142087,
2022-01-18 10:30:00,199.40854461191682,
2022-01-18 11:00:00,197.17320687403236,
2022-01-18 23:59:59,206.76277870274487,c
2022-01-19 00:00:00,136.28273840402787,
2022-01-19 03:30:00,129.60732264612128,
2022-01-19 04:00:00,164.79464709947234,
2022-01-19 06:00:00,179.37415389334018,
2022-01-19 08:00:00,180.81452716269513,
2022-01-19 10:30:00,181.33401768922326,
2022-01-19 11:00:00,170.22632923697577,
2022-01-19 23:59:59,177.2542117622324,c
2022-01-20 00:00:00,245.07957317716676,
2022-01-20 03:30:00,182.95168706585724,
2022-01-20 04:00:00,196.4825936849943,
2022-01-20 06:00:00,230.9693431830575,
2022-01-20 08:00:00,250.21773210442936,
2022-01-20 10:30:00,245.09833370159913,
2022-01-20 11:00:00,253.99175694857084,
