date,AS_MSCI_AS_EM_HK_STAY_2022_Q1,meta
2022-01-26 00:00:00,-302.0723530071009,
2022-01-26 01:00:00,-302.087235038186,
2022-01-26 02:30:00,-336.04070214137573,
2022-01-26 03:00:00,-333.91281090550547,
2022-01-26 18:30:00,-333.91281090550547,
2022-01-26 20:00:00,-333.91281090550547,
2022-01-26 23:00:00,-536.7227272068849,
2022-01-26 23:59:59,-536.2996521403084,c
2022-01-27 00:00:00,-659.4837833496658,
2022-01-27 01:00:00,-632.8478808088821,
2022-01-27 02:30:00,-638.638088513464,
2022-01-27 03:00:00,-628.5933424325258,
2022-01-27 18:30:00,-628.5933424325258,
2022-01-27 20:00:00,-628.5933424325258,
2022-01-27 23:00:00,-755.6055468510776,
2022-01-27 23:59:59,-754.3749171645786,c
2022-01-28 00:00:00,-722.8200251743638,
2022-01-28 01:00:00,-684.9257539395076,
2022-01-28 02:30:00,-695.4207597368959,
2022-01-28 03:00:00,-699.646568312086,
2022-01-28 18:30:00,-699.646568312086,
2022-01-28 20:00:00,-699.646568312086,
2022-01-28 23:00:00,-699.646568312086,
2022-01-28 23:59:59,-697.1205877262837,w
2022-01-31 00:00:00,-585.834252766932,
2022-01-31 01:00:00,-585.834252766932,
2022-01-31 02:30:00,-585.834252766932,
2022-01-31 03:00:00,-585.834252766932,
2022-01-31 18:30:00,-585.834252766932,
2022-01-31 20:00:00,-585.834252766932,
2022-01-31 23:00:00,-585.834252766932,
2022-01-31 23:59:59,-583.7830203654057,c
2022-02-01 00:00:00,-583.7830203654057,
2022-02-01 01:00:00,-583.7830203654057,
2022-02-01 02:30:00,-583.7830203654057,
2022-02-01 03:00:00,-583.7830203654057,
2022-02-01 18:30:00,-583.7830203654057,
2022-02-01 20:00:00,-583.7830203654057,
2022-02-01 23:00:00,-583.7830203654057,
2022-02-01 23:59:59,-583.7830203654057,c
2022-02-02 00:00:00,-583.7830203654057,
2022-02-02 01:00:00,-583.7830203654057,
