date,EU_MSCI_FACTOR_UNTRADE_2021_Q4,meta
2021-11-04 08:00:00,88.12116866307565,
2021-11-04 10:30:00,85.66911179613203,
2021-11-04 11:00:00,81.64482605648345,
2021-11-04 23:59:59,100.23185041582997,c
2021-11-05 00:00:00,1396.6871521412413,
2021-11-05 03:30:00,1398.9499972597414,
2021-11-05 04:00:00,1399.7123723491982,
2021-11-05 06:00:00,1401.592112800171,
2021-11-05 08:00:00,1408.30042010848,
2021-11-05 10:30:00,1416.4728078678754,
2021-11-05 11:00:00,137.54796414461566,
2021-11-05 23:59:59,146.5461216502672,w
2021-11-08 00:00:00,122.16467546833678,
2021-11-08 03:30:00,124.25502645245933,
2021-11-08 04:00:00,141.88884992323483,
2021-11-08 06:00:00,168.18364450035438,
2021-11-08 08:00:00,180.0517989673133,
2021-11-08 10:30:00,158.34282091816362,
2021-11-08 11:00:00,157.63783044214688,
2021-11-08 23:59:59,156.18779615362268,c
2021-11-09 00:00:00,154.78206336103744,
2021-11-09 03:30:00,158.17500960901066,
2021-11-09 04:00:00,163.02871180527222,
2021-11-09 06:00:00,157.6932472661822,
2021-11-09 08:00:00,190.87911814306858,
2021-11-09 10:30:00,183.6859491594264,
2021-11-09 11:00:00,179.8181451901496,
2021-11-09 23:59:59,170.75391342793296,c
2021-11-10 00:00:00,160.91610882023951,
2021-11-10 03:30:00,158.3307336715991,
2021-11-10 04:00:00,157.26340779003635,
2021-11-10 06:00:00,175.064967252398,
2021-11-10 08:00:00,147.011722993092,
2021-11-10 10:30:00,84.16904491306741,
2021-11-10 11:00:00,83.64536223128448,
2021-11-10 23:59:59,80.89269158887942,c
2021-11-11 00:00:00,85.62572320626941,
2021-11-11 03:30:00,80.3242079234085,
2021-11-11 04:00:00,61.429261668677555,
2021-11-11 06:00:00,8.820832241432527,
2021-11-11 08:00:00,-9.854511407898144,
2021-11-11 10:30:00,-24.874868116949074,
2021-11-11 11:00:00,-24.137705938427644,
2021-11-11 23:59:59,-12.989474450743728,c
2021-11-12 00:00:00,-10.65131224262359,
2021-11-12 03:30:00,16.10526381442969,
2021-11-12 04:00:00,9.259003833135466,
