date,AS_FTSE_AS_DM_AW_ADDSDELS_2021_Q4,meta
2021-10-08 00:00:00,-339.6291382653243,
2021-10-08 01:00:00,-339.6291382653243,
2021-10-08 02:30:00,-343.0143872781622,
2021-10-08 03:00:00,-343.02120554236456,
2021-10-08 18:30:00,-343.02120554236456,
2021-10-08 20:00:00,-343.02120554236456,
2021-10-08 23:00:00,-343.02120554236456,
2021-10-08 23:59:59,-347.60543541910977,w
2021-10-11 00:00:00,-360.06460315724837,
2021-10-11 01:00:00,-360.06460315724837,
2021-10-11 02:30:00,-359.21795811553045,
2021-10-11 03:00:00,-358.80333331353404,
2021-10-11 18:30:00,-358.80333331353404,
2021-10-11 20:00:00,-358.80333331353404,
2021-10-11 23:00:00,-354.3827427231479,
2021-10-11 23:59:59,-352.4983941662679,c
2021-10-12 00:00:00,-363.19515585621366,
2021-10-12 01:00:00,-363.19515585621366,
2021-10-12 02:30:00,-359.2396362792339,
2021-10-12 03:00:00,-359.6607610225593,
2021-10-12 18:30:00,-359.6607610225593,
2021-10-12 20:00:00,-359.6607610225593,
2021-10-12 23:00:00,-359.6607610225593,
2021-10-12 23:59:59,-371.128093716406,c
2021-10-13 00:00:00,-371.1280703878189,
2021-10-13 01:00:00,-371.1280703878189,
2021-10-13 02:30:00,-371.1280703878189,
2021-10-13 03:00:00,-371.1280703878189,
2021-10-13 18:30:00,-371.1280703878189,
2021-10-13 20:00:00,-371.1280703878189,
2021-10-13 23:00:00,-371.1280703878189,
2021-10-13 23:59:59,-364.04015058398375,c
2021-10-14 00:00:00,-362.26817063302497,
2021-10-14 01:00:00,-362.26817063302497,
2021-10-14 02:30:00,-362.26817063302497,
2021-10-14 03:00:00,-362.26817063302497,
2021-10-14 18:30:00,-362.26817063302497,
2021-10-14 20:00:00,-362.26817063302497,
2021-10-14 23:00:00,-372.05073475900616,
2021-10-14 23:59:59,-372.1526997942879,c
2021-10-15 00:00:00,-377.98009834161815,
2021-10-15 01:00:00,-377.98009834161815,
2021-10-15 02:30:00,-380.47429979076367,
2021-10-15 03:00:00,-380.06898074210307,
2021-10-15 18:30:00,-380.06898074210307,
2021-10-15 20:00:00,-380.06898074210307,
2021-10-15 23:00:00,-380.06898074210307,
2021-10-15 23:59:59,-379.19069555021287,w
2021-10-18 00:00:00,-372.5857624880921,
2021-10-18 01:00:00,-372.5857624880921,
2021-10-18 02:30:00,-370.39152734017836,
2021-10-18 03:00:00,-371.6632391115415,
2021-10-18 18:30:00,-371.6632391115415,
2021-10-18 20:00:00,-371.6632391115415,
2021-10-18 23:00:00,-381.09229371813404,
2021-10-18 23:59:59,-378.37880968358803,c
2021-10-19 00:00:00,-380.6526835437235,
2021-10-19 01:00:00,-380.6526835437235,
2021-10-19 02:30:00,-383.1612714314039,
2021-10-19 03:00:00,-382.77942273771134,
2021-10-19 18:30:00,-382.77942273771134,
2021-10-19 20:00:00,-382.77942273771134,
2021-10-19 23:00:00,-429.71215003386123,
2021-10-19 23:59:59,-459.2649066077832,c
2021-10-20 00:00:00,-464.34680125337053,
2021-10-20 01:00:00,-484.6583780711963,
2021-10-20 02:30:00,-503.9011649157618,
2021-10-20 03:00:00,-503.52146073817727,
2021-10-20 18:30:00,-503.52146073817727,
2021-10-20 20:00:00,-503.52146073817727,
2021-10-20 23:00:00,-444.08787104809227,
2021-10-20 23:59:59,-459.7277345600052,c
2021-10-21 00:00:00,-456.3717209363559,
2021-10-21 01:00:00,-459.53821698205826,
2021-10-21 02:30:00,-467.6668720791916,
2021-10-21 03:00:00,-467.6457934757089,
2021-10-21 18:30:00,-467.6457934757089,
2021-10-21 20:00:00,-467.6457934757089,
2021-10-21 23:00:00,-464.0206395211648,
2021-10-21 23:59:59,-460.134914374754,c
2021-10-22 00:00:00,-451.7143030908394,
2021-10-22 01:00:00,-463.79913871594226,
2021-10-22 02:30:00,-506.7761835171975,
2021-10-22 03:00:00,-508.05209797031154,
2021-10-22 18:30:00,-508.05209797031154,
2021-10-22 20:00:00,-508.05209797031154,
2021-10-22 23:00:00,-508.05209797031154,
2021-10-22 23:59:59,-506.5826726971453,w
2021-10-25 00:00:00,-568.6748514143502,
2021-10-25 01:00:00,-582.6787837019262,
2021-10-25 02:30:00,-567.7661188807353,
2021-10-25 03:00:00,-567.3524949087616,
