date,FVD_2021_Jul,meta
2021-08-02 12:00:00,-27.13792043272118,
2021-08-02 13:30:00,-35.09676731460059,
2021-08-02 15:00:00,-32.45967519559877,
2021-08-02 15:30:30,-32.45967519559877,
2021-08-02 23:59:59,-35.4775377742499,c
2021-08-03 00:00:00,-22.75094058131082,
2021-08-03 10:00:00,-44.80416505741868,
2021-08-03 10:30:00,-61.67407176271296,
2021-08-03 12:00:00,-55.227800642071735,
2021-08-03 13:30:00,-49.63556301186507,
2021-08-03 15:00:00,-45.451440884385114,
2021-08-03 15:30:30,-45.451440884385114,
2021-08-03 23:59:59,-45.41599388333942,c
2021-08-04 00:00:00,-55.17607533123367,
2021-08-04 10:00:00,-60.204017330278454,
2021-08-04 10:30:00,-55.28094853756131,
2021-08-04 12:00:00,-52.77419420327207,
2021-08-04 13:30:00,-50.390284801985196,
2021-08-04 15:00:00,-49.216253401636116,
2021-08-04 15:30:30,-49.216253401636116,
2021-08-04 23:59:59,-49.446487299618546,c
2021-08-05 00:00:00,-42.36210048916961,
2021-08-05 10:00:00,-32.397688562383884,
2021-08-05 10:30:00,-40.64180151814167,
2021-08-05 12:00:00,-34.1736371873727,
2021-08-05 13:30:00,-32.502576142198656,
2021-08-05 15:00:00,-34.919834324405066,
2021-08-05 15:30:30,-34.919834324405066,
2021-08-05 23:59:59,-29.722102232761934,c
2021-08-06 00:00:00,-8.01429017400713,
2021-08-06 10:00:00,7.3197789231085295,
2021-08-06 10:30:00,8.31612471455836,
2021-08-06 12:00:00,9.155450647936856,
2021-08-06 13:30:00,16.759185752201297,
2021-08-06 15:00:00,8.945402283716444,
2021-08-06 15:30:30,8.945402283716444,
2021-08-06 23:59:59,5.02648915413257,w
2021-08-09 00:00:00,10.56596720736216,
2021-08-09 10:00:00,10.016121903866498,
2021-08-09 10:30:00,21.69383847541192,
2021-08-09 12:00:00,39.324485506683786,
2021-08-09 13:30:00,39.80634511368713,
2021-08-09 15:00:00,37.61620422632908,
2021-08-09 15:30:30,37.61620422632908,
2021-08-09 23:59:59,46.110204225939476,c
2021-08-10 00:00:00,27.56765667386455,
2021-08-10 10:00:00,29.272809578909317,
2021-08-10 10:30:00,24.948173957908256,
2021-08-10 12:00:00,38.75135536635926,
2021-08-10 13:30:00,34.28261176703189,
2021-08-10 15:00:00,29.475934683659553,
2021-08-10 15:30:30,29.475934683659553,
2021-08-10 23:59:59,27.55183389873965,c
2021-08-11 00:00:00,34.85040918238828,
2021-08-11 10:00:00,10.228702396099614,
2021-08-11 10:30:00,12.388571009343465,
2021-08-11 12:00:00,16.852233816443636,
2021-08-11 13:30:00,21.418458180118538,
2021-08-11 15:00:00,29.210392356402828,
2021-08-11 15:30:30,29.210392356402828,
2021-08-11 23:59:59,36.5129774098683,c
