date,PPA_2022_Q1,meta
2022-03-23 12:00:00,-3.8351273656816147,
2022-03-23 13:30:00,-9.939207739661114,
2022-03-23 15:00:00,-1.5212489204498212,
2022-03-23 15:30:30,-1.5212489204498212,s
2022-03-23 23:59:59,0.0,a
2022-03-24 00:00:00,3.493559044527913,
2022-03-24 10:00:00,15.474318056482844,
2022-03-24 10:30:00,2.340019345819627,
2022-03-24 12:00:00,8.217017669270703,
2022-03-24 13:30:00,3.6419888056204996,
2022-03-24 15:00:00,21.304190532175,
2022-03-24 15:30:30,21.304190532175,
2022-03-24 23:59:59,30.480737853388433,c
2022-03-25 00:00:00,-2.5385331737538053,
2022-03-25 10:00:00,9.245528921124716,
2022-03-25 10:30:00,-4.05021053710756,
2022-03-25 12:00:00,-10.565012951521496,
2022-03-25 13:30:00,8.34608056201975,
2022-03-25 15:00:00,22.024002239255083,
2022-03-25 15:30:30,22.024002239255083,
2022-03-25 23:59:59,27.906314188349683,w
2022-03-28 00:00:00,27.699487851483525,
2022-03-28 10:00:00,50.41362585252094,
2022-03-28 10:30:00,55.89234241633292,
2022-03-28 12:00:00,45.713282942817756,
2022-03-28 13:30:00,54.7225711834308,
2022-03-28 15:00:00,51.45902102432456,
2022-03-28 15:30:30,51.45902102432456,
2022-03-28 23:59:59,63.98470297682084,c
0,63.98470297682084,
0,63.98470297682084,
0,63.98470297682084,
0,63.98470297682084,
0,63.98470297682084,
0,63.98470297682084,
0,63.98470297682084,
0,63.98470297682084,
2022-03-29 00:00:00,110.7336754496481,
2022-03-29 10:00:00,118.01198661449223,
2022-03-29 10:30:00,96.22957705564306,
2022-03-29 12:00:00,111.14391578643182,
2022-03-29 13:30:00,112.89502123647176,
2022-03-29 15:00:00,120.38811948301588,
2022-03-29 15:30:30,120.38811948301588,
2022-03-29 23:59:59,109.7134285920479,c
2022-03-30 00:00:00,111.13508009734582,
2022-03-30 10:00:00,134.92153640254503,
2022-03-30 10:30:00,146.0175582175572,
2022-03-30 12:00:00,150.61682921253336,
2022-03-30 13:30:00,144.1185326285336,
2022-03-30 15:00:00,142.65831852943856,
2022-03-30 15:30:30,142.65831852943856,
2022-03-30 23:59:59,144.5201340932919,e
2022-03-31 00:00:00,143.55876395202395,
2022-03-31 10:00:00,157.85369160053412,
2022-03-31 10:30:00,151.157140080456,
2022-03-31 12:00:00,171.8236313288044,
2022-03-31 13:30:00,167.5117152097412,
2022-03-31 15:00:00,176.3065334082709,
2022-03-31 15:30:30,176.3065334082709,
2022-03-31 23:59:59,171.53687205147233,c
2022-04-01 00:00:00,171.4354293039111,
2022-04-01 10:00:00,165.51862489761848,
2022-04-01 10:30:00,154.25105130199037,
2022-04-01 12:00:00,155.36334668408747,
2022-04-01 13:30:00,133.50174527578102,
2022-04-01 15:00:00,139.50137374620263,
2022-04-01 15:30:30,139.50137374620263,
2022-04-01 23:59:59,144.01316406450437,w
2022-04-04 00:00:00,132.433282174634,
2022-04-04 10:00:00,148.89026567252992,
2022-04-04 10:30:00,157.39895433463934,
2022-04-04 12:00:00,172.46926574957595,
2022-04-04 13:30:00,174.2204219080168,
2022-04-04 15:00:00,178.25852350855703,
