date,AS_TOPIX_2022_Q4,meta
2022-08-26 00:00:00,-69.60660300971554,
2022-08-26 01:00:00,-74.28181235401328,
2022-08-26 02:30:00,-74.28181235401328,
2022-08-26 03:00:00,-74.28181235401328,
2022-08-26 18:30:00,-74.28181235401328,
2022-08-26 20:00:00,-74.28181235401328,
2022-08-26 23:00:00,-74.28181235401328,
2022-08-26 23:59:59,-74.50930993373242,w
2022-08-29 00:00:00,-58.04707232801895,
2022-08-29 01:00:00,-60.19509698356581,
2022-08-29 02:30:00,-60.19509698356581,
2022-08-29 03:00:00,-60.19509698356581,
2022-08-29 18:30:00,-60.19509698356581,
2022-08-29 20:00:00,-60.19509698356581,
2022-08-29 23:00:00,-60.19509698356581,
2022-08-29 23:59:59,-53.5920591507162,c
2022-08-30 00:00:00,-53.6940114562315,
2022-08-30 01:00:00,-58.45221408619013,
2022-08-30 02:30:00,-58.45221408619013,
2022-08-30 03:00:00,-58.45221408619013,
2022-08-30 18:30:00,-58.45221408619013,
2022-08-30 20:00:00,-58.45221408619013,
2022-08-30 23:00:00,-58.45221408619013,
2022-08-30 23:59:59,-73.08000210482408,c
2022-08-31 00:00:00,-66.78154319568833,
2022-08-31 01:00:00,-67.08579178092614,
2022-08-31 02:30:00,-67.08579178092614,
2022-08-31 03:00:00,-67.08579178092614,
2022-08-31 18:30:00,-67.08579178092614,
2022-08-31 20:00:00,-67.08579178092614,
2022-08-31 23:00:00,-67.08579178092614,
2022-08-31 23:59:59,-55.5942859167619,c
2022-09-01 00:00:00,-58.13440907848619,
2022-09-01 01:00:00,-61.69324180778798,
2022-09-01 02:30:00,-61.69324180778798,
2022-09-01 03:00:00,-61.69324180778798,
2022-09-01 18:30:00,-61.69324180778798,
2022-09-01 20:00:00,-61.69324180778798,
2022-09-01 23:00:00,-61.69324180778798,
2022-09-01 23:59:59,-60.30338122991312,c
2022-09-02 00:00:00,-60.57009791541437,
2022-09-02 01:00:00,-60.76605287951687,
2022-09-02 02:30:00,-60.76605287951687,
2022-09-02 03:00:00,-60.76605287951687,
2022-09-02 18:30:00,-60.76605287951687,
2022-09-02 20:00:00,-60.76605287951687,
2022-09-02 23:00:00,-60.76605287951687,
2022-09-02 23:59:59,-62.7383947079912,w
2022-09-05 00:00:00,-70.02880250768072,
2022-09-05 01:00:00,-68.81684368860567,
2022-09-05 02:30:00,-68.81684368860567,
2022-09-05 03:00:00,-68.81684368860567,
2022-09-05 18:30:00,-68.81684368860567,
2022-09-05 20:00:00,-68.81684368860567,
2022-09-05 23:00:00,-68.81684368860567,
2022-09-05 23:59:59,-56.10962841092327,c
2022-09-06 00:00:00,-55.059349663629,
2022-09-06 01:00:00,-53.76210254811104,
2022-09-06 02:30:00,-53.76210254811104,
2022-09-06 03:00:00,-53.76210254811104,
2022-09-06 18:30:00,-53.76210254811104,
2022-09-06 20:00:00,-53.76210254811104,
2022-09-06 23:00:00,-53.76210254811104,
2022-09-06 23:59:59,-51.54213348756759,c
2022-09-07 00:00:00,-49.340251819274094,
2022-09-07 01:00:00,-52.86953333301377,
2022-09-07 02:30:00,-52.86953333301377,
2022-09-07 03:00:00,-52.86953333301377,
2022-09-07 18:30:00,-52.86953333301377,
2022-09-07 20:00:00,-52.86953333301377,
2022-09-07 23:00:00,-52.86953333301377,
2022-09-07 23:59:59,-48.83721939347061,c
2022-09-08 00:00:00,-44.31874632845835,
2022-09-08 01:00:00,-45.50656883382697,
2022-09-08 02:30:00,-45.50656883382697,
2022-09-08 03:00:00,-45.50656883382697,
2022-09-08 18:30:00,-45.50656883382697,
2022-09-08 20:00:00,-45.50656883382697,
2022-09-08 23:00:00,-45.50656883382697,
2022-09-08 23:59:59,-36.73362463946973,c
2022-09-09 00:00:00,-39.68955036933372,
2022-09-09 01:00:00,-39.22319109059381,
2022-09-09 02:30:00,-39.22319109059381,
2022-09-09 03:00:00,-39.22319109059381,
2022-09-09 18:30:00,-39.22319109059381,
2022-09-09 20:00:00,-39.22319109059381,
2022-09-09 23:00:00,-39.22319109059381,
2022-09-09 23:59:59,-41.79584249261705,w
2022-09-12 00:00:00,-36.78030829214065,
2022-09-12 01:00:00,-39.282809746990516,
2022-09-12 02:30:00,-39.282809746990516,
2022-09-12 03:00:00,-39.282809746990516,
2022-09-12 18:30:00,-39.282809746990516,
2022-09-12 20:00:00,-39.282809746990516,
2022-09-12 23:00:00,-39.282809746990516,
2022-09-12 23:59:59,-33.992418370050125,c
2022-09-13 00:00:00,-40.533636010710545,
2022-09-13 01:00:00,-38.97192642885384,
2022-09-13 02:30:00,-38.97192642885384,
2022-09-13 03:00:00,-38.97192642885384,
2022-09-13 18:30:00,-38.97192642885384,
2022-09-13 20:00:00,-38.97192642885384,
2022-09-13 23:00:00,-38.97192642885384,
2022-09-13 23:59:59,-37.76351414630408,c
2022-09-14 00:00:00,-31.651673281534265,
2022-09-14 01:00:00,-31.66050483863517,
2022-09-14 02:30:00,-31.66050483863517,
2022-09-14 03:00:00,-31.66050483863517,
2022-09-14 18:30:00,-31.66050483863517,
2022-09-14 20:00:00,-31.66050483863517,
2022-09-14 23:00:00,-31.66050483863517,
2022-09-14 23:59:59,-37.57168570169552,c
2022-09-15 00:00:00,-33.99775880904061,
2022-09-15 01:00:00,-37.560747917718736,
2022-09-15 02:30:00,-37.560747917718736,
2022-09-15 03:00:00,-37.560747917718736,
2022-09-15 18:30:00,-37.560747917718736,
2022-09-15 20:00:00,-37.560747917718736,
2022-09-15 23:00:00,-37.560747917718736,
2022-09-15 23:59:59,-28.964759745784583,c
2022-09-16 00:00:00,-30.84254361065161,
2022-09-16 01:00:00,-35.77758848471125,
2022-09-16 02:30:00,-35.77758848471125,
2022-09-16 03:00:00,-35.77758848471125,
2022-09-16 18:30:00,-35.77758848471125,
2022-09-16 20:00:00,-35.77758848471125,
2022-09-16 23:00:00,-35.77758848471125,
2022-09-16 23:59:59,-33.42267877553075,w
2022-09-19 00:00:00,-33.42267877553075,
2022-09-19 01:00:00,-33.42267877553075,
2022-09-19 02:30:00,-33.42267877553075,
2022-09-19 03:00:00,-33.42267877553075,
2022-09-19 18:30:00,-33.42267877553075,
2022-09-19 20:00:00,-33.42267877553075,
2022-09-19 23:00:00,-33.42267877553075,
2022-09-19 23:59:59,-33.42267877553075,c
2022-09-20 00:00:00,-30.22546657272151,
2022-09-20 01:00:00,-33.96535005188951,
2022-09-20 02:30:00,-33.96535005188951,
2022-09-20 03:00:00,-33.96535005188951,
2022-09-20 18:30:00,-33.96535005188951,
2022-09-20 20:00:00,-33.96535005188951,
2022-09-20 23:00:00,-33.96535005188951,
2022-09-20 23:59:59,-37.301884984515475,c
2022-09-21 00:00:00,-38.101500770375274,
2022-09-21 01:00:00,-32.35994003179572,
2022-09-21 02:30:00,-32.35994003179572,
2022-09-21 03:00:00,-32.35994003179572,
2022-09-21 18:30:00,-32.35994003179572,
2022-09-21 20:00:00,-32.35994003179572,
2022-09-21 23:00:00,-32.35994003179572,
2022-09-21 23:59:59,-19.99989405771526,c
2022-09-22 00:00:00,-19.964735064023685,
2022-09-22 01:00:00,-25.137844650157852,
2022-09-22 02:30:00,-25.137844650157852,
2022-09-22 03:00:00,-25.137844650157852,
2022-09-22 18:30:00,-25.137844650157852,
2022-09-22 20:00:00,-25.137844650157852,
2022-09-22 23:00:00,-25.137844650157852,
2022-09-22 23:59:59,-23.249208100399827,c
2022-09-23 00:00:00,-23.249208100399827,
2022-09-23 01:00:00,-23.249208100399827,
2022-09-23 02:30:00,-23.249208100399827,
2022-09-23 03:00:00,-23.249208100399827,
2022-09-23 18:30:00,-23.249208100399827,
2022-09-23 20:00:00,-23.249208100399827,
