date,OMFL_2021_Q4,meta
2021-11-16 00:00:00,-197.02881237314782,
2021-11-16 10:00:00,-168.8651600570195,
2021-11-16 10:30:00,-173.211824782609,
2021-11-16 12:00:00,-189.88504504779658,
2021-11-16 13:30:00,-194.67212998893953,
2021-11-16 15:00:00,-185.159606969785,
2021-11-16 15:30:30,-185.159606969785,
2021-11-16 23:59:59,-180.16095147895481,c
2021-11-17 00:00:00,-181.87378517079676,
2021-11-17 10:00:00,-164.87413200727931,
2021-11-17 10:30:00,-158.107090331745,
2021-11-17 12:00:00,-147.04295221214159,
2021-11-17 13:30:00,-148.1517689957871,
2021-11-17 15:00:00,-142.68510692121245,
2021-11-17 15:30:30,-142.68510692121245,
2021-11-17 23:59:59,-150.86272722931443,c
2021-11-18 00:00:00,-181.14516659218555,
2021-11-18 10:00:00,-167.86016173495744,
2021-11-18 10:30:00,-136.19855738626578,
2021-11-18 12:00:00,-151.61823446959394,
2021-11-18 13:30:00,-141.29390452792956,
2021-11-18 15:00:00,-142.60407678367366,
2021-11-18 15:30:30,-142.60407678367366,
2021-11-18 23:59:59,-141.09807974591183,c
2021-11-19 00:00:00,-93.96343439300247,
2021-11-19 10:00:00,-72.82088156262745,
2021-11-19 10:30:00,-82.56163161395301,
2021-11-19 12:00:00,-93.8153644152259,
2021-11-19 13:30:00,-103.60504783068998,
2021-11-19 15:00:00,-93.77584103441853,
2021-11-19 15:30:30,-93.77584103441853,
2021-11-19 23:59:59,-96.42353760306511,w
2021-11-22 00:00:00,-114.8137809655004,
2021-11-22 10:00:00,-124.29032384755862,
2021-11-22 10:30:00,-129.82292511206063,
2021-11-22 12:00:00,-133.1312675203803,
2021-11-22 13:30:00,-159.64358402108581,
2021-11-22 15:00:00,-169.84047456490916,
2021-11-22 15:30:30,-169.84047456490916,u
2021-11-22 23:59:59,-164.5364952162985,c
2021-11-23 00:00:00,-174.8709016312054,
2021-11-23 10:00:00,-185.08164789840774,
2021-11-23 10:30:00,-194.80728593019245,
2021-11-23 12:00:00,-169.6931835448904,
2021-11-23 13:30:00,-173.480238441859,
2021-11-23 15:00:00,-167.33522816136195,
2021-11-23 15:30:30,-167.33522816136195,
2021-11-23 23:59:59,-168.59327623128797,c
2021-11-24 00:00:00,-163.77632637686037,
2021-11-24 10:00:00,-173.8307917820243,
2021-11-24 10:30:00,-178.07131974214036,
2021-11-24 12:00:00,-167.15464831407783,
2021-11-24 13:30:00,-168.9522378713211,
2021-11-24 15:00:00,-165.6292352073546,
2021-11-24 15:30:30,-165.6292352073546,
2021-11-24 23:59:59,-155.20756869582146,c
2021-11-25 00:00:00,-155.20756869582146,
2021-11-25 10:00:00,-155.20756869582146,
2021-11-25 10:30:00,-155.20756869582146,
2021-11-25 12:00:00,-155.20756869582146,
2021-11-25 13:30:00,-155.20756869582146,
2021-11-25 15:00:00,-155.20756869582146,
