date,AR1_AD_HEDGED_2022_Q2,meta
2022-04-22 00:00:00,127.65029057515386,
2022-04-22 10:00:00,133.6795288848552,
2022-04-22 10:30:00,110.10040289035126,
2022-04-22 12:00:00,102.2218353897538,
2022-04-22 13:30:00,87.94500808276837,
2022-04-22 15:00:00,100.07052349149544,
2022-04-22 15:30:30,100.07052349149544,
2022-04-22 23:59:59,99.83118041124177,w
2022-04-25 00:00:00,102.57958216794296,
2022-04-25 10:00:00,122.6976339891136,
2022-04-25 10:30:00,115.83650251918354,
2022-04-25 12:00:00,124.15639479651273,
2022-04-25 13:30:00,128.81638704784393,
2022-04-25 15:00:00,131.04244103078804,
2022-04-25 15:30:30,131.04244103078804,
2022-04-25 23:59:59,124.69621435857499,c
2022-04-26 00:00:00,129.15432745596456,
2022-04-26 10:00:00,137.8500343096482,
2022-04-26 10:30:00,130.64619991207928,
2022-04-26 12:00:00,96.84912327589794,
2022-04-26 13:30:00,93.70490233009602,
2022-04-26 15:00:00,103.0604937937008,
2022-04-26 15:30:30,103.0604937937008,
2022-04-26 23:59:59,106.99230356259014,c
2022-04-27 00:00:00,95.96378177350024,
2022-04-27 10:00:00,105.31599182665843,
2022-04-27 10:30:00,74.6444521831315,
2022-04-27 12:00:00,67.90724364485078,
2022-04-27 13:30:00,68.59960884942757,
2022-04-27 15:00:00,75.92650427314274,
2022-04-27 15:30:30,75.92650427314274,
2022-04-27 23:59:59,82.8516639790059,c
2022-04-28 00:00:00,79.67590511001046,
2022-04-28 10:00:00,89.28744003254656,
2022-04-28 10:30:00,86.34791034081746,
2022-04-28 12:00:00,100.66200774481865,
2022-04-28 13:30:00,126.7764741987703,
2022-04-28 15:00:00,125.17685244286935,
2022-04-28 15:30:30,125.17685244286935,
2022-04-28 23:59:59,121.26805007567975,c
2022-04-29 00:00:00,89.34800792939359,
2022-04-29 10:00:00,127.70116026642694,
2022-04-29 10:30:00,122.50386170621096,
2022-04-29 12:00:00,121.4473546760434,
2022-04-29 13:30:00,117.7659446893816,
2022-04-29 15:00:00,98.81262359357416,
2022-04-29 15:30:30,98.81262359357416,
2022-04-29 23:59:59,82.04990325194117,w
2022-05-02 00:00:00,85.26562867903243,
2022-05-02 10:00:00,69.02734407304939,
2022-05-02 10:30:00,73.20947373034761,
2022-05-02 12:00:00,92.1703027473863,
2022-05-02 13:30:00,92.56749981221856,
2022-05-02 15:00:00,80.91533550156308,
2022-05-02 15:30:30,80.91533550156308,
2022-05-02 23:59:59,75.8624624280921,c
2022-05-03 00:00:00,85.6394509660908,
2022-05-03 10:00:00,92.21166955646746,
2022-05-03 10:30:00,74.79156349374642,
2022-05-03 12:00:00,55.197020407035865,
2022-05-03 13:30:00,62.222526479614146,
2022-05-03 15:00:00,77.33544659071342,
2022-05-03 15:30:30,77.33544659071342,
2022-05-03 23:59:59,71.82184400164121,c
2022-05-04 00:00:00,80.58412870235566,
2022-05-04 10:00:00,77.99020068800917,
2022-05-04 10:30:00,60.67622906832122,
2022-05-04 12:00:00,73.96129537099557,
2022-05-04 13:30:00,76.20308033227357,
2022-05-04 15:00:00,85.13988294805395,
2022-05-04 15:30:30,85.13988294805395,
2022-05-04 23:59:59,90.00812867955713,c
2022-05-05 00:00:00,73.82020482240907,
2022-05-05 10:00:00,20.80457964066079,
2022-05-05 10:30:00,11.202885379864,
2022-05-05 12:00:00,3.9824614967377556,
2022-05-05 13:30:00,22.833959613032107,
2022-05-05 15:00:00,16.608357154690253,
2022-05-05 15:30:30,16.608357154690253,
2022-05-05 23:59:59,17.420259821080208,c
2022-05-06 00:00:00,-20.78606899681037,
2022-05-06 10:00:00,-52.70968641503657,
2022-05-06 10:30:00,-56.45603444972663,
2022-05-06 12:00:00,-55.95841618484937,
2022-05-06 13:30:00,-52.834952934423185,
2022-05-06 15:00:00,-61.333783543631085,
2022-05-06 15:30:30,-61.333783543631085,s
2022-05-06 23:59:59,-59.21931427449553,w
2022-05-09 00:00:00,-68.67308239136545,
2022-05-09 10:00:00,-105.35926757787853,
2022-05-09 10:30:00,-110.56055612611263,
2022-05-09 12:00:00,-118.91709970053479,
2022-05-09 13:30:00,-128.69604215830634,
2022-05-09 15:00:00,-148.30439842341636,
2022-05-09 15:30:30,-148.30439842341636,
2022-05-09 23:59:59,-143.44084011234096,c
2022-05-10 00:00:00,-149.25933972870993,
2022-05-10 10:00:00,-208.3011546484201,
2022-05-10 10:30:00,-246.23890376591217,
2022-05-10 12:00:00,-247.93809941784465,
2022-05-10 13:30:00,-279.8442123270918,
2022-05-10 15:00:00,-277.7907881045024,
2022-05-10 15:30:30,-277.7907881045024,u
2022-05-10 23:59:59,-286.9241252794,c
2022-05-11 00:00:00,-341.0814667527088,
2022-05-11 10:00:00,-282.11340315383825,
2022-05-11 10:30:00,-236.86097745037404,
2022-05-11 12:00:00,-227.74269317998775,
2022-05-11 13:30:00,-255.63091938944507,
2022-05-11 15:00:00,-241.61904229117158,
2022-05-11 15:30:30,-241.61904229117158,
2022-05-11 23:59:59,-244.984943245054,c
2022-05-12 00:00:00,-242.02405637600555,
2022-05-12 10:00:00,-188.71530040558412,
2022-05-12 10:30:00,-133.83868898981345,
2022-05-12 12:00:00,-128.8959643959208,
2022-05-12 13:30:00,-130.0242489289044,
2022-05-12 15:00:00,-141.173872779588,
2022-05-12 15:30:30,-141.173872779588,
2022-05-12 23:59:59,-128.75672009589266,c
