date,MSCI_FACT_VLUE_2020_Q4,meta
2020-10-14 00:00:00,259.63176055032613,
2020-10-14 10:00:00,253.451709569832,
2020-10-14 10:30:00,262.2054905756221,
2020-10-14 12:00:00,250.88145561186863,
2020-10-14 13:30:00,244.88372532932246,
2020-10-14 15:00:00,247.6798915256758,
2020-10-14 15:30:30,247.6798915256758,
2020-10-14 23:59:59,252.16788720197914,c
2020-10-15 00:00:00,260.9110410049541,
2020-10-15 10:00:00,254.16763859939115,
2020-10-15 10:30:00,247.90114152397953,
2020-10-15 12:00:00,238.19705695167775,
2020-10-15 13:30:00,234.10618928828066,
2020-10-15 15:00:00,233.37297665176052,
2020-10-15 15:30:30,233.37297665176052,
2020-10-15 23:59:59,236.44450632496486,c
2020-10-16 00:00:00,232.3520526151395,
2020-10-16 10:00:00,247.68825878081972,
2020-10-16 10:30:00,252.89026601685921,
2020-10-16 12:00:00,247.2649516340584,
2020-10-16 13:30:00,246.02018383901148,
2020-10-16 15:00:00,248.7300397037155,
2020-10-16 15:30:30,248.7300397037155,
2020-10-16 23:59:59,260.7759429688558,w
2020-10-19 00:00:00,266.175192494288,
2020-10-19 10:00:00,249.3854448453417,
2020-10-19 10:30:00,234.2435018944328,
2020-10-19 12:00:00,230.43692454809806,
2020-10-19 13:30:00,228.1042867124004,
2020-10-19 15:00:00,237.65408311117218,
2020-10-19 15:30:30,237.65408311117218,
2020-10-19 23:59:59,237.46595378260272,c
2020-10-20 00:00:00,228.1378998980774,
2020-10-20 10:00:00,200.2290234419602,
2020-10-20 10:30:00,200.01911418972313,
2020-10-20 12:00:00,182.73465799249234,
2020-10-20 13:30:00,175.24678874130095,
2020-10-20 15:00:00,185.59265879466645,
2020-10-20 15:30:30,185.59265879466645,
2020-10-20 23:59:59,186.8520595092916,c
2020-10-21 00:00:00,180.08996471061826,
2020-10-21 10:00:00,172.81459764767672,
2020-10-21 10:30:00,174.849093409812,
2020-10-21 12:00:00,180.57908012506923,
2020-10-21 13:30:00,181.71974129904933,
2020-10-21 15:00:00,184.4963892029015,
2020-10-21 15:30:30,184.4963892029015,
2020-10-21 23:59:59,176.73452480693928,c
2020-10-22 00:00:00,169.5604671060124,
2020-10-22 10:00:00,176.32437344043817,
2020-10-22 10:30:00,170.34948742723233,
2020-10-22 12:00:00,181.02485860520247,
2020-10-22 13:30:00,184.24245995523475,
2020-10-22 15:00:00,180.79651476171702,
2020-10-22 15:30:30,180.79651476171702,
2020-10-22 23:59:59,174.43422693385676,c
2020-10-23 00:00:00,146.53148734285438,
2020-10-23 10:00:00,141.16338359167585,
2020-10-23 10:30:00,141.15372899825897,
2020-10-23 12:00:00,140.34901124721333,
2020-10-23 13:30:00,134.48413201092043,
2020-10-23 15:00:00,133.8306080085617,
2020-10-23 15:30:30,133.8306080085617,
2020-10-23 23:59:59,126.43138907889053,w
2020-10-26 00:00:00,141.66923229368913,
2020-10-26 10:00:00,124.92806328460094,
2020-10-26 10:30:00,136.41645848236342,
2020-10-26 12:00:00,131.76955963027828,
2020-10-26 13:30:00,135.85617830268265,
2020-10-26 15:00:00,130.2622046127132,
2020-10-26 15:30:30,130.2622046127132,
2020-10-26 23:59:59,127.24292923106495,c
2020-10-27 00:00:00,103.63914455340151,
2020-10-27 10:00:00,105.67637864028367,
2020-10-27 10:30:00,98.59277390694976,
2020-10-27 12:00:00,100.89774979323457,
2020-10-27 13:30:00,95.69185312031337,
2020-10-27 15:00:00,99.78925603533284,
2020-10-27 15:30:30,99.78925603533284,
2020-10-27 23:59:59,89.11453920460897,c
2020-10-28 00:00:00,124.11760743605615,
2020-10-28 10:00:00,113.67996776614203,
2020-10-28 10:30:00,105.10611162452759,
2020-10-28 12:00:00,100.50422155894628,
2020-10-28 13:30:00,95.97463998086934,
2020-10-28 15:00:00,94.39170907534768,
2020-10-28 15:30:30,94.39170907534768,
2020-10-28 23:59:59,85.19350655330001,c
2020-10-29 00:00:00,60.857850482254065,
2020-10-29 10:00:00,50.52671054093403,
2020-10-29 10:30:00,33.692142265367124,
2020-10-29 12:00:00,27.436290893266488,
2020-10-29 13:30:00,16.049713921646543,
2020-10-29 15:00:00,-1.1255957361574076,
2020-10-29 15:30:30,-1.1255957361574076,
2020-10-29 23:59:59,-0.4972410700669343,c
2020-10-30 00:00:00,17.974938434155064,
2020-10-30 10:00:00,24.536705344815516,
2020-10-30 10:30:00,39.78878986339802,
2020-10-30 12:00:00,37.65371296457252,
2020-10-30 13:30:00,25.08155350847082,
2020-10-30 15:00:00,15.828592097448421,
2020-10-30 15:30:30,15.828592097448421,s
2020-10-30 23:59:59,26.272765612476377,w
2020-11-02 00:00:00,30.873184855006713,
2020-11-02 10:00:00,-10.439437428555806,
2020-11-02 10:30:00,-8.601569628686434,
2020-11-02 12:00:00,-17.216685407911967,
2020-11-02 13:30:00,-13.731155536325133,
2020-11-02 15:00:00,-23.344837384624753,
2020-11-02 15:30:30,-23.344837384624753,
2020-11-02 23:59:59,-28.83778455827266,c
2020-11-03 00:00:00,-30.84878514162034,
2020-11-03 10:00:00,-29.308083329365644,
2020-11-03 10:30:00,-34.2911315036547,
2020-11-03 12:00:00,-23.79197108537278,
2020-11-03 13:30:00,-40.18629156035806,
2020-11-03 15:00:00,-54.94212886553811,
2020-11-03 15:30:30,-54.94212886553811,
2020-11-03 23:59:59,-49.29637121885099,c
2020-11-04 00:00:00,10.385138096129026,
2020-11-04 10:00:00,47.59519955314656,
2020-11-04 10:30:00,33.89632809922949,
2020-11-04 12:00:00,37.7918898127642,
