date,BRL_SMLL_2022_Q4,meta
2022-12-12 00:00:00,-39.20634937669229,
2022-12-12 10:00:00,-147.53697137454674,
2022-12-12 10:30:00,-132.78797813006668,
2022-12-12 12:00:00,-41.34894522234572,
2022-12-12 13:30:00,-23.933270787596484,
2022-12-12 15:00:00,-35.55151832863021,
2022-12-12 15:30:30,-35.55151832863021,
2022-12-12 23:59:59,57.0844421512802,c
2022-12-13 00:00:00,88.3975189259495,
2022-12-13 10:00:00,126.51707729763348,
2022-12-13 10:30:00,147.0822424828998,
2022-12-13 12:00:00,62.94888179448526,
2022-12-13 13:30:00,27.096911166545397,
2022-12-13 15:00:00,-64.70317038957955,
2022-12-13 15:30:30,-64.70317038957955,
2022-12-13 23:59:59,-76.20350355741084,c
2022-12-14 00:00:00,-119.93715306853255,
2022-12-14 10:00:00,-276.614163496723,
2022-12-14 10:30:00,-250.46227087580974,
2022-12-14 12:00:00,-161.95893089602987,
2022-12-14 13:30:00,-74.6280326132869,
2022-12-14 15:00:00,-105.00611197056287,
2022-12-14 15:30:30,-105.00611197056287,
2022-12-14 23:59:59,-129.2636610935524,c
2022-12-15 00:00:00,-189.10741143794303,
2022-12-15 10:00:00,-25.645282482818857,
2022-12-15 10:30:00,-137.87235918375245,
2022-12-15 12:00:00,-192.12693735512312,
2022-12-15 13:30:00,-157.19161569720927,
2022-12-15 15:00:00,-228.40441613253188,
2022-12-15 15:30:30,-228.40441613253188,
2022-12-15 23:59:59,-261.89221987161363,c
2022-12-16 00:00:00,-244.6001449910118,
2022-12-16 10:00:00,-253.93037882295312,
2022-12-16 10:30:00,-342.37554647029265,
2022-12-16 12:00:00,-392.9565158632081,
2022-12-16 13:30:00,-397.40893508058343,
2022-12-16 15:00:00,-399.1432568868713,
2022-12-16 15:30:30,-399.1432568868713,q
2022-12-16 23:59:59,-403.23890383854905,w
2022-12-19 00:00:00,-393.9311707612442,
2022-12-19 10:00:00,-458.1226660319203,
2022-12-19 10:30:00,-371.6074831064461,
2022-12-19 12:00:00,-336.7136182618383,
2022-12-19 13:30:00,-245.35481246786594,
2022-12-19 15:00:00,-255.44635291256282,
2022-12-19 15:30:30,-255.44635291256282,
2022-12-19 23:59:59,-233.61738928562863,c
2022-12-20 00:00:00,-265.1237942437401,
2022-12-20 10:00:00,58.695296915743256,
2022-12-20 10:30:00,101.17511505512311,
2022-12-20 12:00:00,98.09421382223809,
2022-12-20 13:30:00,72.55011510280201,
2022-12-20 15:00:00,-40.16047337013197,
2022-12-20 15:30:30,-40.16047337013197,
2022-12-20 23:59:59,-56.64629642310729,c
2022-12-21 00:00:00,-63.92382340556196,
2022-12-21 10:00:00,-308.8788161033922,
2022-12-21 10:30:00,-285.38726941268305,
2022-12-21 12:00:00,-264.11091629433986,
2022-12-21 13:30:00,-279.6971628526794,
2022-12-21 15:00:00,-220.17225310934964,
2022-12-21 15:30:30,-220.17225310934964,
2022-12-21 23:59:59,-232.13515566920978,c
2022-12-22 00:00:00,-259.9759043394761,
2022-12-22 10:00:00,-250.13339441867947,
2022-12-22 10:30:00,-254.3729438096275,
2022-12-22 12:00:00,-207.1093977066139,
2022-12-22 13:30:00,-263.457754983805,
2022-12-22 15:00:00,-231.122164136867,
2022-12-22 15:30:30,-231.122164136867,
2022-12-22 23:59:59,-157.87977558623243,c
2022-12-23 00:00:00,-116.55852325717706,
2022-12-23 10:00:00,11.491921642430498,
2022-12-23 10:30:00,33.98017545276025,
2022-12-23 12:00:00,-7.835531094710859,
2022-12-23 13:30:00,-20.18225197603806,
2022-12-23 15:00:00,-66.24423739157282,
2022-12-23 15:30:30,-66.24423739157282,
2022-12-23 23:59:59,-30.26402347382009,w
2022-12-26 00:00:00,-24.072912654824904,
2022-12-26 10:00:00,-75.87550843289273,
2022-12-26 10:30:00,-53.35089108988677,
2022-12-26 12:00:00,-79.93064311043145,
2022-12-26 13:30:00,-78.82994554760944,
2022-12-26 15:00:00,-23.49207725022461,
2022-12-26 15:30:30,-23.49207725022461,
2022-12-26 23:59:59,0.0,a
2022-12-27 00:00:00,5.273505588955686,
2022-12-27 10:00:00,-139.43404712067468,
2022-12-27 10:30:00,-82.37098834939707,
2022-12-27 12:00:00,-12.272919822190943,
2022-12-27 13:30:00,-16.681195698570264,
2022-12-27 15:00:00,-90.22951835971207,
2022-12-27 15:30:30,-90.22951835971207,
2022-12-27 23:59:59,-90.66157887044301,c
2022-12-28 00:00:00,-72.6422365616886,
2022-12-28 10:00:00,181.5981639665015,
2022-12-28 10:30:00,97.16322491116807,
2022-12-28 12:00:00,195.85256713620947,
2022-12-28 13:30:00,193.89519153128322,
2022-12-28 15:00:00,192.46315419151824,
2022-12-28 15:30:30,192.46315419151824,
2022-12-28 23:59:59,181.6203714341059,c
0,181.6203714341059,
0,181.6203714341059,
0,181.6203714341059,
0,181.6203714341059,
0,181.6203714341059,
0,181.6203714341059,
0,181.6203714341059,
0,181.6203714341059,
0,181.6203714341059,
0,181.6203714341059,
0,181.6203714341059,
0,181.6203714341059,
0,181.6203714341059,
0,181.6203714341059,
0,181.6203714341059,
0,181.6203714341059,
2022-12-29 00:00:00,221.342843913028,
2022-12-29 10:00:00,214.92234519558497,
2022-12-29 10:30:00,225.18096928920386,
2022-12-29 12:00:00,206.46043756023164,
2022-12-29 13:30:00,246.80950217173267,
2022-12-29 15:00:00,322.67567864570856,
2022-12-29 15:30:30,322.67567864570856,
2022-12-29 23:59:59,475.5071917837413,e
2022-12-30 00:00:00,475.5071917837413,
2022-12-30 10:00:00,475.5071917837413,
2022-12-30 10:30:00,475.5071917837413,
2022-12-30 12:00:00,475.5071917837413,
2022-12-30 13:30:00,475.5071917837413,
2022-12-30 15:00:00,475.5071917837413,
2022-12-30 15:30:30,475.5071917837413,
2022-12-30 23:59:59,475.5071917837413,w
2023-01-02 00:00:00,387.44782553215737,
2023-01-02 10:00:00,42.93556803308638,
2023-01-02 10:30:00,22.479534306988626,
2023-01-02 12:00:00,16.16104684638367,
2023-01-02 13:30:00,-7.414523642303266,
2023-01-02 15:00:00,41.02771128328459,
2023-01-02 15:30:30,41.02771128328459,
2023-01-02 23:59:59,119.35166879127883,c
2023-01-03 00:00:00,131.21663573808246,
2023-01-03 10:00:00,-14.752758524617548,
2023-01-03 10:30:00,-27.664953709204838,
2023-01-03 12:00:00,-36.52148703511193,
2023-01-03 13:30:00,-54.977077678816386,
2023-01-03 15:00:00,-162.8927846613542,
2023-01-03 15:30:30,-162.8927846613542,
2023-01-03 23:59:59,-126.09909330815935,c
2023-01-04 00:00:00,-61.94205915490238,
2023-01-04 10:00:00,-146.7736229208108,
2023-01-04 10:30:00,-171.55916137222675,
2023-01-04 12:00:00,-95.14457231690358,
2023-01-04 13:30:00,-92.31916995330539,
2023-01-04 15:00:00,-121.19719517410613,
2023-01-04 15:30:30,-121.19719517410613,
2023-01-04 23:59:59,-130.7370775249542,c
2023-01-05 00:00:00,-128.44717532589584,
2023-01-05 10:00:00,-122.08717945674107,
2023-01-05 10:30:00,-65.61812143542966,
2023-01-05 12:00:00,46.12092640438232,
2023-01-05 13:30:00,113.12991125393546,
2023-01-05 15:00:00,193.92219303130514,
2023-01-05 15:30:30,193.92219303130514,
2023-01-05 23:59:59,194.95852347421123,c
