date,BRL_SMLL_2022_Q4,meta
2023-01-06 00:00:00,184.10550131489845,
2023-01-06 10:00:00,248.39413828782153,
2023-01-06 10:30:00,257.4481553280116,
2023-01-06 12:00:00,270.90199884897265,
2023-01-06 13:30:00,294.0818457901719,
2023-01-06 15:00:00,319.13206164778467,
2023-01-06 15:30:30,319.13206164778467,
2023-01-06 23:59:59,299.772433774197,w
2023-01-09 00:00:00,235.99355340128886,
2023-01-09 10:00:00,257.12607762387915,
2023-01-09 10:30:00,258.4703822136771,
2023-01-09 12:00:00,361.50422591208144,
2023-01-09 13:30:00,360.2447166817815,
2023-01-09 15:00:00,314.11850668380475,
2023-01-09 15:30:30,314.11850668380475,
2023-01-09 23:59:59,334.10812970350526,c
2023-01-10 00:00:00,274.9449481985521,
2023-01-10 10:00:00,350.13235972827897,
2023-01-10 10:30:00,265.7714613025032,
2023-01-10 12:00:00,433.4984882845615,
2023-01-10 13:30:00,561.4983234310807,
2023-01-10 15:00:00,499.66169914258444,
2023-01-10 15:30:30,499.66169914258444,
2023-01-10 23:59:59,435.89229262046274,c
2023-01-11 00:00:00,439.66093840329813,
2023-01-11 10:00:00,229.60479279664787,
2023-01-11 10:30:00,204.75645473618033,
2023-01-11 12:00:00,240.40139181268614,
2023-01-11 13:30:00,223.62704229042583,
2023-01-11 15:00:00,269.2028357935428,
2023-01-11 15:30:30,269.2028357935428,
2023-01-11 23:59:59,307.2092660478547,c
2023-01-12 00:00:00,-1063.558687256301,
2023-01-12 10:00:00,-1162.191545707324,
2023-01-12 10:30:00,-1133.5652086979578,
2023-01-12 12:00:00,-981.5717581621482,
2023-01-12 13:30:00,-995.6257216674471,
2023-01-12 15:00:00,-1005.9626269439816,
2023-01-12 15:30:30,-1005.9626269439816,
2023-01-12 23:59:59,-1072.294392834277,c
