date,NANR_2022_Q2,meta
2022-06-30 13:30:00,-47.232231371368016,
2022-06-30 15:00:00,-59.96385298747622,
2022-06-30 15:30:30,-59.96385298747622,
2022-06-30 23:59:59,-69.62646350125154,e
2022-07-01 00:00:00,-81.15197968153771,
2022-07-01 10:00:00,-90.52147719572665,
2022-07-01 10:30:00,-126.81729763606678,
2022-07-01 12:00:00,-92.21664003513794,
2022-07-01 13:30:00,-75.35785519406403,
2022-07-01 15:00:00,-54.712338110118836,
2022-07-01 15:30:30,-54.712338110118836,
2022-07-01 23:59:59,-50.42300072683116,w
2022-07-04 00:00:00,-50.42300072683116,
2022-07-04 10:00:00,-89.1820444631318,
2022-07-04 10:30:00,-87.99859548011564,
2022-07-04 12:00:00,-93.60388859245514,
2022-07-04 13:30:00,-79.09116726734968,
2022-07-04 15:00:00,-87.70653189024165,
2022-07-04 15:30:30,-87.70653189024165,
2022-07-04 23:59:59,-87.70653189024165,c
2022-07-05 00:00:00,-144.2087211383252,
2022-07-05 10:00:00,-158.20783510557385,
2022-07-05 10:30:00,-131.9749394235952,
2022-07-05 12:00:00,-103.50211533848548,
2022-07-05 13:30:00,-63.90784149152065,
2022-07-05 15:00:00,-81.04397734377132,
2022-07-05 15:30:30,-81.04397734377132,
2022-07-05 23:59:59,-103.56958501013372,c
2022-07-06 00:00:00,-101.73110730110852,
2022-07-06 10:00:00,-125.3350116347363,
2022-07-06 10:30:00,-90.56095926633513,
2022-07-06 12:00:00,-72.26056849708434,
2022-07-06 13:30:00,-110.23973507579501,
2022-07-06 15:00:00,-72.11163081339294,
2022-07-06 15:30:30,-72.11163081339294,
2022-07-06 23:59:59,-42.655088537319564,c
2022-07-07 00:00:00,72.71031360039383,
2022-07-07 10:00:00,34.20281039767737,
2022-07-07 10:30:00,25.0216796385091,
2022-07-07 12:00:00,17.46206183912396,
2022-07-07 13:30:00,32.46397290801373,
2022-07-07 15:00:00,24.650890351559852,
2022-07-07 15:30:30,24.650890351559852,
2022-07-07 23:59:59,9.723461180723504,c
2022-07-08 00:00:00,-32.78242780059678,
2022-07-08 10:00:00,-29.134530586671843,
2022-07-08 10:30:00,-37.64835457245901,
2022-07-08 12:00:00,-47.511929428994314,
2022-07-08 13:30:00,-31.053748490490648,
2022-07-08 15:00:00,-32.46846706576399,
2022-07-08 15:30:30,-32.46846706576399,
2022-07-08 23:59:59,-42.68559817581692,w
2022-07-11 00:00:00,-85.31265022187874,
2022-07-11 10:00:00,-109.98268509057004,
