date,MSCI_CAD_SC_2022_Q1,meta
2022-01-26 15:00:00,52.38026979553433,
2022-01-26 15:30:30,52.38026979553433,
2022-01-26 23:59:59,40.28481694862148,c
2022-01-27 00:00:00,44.74055205266359,
2022-01-27 10:00:00,28.37039466419992,
2022-01-27 10:30:00,-0.09521121806210431,
2022-01-27 12:00:00,-3.926813984682667,
2022-01-27 13:30:00,-13.692493831096726,
2022-01-27 15:00:00,-24.070946123525573,
2022-01-27 15:30:30,-24.070946123525573,
2022-01-27 23:59:59,-18.60262325491294,c
2022-01-28 00:00:00,-13.807069136906648,
2022-01-28 10:00:00,-13.793154192583643,
2022-01-28 10:30:00,-13.937312734135048,
2022-01-28 12:00:00,7.815855592012667,
2022-01-28 13:30:00,-12.633298343541355,
2022-01-28 15:00:00,-24.45012704770943,
2022-01-28 15:30:30,-24.45012704770943,
2022-01-28 23:59:59,-8.204920280277292,w
2022-01-31 00:00:00,-4.247818173750602,
2022-01-31 10:00:00,23.308932639224622,
2022-01-31 10:30:00,28.93076416556869,
2022-01-31 12:00:00,54.85593492067892,
2022-01-31 13:30:00,52.63082074148497,
2022-01-31 15:00:00,56.38191648744669,
2022-01-31 15:30:30,56.38191648744669,
2022-01-31 23:59:59,60.856185876697964,c
2022-02-01 00:00:00,73.8873557525385,
2022-02-01 10:00:00,57.087050662432375,
2022-02-01 10:30:00,63.86250870931326,
2022-02-01 12:00:00,91.62242477167547,
2022-02-01 13:30:00,87.0766179037837,
2022-02-01 15:00:00,78.4583614436815,
2022-02-01 15:30:30,78.4583614436815,
2022-02-01 23:59:59,95.5196702473504,c
2022-02-02 00:00:00,122.58259975656074,
2022-02-02 10:00:00,111.64369530976455,
2022-02-02 10:30:00,113.57124069371275,
2022-02-02 12:00:00,95.62201898919648,
2022-02-02 13:30:00,98.72691179137473,
2022-02-02 15:00:00,100.67855357010285,
2022-02-02 15:30:30,100.67855357010285,
2022-02-02 23:59:59,105.43171117098154,c
2022-02-03 00:00:00,101.42950776003363,
2022-02-03 10:00:00,83.84530320438807,
2022-02-03 10:30:00,86.10290772479857,
2022-02-03 12:00:00,60.97437098732098,
2022-02-03 13:30:00,63.439770471861266,
2022-02-03 15:00:00,56.93719824259006,
2022-02-03 15:30:30,56.93719824259006,
2022-02-03 23:59:59,51.66611079767881,c
2022-02-04 00:00:00,19.124211589472907,
2022-02-04 10:00:00,15.980629417200362,
2022-02-04 10:30:00,40.735664065303354,
2022-02-04 12:00:00,37.84584846846337,
2022-02-04 13:30:00,46.46793402102958,
2022-02-04 15:00:00,34.03549095074777,
2022-02-04 15:30:30,34.03549095074777,
2022-02-04 23:59:59,33.75886780896781,w
2022-02-07 00:00:00,49.02313890844471,
2022-02-07 10:00:00,62.60138319676753,
2022-02-07 10:30:00,47.16890005775895,
2022-02-07 12:00:00,17.271017669398134,
2022-02-07 13:30:00,19.306634656537426,
2022-02-07 15:00:00,23.79615903915692,
2022-02-07 15:30:30,23.79615903915692,
2022-02-07 23:59:59,26.276160870457716,c
2022-02-08 00:00:00,25.877838358748704,
2022-02-08 10:00:00,7.496879614699537,
2022-02-08 10:30:00,-6.379769367611516,
2022-02-08 12:00:00,-10.017686182796751,
2022-02-08 13:30:00,-15.545835138757866,
2022-02-08 15:00:00,-15.48038619377985,
2022-02-08 15:30:30,-15.48038619377985,
2022-02-08 23:59:59,-8.11703777853927,c
2022-02-09 00:00:00,-5.24231687063093,
2022-02-09 10:00:00,-21.089502597455066,
2022-02-09 10:30:00,-19.010993212421454,
2022-02-09 12:00:00,-2.7397760470566936,
2022-02-09 13:30:00,0.18539737533410516,
2022-02-09 15:00:00,-0.42777610816119704,
2022-02-09 15:30:30,-0.42777610816119704,
2022-02-09 23:59:59,0.0,a
2022-02-10 00:00:00,54.05186374820914,
2022-02-10 10:00:00,83.62664472372671,
2022-02-10 10:30:00,86.52964013170549,
