date,AS_MSCI_EM_REST_STAY,meta
2022-04-07 00:00:00,88.04426618771072,
2022-04-07 01:00:00,78.56166722360092,
2022-04-07 02:30:00,78.56166722360092,
2022-04-07 03:00:00,78.56166722360092,
2022-04-07 18:30:00,78.56166722360092,
2022-04-07 20:00:00,78.56166722360092,
2022-04-07 23:00:00,32.64766627961285,
2022-04-07 23:59:59,28.935184715309447,c
2022-04-08 00:00:00,31.02445073448655,
2022-04-08 01:00:00,23.36615281048671,
2022-04-08 02:30:00,23.36615281048671,
2022-04-08 03:00:00,23.36615281048671,
2022-04-08 18:30:00,23.36615281048671,
2022-04-08 20:00:00,23.36615281048671,
2022-04-08 23:00:00,23.36615281048671,
2022-04-08 23:59:59,49.15927163163917,w
2022-04-11 00:00:00,-23.24440149561019,
2022-04-11 01:00:00,-21.209700101436397,
2022-04-11 02:30:00,-21.209700101436397,
2022-04-11 03:00:00,-21.209700101436397,
2022-04-11 18:30:00,-21.209700101436397,
2022-04-11 20:00:00,-21.209700101436397,
2022-04-11 23:00:00,-11.09554137268924,
2022-04-11 23:59:59,8.234738138979992,c
2022-04-12 00:00:00,-10.136358946538394,
2022-04-12 01:00:00,-9.732602161605541,
2022-04-12 02:30:00,-9.732602161605541,
2022-04-12 03:00:00,-9.732602161605541,
2022-04-12 18:30:00,-9.732602161605541,
2022-04-12 20:00:00,-9.732602161605541,
2022-04-12 23:00:00,7.8086151990453345,
2022-04-12 23:59:59,3.355309293031951,c
2022-04-13 00:00:00,-6.113734833576245,
2022-04-13 01:00:00,-5.766984708663813,
2022-04-13 02:30:00,-5.766984708663813,
2022-04-13 03:00:00,-5.766984708663813,
2022-04-13 18:30:00,-5.766984708663813,
2022-04-13 20:00:00,-5.766984708663813,
2022-04-13 23:00:00,6.6817926176779565,
2022-04-13 23:59:59,22.4011393844429,c
2022-04-14 00:00:00,24.620603751498265,
2022-04-14 01:00:00,38.63767553699893,
2022-04-14 02:30:00,38.63767553699893,
2022-04-14 03:00:00,38.63767553699893,
2022-04-14 18:30:00,38.63767553699893,
2022-04-14 20:00:00,38.63767553699893,
2022-04-14 23:00:00,49.808632931907596,
2022-04-14 23:59:59,61.83173020425306,c
2022-04-15 00:00:00,54.63227505266548,
2022-04-15 01:00:00,52.4435913816983,
2022-04-15 02:30:00,52.4435913816983,
2022-04-15 03:00:00,52.4435913816983,
2022-04-15 18:30:00,52.4435913816983,
2022-04-15 20:00:00,52.4435913816983,
2022-04-15 23:00:00,52.4435913816983,
2022-04-15 23:59:59,27.18500503100256,w
2022-04-18 00:00:00,7.776587847016003,
2022-04-18 01:00:00,0.010180832440596532,
2022-04-18 02:30:00,0.010180832440596532,
2022-04-18 03:00:00,0.010180832440596532,
2022-04-18 18:30:00,0.010180832440596532,
2022-04-18 20:00:00,0.010180832440596532,
2022-04-18 23:00:00,0.010180832440596532,
2022-04-18 23:59:59,0.0,c
2022-04-19 00:00:00,0.0,
2022-04-19 01:00:00,0.0,
2022-04-19 02:30:00,0.0,
2022-04-19 03:00:00,0.0,
2022-04-19 18:30:00,0.0,
2022-04-19 20:00:00,0.0,
2022-04-19 23:00:00,0.0,
2022-04-19 23:59:59,0.0,c
2022-04-20 00:00:00,0.0,
2022-04-20 01:00:00,0.0,
2022-04-20 02:30:00,0.0,
2022-04-20 03:00:00,0.0,
2022-04-20 18:30:00,0.0,
2022-04-20 20:00:00,0.0,
2022-04-20 23:00:00,0.0,
2022-04-20 23:59:59,0.0,c
2022-04-21 00:00:00,0.0,
2022-04-21 01:00:00,0.0,
2022-04-21 02:30:00,0.0,
2022-04-21 03:00:00,0.0,
2022-04-21 18:30:00,0.0,
2022-04-21 20:00:00,0.0,
2022-04-21 23:00:00,0.0,
2022-04-21 23:59:59,0.0,c
2022-04-22 00:00:00,0.0,
2022-04-22 01:00:00,0.0,
2022-04-22 02:30:00,0.0,
2022-04-22 03:00:00,0.0,
2022-04-22 18:30:00,0.0,
