date,AS_IGF_2022_Q3,meta
2022-09-09 00:00:00,258.2089094271689,
2022-09-09 01:00:00,266.37932164732524,
2022-09-09 02:30:00,292.18620111718724,
2022-09-09 03:00:00,291.39490657042734,
2022-09-09 18:30:00,291.39490657042734,
2022-09-09 20:00:00,291.39490657042734,
2022-09-09 23:00:00,291.39490657042734,
2022-09-09 23:59:59,243.2590668534092,w
2022-09-12 00:00:00,149.81149356628043,
2022-09-12 01:00:00,157.1990787401337,
2022-09-12 02:30:00,157.1990787401337,
2022-09-12 03:00:00,157.1990787401337,
2022-09-12 18:30:00,174.23549703532012,
2022-09-12 20:00:00,174.48043320658985,
2022-09-12 23:00:00,155.0458155953986,
2022-09-12 23:59:59,135.5788957394268,c
2022-09-13 00:00:00,136.31192151821574,
2022-09-13 01:00:00,132.5247708150073,
2022-09-13 02:30:00,155.633568597239,
2022-09-13 03:00:00,156.7850340703335,
2022-09-13 18:30:00,154.8479535518054,
2022-09-13 20:00:00,154.90659810694478,
2022-09-13 23:00:00,134.44714632551404,
2022-09-13 23:59:59,147.8933760953214,c
2022-09-14 00:00:00,152.6685270775472,
2022-09-14 01:00:00,152.2453295416567,
2022-09-14 02:30:00,161.2043087890729,
2022-09-14 03:00:00,163.3145206877732,
2022-09-14 18:30:00,166.14026705225274,
2022-09-14 20:00:00,166.20727020120717,
2022-09-14 23:00:00,210.48280340380643,
2022-09-14 23:59:59,229.67642660687488,c
2022-09-15 00:00:00,206.4497765616693,
2022-09-15 01:00:00,215.51402360558905,
2022-09-15 02:30:00,220.30690579400812,
2022-09-15 03:00:00,213.1107238110883,
2022-09-15 18:30:00,218.8534616802708,
2022-09-15 20:00:00,219.39572298333655,
2022-09-15 23:00:00,302.52129483577005,
2022-09-15 23:59:59,311.72277370479515,c
2022-09-16 00:00:00,124.30446783648608,
2022-09-16 01:00:00,124.52148064861922,
2022-09-16 02:30:00,54.19763203547723,
2022-09-16 03:00:00,53.446121254923355,
2022-09-16 18:30:00,53.446121254923355,
2022-09-16 20:00:00,53.446121254923355,
2022-09-16 23:00:00,53.446121254923355,
2022-09-16 23:59:59,52.24623944273799,w
2022-09-19 00:00:00,22.5460321974748,
2022-09-19 01:00:00,33.40481629486089,
2022-09-19 02:30:00,42.4050768240063,
2022-09-19 03:00:00,40.743807465363034,
2022-09-19 18:30:00,35.216573904239795,
2022-09-19 20:00:00,35.77294564823501,
2022-09-19 23:00:00,28.817417513822647,
2022-09-19 23:59:59,46.038656056077116,c
2022-09-20 00:00:00,56.94744408459178,
2022-09-20 01:00:00,63.74690363500213,
2022-09-20 02:30:00,93.20063774036771,
2022-09-20 03:00:00,85.64444017333176,
2022-09-20 18:30:00,81.47169198631241,
2022-09-20 20:00:00,81.45920592721473,
2022-09-20 23:00:00,49.88114980702858,
2022-09-20 23:59:59,34.928624442110504,c
2022-09-21 00:00:00,54.856983192467396,
2022-09-21 01:00:00,43.05674141001032,
2022-09-21 02:30:00,18.7474898822295,
2022-09-21 03:00:00,20.317793344349184,
2022-09-21 18:30:00,28.888256654023053,
2022-09-21 20:00:00,28.4379104483977,
2022-09-21 23:00:00,-0.7779979709672489,
2022-09-21 23:59:59,10.434626559055914,c
2022-09-22 00:00:00,16.361611364359987,
2022-09-22 01:00:00,24.625837515735384,
2022-09-22 02:30:00,11.575982709409345,
2022-09-22 03:00:00,11.663792961036734,
2022-09-22 18:30:00,7.662275537221944,
2022-09-22 20:00:00,7.562478179869117,
2022-09-22 23:00:00,20.136299946344593,
2022-09-22 23:59:59,20.308454228527353,c
2022-09-23 00:00:00,10.412662666449933,
2022-09-23 01:00:00,5.616315965657918,
2022-09-23 02:30:00,-11.644073727784416,
2022-09-23 03:00:00,-10.088128573340327,
2022-09-23 18:30:00,-10.088128573340327,
2022-09-23 20:00:00,-10.088128573340327,
2022-09-23 23:00:00,-10.088128573340327,
2022-09-23 23:59:59,0.0,a
2022-09-26 00:00:00,126.65695200412006,
2022-09-26 01:00:00,156.64437720570004,
2022-09-26 02:30:00,162.5694076130037,
2022-09-26 03:00:00,161.46355679321505,
2022-09-26 18:30:00,168.63027597717632,
2022-09-26 20:00:00,168.89564158676762,
2022-09-26 23:00:00,134.05049819605983,
2022-09-26 23:59:59,143.9331970856515,c
2022-09-27 00:00:00,140.93314126669952,
2022-09-27 01:00:00,140.8333831033292,
2022-09-27 02:30:00,139.6093722463504,
2022-09-27 03:00:00,129.54949304396268,
2022-09-27 18:30:00,127.8534176854198,
2022-09-27 20:00:00,127.63373922341975,
2022-09-27 23:00:00,128.86439784054505,
2022-09-27 23:59:59,119.71051376946161,c
2022-09-28 00:00:00,125.11364683697934,
2022-09-28 01:00:00,112.94222630671902,
2022-09-28 02:30:00,104.751043416436,
2022-09-28 03:00:00,112.63959697134669,
2022-09-28 18:30:00,125.82019334462484,
2022-09-28 20:00:00,125.40455974736051,
2022-09-28 23:00:00,100.16994082957535,
2022-09-28 23:59:59,161.58335412177894,c
2022-09-29 00:00:00,154.6596058120292,
2022-09-29 01:00:00,149.00777583351896,
2022-09-29 02:30:00,162.95948208216373,
2022-09-29 03:00:00,167.34058185470553,
2022-09-29 18:30:00,177.8464368542825,
2022-09-29 20:00:00,177.19273837653304,
2022-09-29 23:00:00,210.75229868317274,
2022-09-29 23:59:59,199.92032932328607,c
2022-09-30 00:00:00,184.8008564647107,
2022-09-30 01:00:00,158.4223590952281,
2022-09-30 02:30:00,128.9046855717179,
2022-09-30 03:00:00,134.25453762177426,
2022-09-30 18:30:00,134.25453762177426,
