date,SML_PURE_2022_Q4,meta
2022-11-04 00:00:00,383.9067764799978,
2022-11-04 10:00:00,290.6956996882568,
2022-11-04 10:30:00,293.61456120626417,
2022-11-04 12:00:00,283.98972123370845,
2022-11-04 13:30:00,260.61128921249474,
2022-11-04 15:00:00,251.56476211955078,
2022-11-04 15:30:30,251.56476211955078,
2022-11-04 23:59:59,239.93757859102539,w
2022-11-07 00:00:00,273.3321727871544,
2022-11-07 10:00:00,267.3767636181283,
2022-11-07 10:30:00,229.1909394203874,
2022-11-07 12:00:00,199.15568576307578,
2022-11-07 13:30:00,201.23716245824835,
2022-11-07 15:00:00,208.92047909782445,
2022-11-07 15:30:30,208.92047909782445,
2022-11-07 23:59:59,209.61098155638433,c
2022-11-08 00:00:00,189.9256018980675,
2022-11-08 10:00:00,149.559657250069,
2022-11-08 10:30:00,148.97913474633083,
2022-11-08 12:00:00,207.2896657064116,
2022-11-08 13:30:00,196.56162422019906,
2022-11-08 15:00:00,166.38997396906734,
2022-11-08 15:30:30,166.38997396906734,
2022-11-08 23:59:59,174.99913250210193,c
2022-11-09 00:00:00,116.70195846025581,
2022-11-09 10:00:00,20.792912516625165,
2022-11-09 10:30:00,7.5193501975738855,
2022-11-09 12:00:00,-2.7613856361642775,
2022-11-09 13:30:00,-5.1844413547235035,
2022-11-09 15:00:00,16.214893624476872,
2022-11-09 15:30:30,16.214893624476872,
2022-11-09 23:59:59,12.73112103077824,c
2022-11-10 00:00:00,38.30507483431393,
2022-11-10 10:00:00,130.55230984220225,
2022-11-10 10:30:00,157.74069868928223,
2022-11-10 12:00:00,178.67102121784524,
2022-11-10 13:30:00,150.02312267530624,
2022-11-10 15:00:00,129.0475059519581,
2022-11-10 15:30:30,129.0475059519581,
2022-11-10 23:59:59,132.87522552087535,c
2022-11-11 00:00:00,120.82631541416072,
2022-11-11 10:00:00,133.14728131976904,
2022-11-11 10:30:00,120.32447567916665,
2022-11-11 12:00:00,166.39242104540676,
2022-11-11 13:30:00,205.31135736027068,
2022-11-11 15:00:00,206.0688413154312,
2022-11-11 15:30:30,206.0688413154312,u
2022-11-11 23:59:59,202.46227111411372,w
2022-11-14 00:00:00,188.426630805046,
2022-11-14 10:00:00,160.74701255015611,
2022-11-14 10:30:00,148.58678639209597,
2022-11-14 12:00:00,143.00143795261715,
2022-11-14 13:30:00,101.26588976145331,
2022-11-14 15:00:00,93.76619036436136,
2022-11-14 15:30:30,93.76619036436136,
2022-11-14 23:59:59,95.1707490935894,c
2022-11-15 00:00:00,128.05706131134139,
2022-11-15 10:00:00,149.71822149106333,
2022-11-15 10:30:00,137.7354323960144,
2022-11-15 12:00:00,111.20530766298634,
2022-11-15 13:30:00,98.11320082200496,
2022-11-15 15:00:00,88.33168346804086,
2022-11-15 15:30:30,88.33168346804086,
2022-11-15 23:59:59,68.8710481792391,c
2022-11-16 00:00:00,67.31761645211282,
2022-11-16 10:00:00,19.843355569888445,
2022-11-16 10:30:00,16.401415898555797,
2022-11-16 12:00:00,-7.568443805375182,
2022-11-16 13:30:00,-8.498674547800192,
2022-11-16 15:00:00,-19.049962869131377,
2022-11-16 15:30:30,-19.049962869131377,
2022-11-16 23:59:59,-18.8023893369284,c
2022-11-17 00:00:00,-0.11989205162535654,
2022-11-17 10:00:00,-37.423564798632924,
2022-11-17 10:30:00,-57.277049419604964,
2022-11-17 12:00:00,-43.614257588682676,
2022-11-17 13:30:00,-42.91774804105762,
2022-11-17 15:00:00,-55.58854255608048,
2022-11-17 15:30:30,-55.58854255608048,
2022-11-17 23:59:59,-54.81934037484484,c
2022-11-18 00:00:00,-47.728633298176646,
2022-11-18 10:00:00,-43.92345093549875,
2022-11-18 10:30:00,-44.33463908201543,
2022-11-18 12:00:00,-46.034049732261565,
2022-11-18 13:30:00,-46.31399730388193,
2022-11-18 15:00:00,-42.24757844371902,
2022-11-18 15:30:30,-42.24757844371902,
2022-11-18 23:59:59,-37.800982682177846,w
2022-11-21 00:00:00,-23.69534748244382,
2022-11-21 10:00:00,-45.84902205245862,
2022-11-21 10:30:00,-49.712308272081145,
2022-11-21 12:00:00,-73.56283485094423,
2022-11-21 13:30:00,-112.74589856609532,
2022-11-21 15:00:00,-108.31694155442437,
2022-11-21 15:30:30,-108.31694155442437,
2022-11-21 23:59:59,-101.97056342258702,c
2022-11-22 00:00:00,-85.8724571268674,
2022-11-22 10:00:00,-122.64362852288536,
2022-11-22 10:30:00,-95.01497430101381,
2022-11-22 12:00:00,-92.93089206748664,
2022-11-22 13:30:00,-77.66857656061688,
2022-11-22 15:00:00,-98.16370296997502,
2022-11-22 15:30:30,-98.16370296997502,
2022-11-22 23:59:59,-86.58227262714672,c
2022-11-23 00:00:00,-100.9299750509681,
