date,MSCI_MXN_2021_Q4,meta
2021-10-07 00:00:00,-352.63042907479667,
2021-10-07 10:00:00,-348.2360423481373,
2021-10-07 10:30:00,-322.459460666435,
2021-10-07 12:00:00,-326.25608137827066,
2021-10-07 13:30:00,-315.5286346723851,
2021-10-07 15:00:00,-301.8575122343159,
2021-10-07 15:30:30,-301.8575122343159,
2021-10-07 23:59:59,-339.1346945656751,c
2021-10-08 00:00:00,-350.1055770824273,
2021-10-08 10:00:00,-343.530630300907,
2021-10-08 10:30:00,-347.6407900360173,
2021-10-08 12:00:00,-325.0008178135713,
2021-10-08 13:30:00,-316.79408091651203,
2021-10-08 15:00:00,-339.369812520697,
2021-10-08 15:30:30,-339.369812520697,
2021-10-08 23:59:59,-318.97493404297893,w
2021-10-11 00:00:00,-338.8146332620054,
2021-10-11 10:00:00,-324.51361324573963,
2021-10-11 10:30:00,-318.13250003127223,
2021-10-11 12:00:00,-292.77423096585153,
2021-10-11 13:30:00,-278.30121011667234,
2021-10-11 15:00:00,-262.10835934780835,
2021-10-11 15:30:30,-262.10835934780835,
2021-10-11 23:59:59,-286.7468483503653,c
2021-10-12 00:00:00,-344.50455974680517,
2021-10-12 10:00:00,-270.52427736608206,
2021-10-12 10:30:00,-277.7935231129791,
2021-10-12 12:00:00,-241.51829559648104,
2021-10-12 13:30:00,-256.41516450698873,
2021-10-12 15:00:00,-206.13103384132546,
2021-10-12 15:30:30,-206.13103384132546,
2021-10-12 23:59:59,-185.09245015013357,c
2021-10-13 00:00:00,-181.6045830794401,
2021-10-13 10:00:00,-233.23338870868338,
2021-10-13 10:30:00,-223.47213036816584,
2021-10-13 12:00:00,-221.69256975859662,
2021-10-13 13:30:00,-209.3782807469779,
2021-10-13 15:00:00,-212.45021592503917,
2021-10-13 15:30:30,-212.45021592503917,
2021-10-13 23:59:59,-219.3956958717149,c
2021-10-14 00:00:00,-256.95736203916204,
2021-10-14 10:00:00,-232.2070568615909,
2021-10-14 10:30:00,-219.5990450310337,
2021-10-14 12:00:00,-223.6807340082264,
2021-10-14 13:30:00,-256.1986596337879,
2021-10-14 15:00:00,-280.90053374667013,
2021-10-14 15:30:30,-280.90053374667013,
2021-10-14 23:59:59,-273.8194968886478,c
2021-10-15 00:00:00,-287.13749100461973,
2021-10-15 10:00:00,-320.054374148187,
2021-10-15 10:30:00,-312.660397704703,
2021-10-15 12:00:00,-315.9298422106135,
2021-10-15 13:30:00,-357.0043814555702,
2021-10-15 15:00:00,-359.8007287099563,
2021-10-15 15:30:30,-359.8007287099563,
2021-10-15 23:59:59,-344.444489742129,w
2021-10-18 00:00:00,-360.8989872061052,
2021-10-18 10:00:00,-313.8582755394582,
2021-10-18 10:30:00,-316.2348953895612,
2021-10-18 12:00:00,-288.9343803058564,
2021-10-18 13:30:00,-341.4757410982961,
2021-10-18 15:00:00,-338.4898101890226,
2021-10-18 15:30:30,-338.4898101890226,s
2021-10-18 23:59:59,-329.9307067139862,c
2021-10-19 00:00:00,-347.97419891940626,
2021-10-19 10:00:00,-348.24915928065866,
2021-10-19 10:30:00,-338.07054271010657,
2021-10-19 12:00:00,-395.82400661126576,
2021-10-19 13:30:00,-391.44262728541617,
2021-10-19 15:00:00,-392.07172729300737,
2021-10-19 15:30:30,-392.07172729300737,
2021-10-19 23:59:59,-394.9996671902509,c
2021-10-20 00:00:00,-389.7188919612472,
2021-10-20 10:00:00,-392.1756397631375,
2021-10-20 10:30:00,-411.48930686163567,
2021-10-20 12:00:00,-427.6108478965848,
2021-10-20 13:30:00,-415.93035882807,
2021-10-20 15:00:00,-410.1621554790481,
2021-10-20 15:30:30,-410.1621554790481,
2021-10-20 23:59:59,-418.0402881274308,c
2021-10-21 00:00:00,-370.66525295362817,
2021-10-21 10:00:00,-329.6641763560151,
2021-10-21 10:30:00,-336.58608818856965,
2021-10-21 12:00:00,-355.4207359639063,
2021-10-21 13:30:00,-361.60145306277036,
2021-10-21 15:00:00,-291.56053548487534,
2021-10-21 15:30:30,-291.56053548487534,
2021-10-21 23:59:59,-278.99676584126837,c
2021-10-22 00:00:00,-227.350852253438,
2021-10-22 10:00:00,-289.5689586776575,
2021-10-22 10:30:00,-299.36911277563513,
2021-10-22 12:00:00,-254.8392964682248,
2021-10-22 13:30:00,-245.2955807585463,
2021-10-22 15:00:00,-204.8419923907495,
2021-10-22 15:30:30,-204.8419923907495,
2021-10-22 23:59:59,-198.92423454570508,w
2021-10-25 00:00:00,-193.5426771804714,
2021-10-25 10:00:00,-190.14580999248255,
2021-10-25 10:30:00,-205.39728808401014,
2021-10-25 12:00:00,-176.14516188255266,
2021-10-25 13:30:00,-189.61686503398641,
2021-10-25 15:00:00,-184.31697738489584,
2021-10-25 15:30:30,-184.31697738489584,
2021-10-25 23:59:59,-175.92362168786258,c
2021-10-26 00:00:00,-230.40511693520511,
2021-10-26 10:00:00,-182.3519316633765,
2021-10-26 10:30:00,-205.27709613744764,
2021-10-26 12:00:00,-202.29039737710673,
2021-10-26 13:30:00,-199.89207136132518,
2021-10-26 15:00:00,-206.79899697889323,
2021-10-26 15:30:30,-206.79899697889323,
2021-10-26 23:59:59,-232.95917542234884,c
2021-10-27 00:00:00,-216.49188626363502,
2021-10-27 10:00:00,-228.85956582957579,
2021-10-27 10:30:00,-232.30439085575836,
2021-10-27 12:00:00,-220.25578684035736,
2021-10-27 13:30:00,-273.83743911566626,
2021-10-27 15:00:00,-278.05929328590764,
2021-10-27 15:30:30,-278.05929328590764,
2021-10-27 23:59:59,-324.3173320913879,c
2021-10-28 00:00:00,-324.9148379169669,
2021-10-28 10:00:00,-307.9763305863894,
2021-10-28 10:30:00,-303.5753893145038,
2021-10-28 12:00:00,-290.16688713844906,
2021-10-28 13:30:00,-300.12351020418146,
2021-10-28 15:00:00,-282.6970624686255,
2021-10-28 15:30:30,-282.6970624686255,
2021-10-28 23:59:59,-301.48582451684297,c
2021-10-29 00:00:00,-301.48582451684297,
2021-10-29 10:00:00,-273.22032544581134,
2021-10-29 10:30:00,-256.15903655377906,
2021-10-29 12:00:00,-251.44866163929282,
2021-10-29 13:30:00,-252.42950029410667,
2021-10-29 15:00:00,-221.6980352453993,
2021-10-29 15:30:30,-221.6980352453993,
2021-10-29 23:59:59,-240.00058771444264,w
2021-11-01 00:00:00,-294.4950358103256,
2021-11-01 10:00:00,-215.94306701741152,
