date,AS_ALPHADEX_COUNTRY_2022_Q4,meta
2022-10-12 02:30:00,129.33593322194736,
2022-10-12 03:00:00,111.95625300075585,
2022-10-12 18:30:00,134.79460203360975,
2022-10-12 20:00:00,136.71180423857197,
2022-10-12 23:00:00,115.41004578738443,
2022-10-12 23:59:59,114.82543375176817,e
2022-10-13 00:00:00,117.68395760266162,
2022-10-13 01:00:00,118.90278766291215,
2022-10-13 02:30:00,108.81801597636718,
2022-10-13 03:00:00,113.48276463155457,
2022-10-13 18:30:00,125.018984499358,
2022-10-13 20:00:00,120.50822660667814,
2022-10-13 23:00:00,96.07947762131994,
2022-10-13 23:59:59,100.42731258545064,c
2022-10-14 00:00:00,105.04411027154038,
2022-10-14 01:00:00,106.23073469925794,
2022-10-14 02:30:00,104.30729861987334,
2022-10-14 03:00:00,100.10780405318462,
2022-10-14 18:30:00,100.10780405318462,
2022-10-14 20:00:00,100.10780405318462,
2022-10-14 23:00:00,100.10780405318462,
2022-10-14 23:59:59,110.51645210462584,w
2022-10-17 00:00:00,114.68572753783701,
2022-10-17 01:00:00,115.53016483526915,
2022-10-17 02:30:00,115.51635051335688,
2022-10-17 03:00:00,119.61430095323328,
2022-10-17 18:30:00,121.64200802654852,
2022-10-17 20:00:00,123.08419513925548,
2022-10-17 23:00:00,121.50671359929595,
2022-10-17 23:59:59,113.01495161268804,c
2022-10-18 00:00:00,116.6342035719399,
2022-10-18 01:00:00,110.47818715645826,
2022-10-18 02:30:00,114.54179831306521,
2022-10-18 03:00:00,115.015768533239,
2022-10-18 18:30:00,114.59658900637135,
2022-10-18 20:00:00,126.3681466174047,
2022-10-18 23:00:00,145.5988729914867,
2022-10-18 23:59:59,143.71656216381086,c
2022-10-19 00:00:00,142.90143383328575,
2022-10-19 01:00:00,143.79555632618883,
2022-10-19 02:30:00,148.9189805640366,
2022-10-19 03:00:00,145.6500303654983,
2022-10-19 18:30:00,139.0313015532953,
2022-10-19 20:00:00,130.2379626948399,
2022-10-19 23:00:00,88.46177909934727,
2022-10-19 23:59:59,83.87088706144255,c
2022-10-20 00:00:00,87.72900482495959,
2022-10-20 01:00:00,97.23374415086096,
2022-10-20 02:30:00,74.47687652042248,
2022-10-20 03:00:00,76.1893138907385,
2022-10-20 18:30:00,69.14530355322893,
2022-10-20 20:00:00,77.852981439068,
2022-10-20 23:00:00,75.45717399323837,
2022-10-20 23:59:59,74.01744623935963,c
2022-10-21 00:00:00,59.96838476054188,
2022-10-21 01:00:00,62.888513104739104,
2022-10-21 02:30:00,58.74719919473125,
2022-10-21 03:00:00,52.28601655306329,
2022-10-21 18:30:00,52.28601655306329,
2022-10-21 20:00:00,52.28601655306329,
2022-10-21 23:00:00,52.28601655306329,
2022-10-21 23:59:59,53.94558188071676,w
2022-10-24 00:00:00,4.531818296604342,
2022-10-24 01:00:00,2.1002044821708523,
2022-10-24 02:30:00,-5.18860734682778,
2022-10-24 03:00:00,-8.510063674289086,
2022-10-24 18:30:00,-3.5873943873580174,
2022-10-24 20:00:00,-3.735492875546697,
2022-10-24 23:00:00,12.855536966763793,
2022-10-24 23:59:59,13.922105244165436,c
2022-10-25 00:00:00,26.25052555955358,
2022-10-25 01:00:00,23.05950326991615,
2022-10-25 02:30:00,18.45659470808107,
2022-10-25 03:00:00,22.34537299275496,
2022-10-25 18:30:00,32.93935765670426,
2022-10-25 20:00:00,23.40157502638374,
2022-10-25 23:00:00,1.5133890684820699,
2022-10-25 23:59:59,-16.390133055483375,c
2022-10-26 00:00:00,-20.5558573107146,
2022-10-26 01:00:00,-19.428849137770385,
2022-10-26 02:30:00,-17.021792399732817,
2022-10-26 03:00:00,-21.52724764925256,
2022-10-26 18:30:00,-21.52724764925256,
2022-10-26 20:00:00,-21.52724764925256,
2022-10-26 23:00:00,-21.52724764925256,
2022-10-26 23:59:59,-20.349970102990937,c
