date,USMC_2022_Q4,meta
2022-10-03 00:00:00,207.46989024834673,
2022-10-03 10:00:00,189.3271877462652,
2022-10-03 10:30:00,196.55791722671546,
2022-10-03 12:00:00,190.39763096913163,
2022-10-03 13:30:00,186.094888008579,
2022-10-03 15:00:00,182.85240503033697,
2022-10-03 15:30:30,182.85240503033697,
2022-10-03 23:59:59,177.9456502862887,c
2022-10-04 00:00:00,177.05581776216016,
2022-10-04 10:00:00,195.91747122856185,
2022-10-04 10:30:00,198.52482757732713,
2022-10-04 12:00:00,180.01820764173192,
2022-10-04 13:30:00,180.77757012160785,
2022-10-04 15:00:00,174.0693061033702,
2022-10-04 15:30:30,174.0693061033702,
2022-10-04 23:59:59,179.35194476805492,c
2022-10-05 00:00:00,162.37876609026267,
2022-10-05 10:00:00,168.60331500612915,
2022-10-05 10:30:00,163.8401635277119,
2022-10-05 12:00:00,166.46439907655443,
2022-10-05 13:30:00,162.130952623153,
2022-10-05 15:00:00,166.30690317591743,
2022-10-05 15:30:30,166.30690317591743,
2022-10-05 23:59:59,164.90300767210633,c
2022-10-06 00:00:00,167.69991546727084,
2022-10-06 10:00:00,144.51149453799746,
2022-10-06 10:30:00,147.80578345742117,
2022-10-06 12:00:00,142.50013679764402,
2022-10-06 13:30:00,132.94367537630717,
2022-10-06 15:00:00,127.47669728728596,
2022-10-06 15:30:30,127.47669728728596,
2022-10-06 23:59:59,122.15851553584221,c
2022-10-07 00:00:00,126.01932915744985,
2022-10-07 10:00:00,140.20410786641855,
2022-10-07 10:30:00,136.4839868720062,
2022-10-07 12:00:00,132.87958124974307,
2022-10-07 13:30:00,126.58457915483272,
2022-10-07 15:00:00,132.29972086008542,
2022-10-07 15:30:30,132.29972086008542,
2022-10-07 23:59:59,140.00246478785908,w
2022-10-10 00:00:00,111.4413247528903,
2022-10-10 10:00:00,129.0939668594391,
2022-10-10 10:30:00,140.06920316167876,
2022-10-10 12:00:00,140.51009113985552,
2022-10-10 13:30:00,133.3555007927454,
2022-10-10 15:00:00,139.20217204712037,
2022-10-10 15:30:30,139.20217204712037,
2022-10-10 23:59:59,140.8293424466825,c
2022-10-11 00:00:00,147.40906564824635,
2022-10-11 10:00:00,143.6000768603418,
2022-10-11 10:30:00,143.23464565767736,
2022-10-11 12:00:00,131.28713034808678,
2022-10-11 13:30:00,126.95426876203697,
2022-10-11 15:00:00,136.07961473125212,
2022-10-11 15:30:30,136.07961473125212,
2022-10-11 23:59:59,137.32586098788985,c
2022-10-12 00:00:00,124.31465642127289,
2022-10-12 10:00:00,113.13989771839215,
2022-10-12 10:30:00,114.9518376823902,
2022-10-12 12:00:00,86.61549894201573,
2022-10-12 13:30:00,77.75616191589864,
2022-10-12 15:00:00,74.70514973717572,
2022-10-12 15:30:30,74.70514973717572,
2022-10-12 23:59:59,67.90790541951488,c
2022-10-13 00:00:00,57.35594500148701,
2022-10-13 10:00:00,40.97866702368732,
2022-10-13 10:30:00,52.99537028385424,
2022-10-13 12:00:00,37.045956384311594,
2022-10-13 13:30:00,51.90225334097281,
2022-10-13 15:00:00,40.60910301906685,
2022-10-13 15:30:30,40.60910301906685,
2022-10-13 23:59:59,32.51659144435979,c
2022-10-14 00:00:00,67.43032099727432,
2022-10-14 10:00:00,60.44679889530652,
2022-10-14 10:30:00,53.446858525221224,
2022-10-14 12:00:00,32.9437368181938,
2022-10-14 13:30:00,35.632148975879446,
2022-10-14 15:00:00,29.010059625981555,
2022-10-14 15:30:30,29.010059625981555,
2022-10-14 23:59:59,37.35037893920088,w
2022-10-17 00:00:00,43.29409395817859,
2022-10-17 10:00:00,58.184564523408966,
2022-10-17 10:30:00,52.81078018484378,
2022-10-17 12:00:00,64.33801413172365,
2022-10-17 13:30:00,53.45657669533702,
2022-10-17 15:00:00,52.5247220879803,
2022-10-17 15:30:30,52.5247220879803,
2022-10-17 23:59:59,47.81196761447423,c
2022-10-18 00:00:00,72.1706364497834,
2022-10-18 10:00:00,78.79245659543761,
2022-10-18 10:30:00,97.76618975470538,
2022-10-18 12:00:00,96.02513136040898,
2022-10-18 13:30:00,97.69771627822793,
2022-10-18 15:00:00,102.46279341428729,
2022-10-18 15:30:30,102.46279341428729,
2022-10-18 23:59:59,93.58435536136591,c
2022-10-19 00:00:00,68.78968484186547,
2022-10-19 10:00:00,59.56360243972487,
2022-10-19 10:30:00,49.12986112986779,
2022-10-19 12:00:00,55.049999259470894,
2022-10-19 13:30:00,45.14345085934795,
2022-10-19 15:00:00,58.80921696492407,
2022-10-19 15:30:30,58.80921696492407,
2022-10-19 23:59:59,60.059290388596594,c
2022-10-20 00:00:00,46.03857585861927,
2022-10-20 10:00:00,32.193950814411366,
2022-10-20 10:30:00,23.785796458905608,
2022-10-20 12:00:00,25.393180458680234,
2022-10-20 13:30:00,17.219346479621734,
2022-10-20 15:00:00,20.78089238884533,
2022-10-20 15:30:30,20.78089238884533,
2022-10-20 23:59:59,19.90915407738133,c
2022-10-21 00:00:00,34.00539545505404,
2022-10-21 10:00:00,29.7462490932124,
2022-10-21 10:30:00,24.87085806972506,
2022-10-21 12:00:00,41.86100499881597,
2022-10-21 13:30:00,33.473807568445565,
2022-10-21 15:00:00,27.04642542761131,
2022-10-21 15:30:30,27.04642542761131,
2022-10-21 23:59:59,19.189429439375175,w
2022-10-24 00:00:00,27.70355893155218,
2022-10-24 10:00:00,-3.3065469264931835,
2022-10-24 10:30:00,-3.8575038174494267,
2022-10-24 12:00:00,-9.47654564313035,
2022-10-24 13:30:00,-1.7572587318631463,
