date,ACES_2022_Q3,meta
2022-09-22 10:30:00,-133.22433121668925,
2022-09-22 12:00:00,-178.33560854930127,
2022-09-22 13:30:00,-165.73738135846625,
2022-09-22 15:00:00,-193.25224760998586,
2022-09-22 15:30:30,-193.25224760998586,
2022-09-22 23:59:59,-156.4726660610137,c
2022-09-23 00:00:00,-104.59497002376017,
2022-09-23 10:00:00,-187.40558233582524,
2022-09-23 10:30:00,-227.17566599589563,
2022-09-23 12:00:00,-194.72226577548892,
2022-09-23 13:30:00,-181.1508844778389,
2022-09-23 15:00:00,-183.35318964656565,
2022-09-23 15:30:30,-183.35318964656565,
2022-09-23 23:59:59,-193.87517909286018,w
2022-09-26 00:00:00,-184.36346320575453,
2022-09-26 10:00:00,-184.41270466245678,
2022-09-26 10:30:00,-168.95007865385068,
2022-09-26 12:00:00,-144.30482249995472,
2022-09-26 13:30:00,-162.16095123248996,
2022-09-26 15:00:00,-170.12440620934288,
2022-09-26 15:30:30,-170.12440620934288,
2022-09-26 23:59:59,-135.42730421091326,c
2022-09-27 00:00:00,-125.94489722608452,
2022-09-27 10:00:00,-150.3246273758297,
2022-09-27 10:30:00,-151.13094547990138,
2022-09-27 12:00:00,-196.8339941954188,
2022-09-27 13:30:00,-143.4920561865487,
2022-09-27 15:00:00,-113.82614430489517,
2022-09-27 15:30:30,-113.82614430489517,
2022-09-27 23:59:59,-103.79502258587743,c
2022-09-28 00:00:00,-53.720357585235746,
2022-09-28 10:00:00,-84.78991870290619,
2022-09-28 10:30:00,-83.36771099685328,
2022-09-28 12:00:00,-97.95676640050962,
2022-09-28 13:30:00,-115.12302111805158,
2022-09-28 15:00:00,-103.52075048985685,
2022-09-28 15:30:30,-103.52075048985685,
2022-09-28 23:59:59,-114.20636023390622,c
2022-09-29 00:00:00,-191.39245044543904,
2022-09-29 10:00:00,-214.97031107026064,
2022-09-29 10:30:00,-182.9354285872042,
2022-09-29 12:00:00,-228.28080397126254,
2022-09-29 13:30:00,-230.33712342678618,
2022-09-29 15:00:00,-213.17520433057737,
2022-09-29 15:30:30,-213.17520433057737,
2022-09-29 23:59:59,-219.17902428562743,c
2022-09-30 00:00:00,-232.39279836174134,
2022-09-30 10:00:00,-291.78267285275206,
2022-09-30 10:30:00,-290.26045765373885,
2022-09-30 12:00:00,-280.6702962248057,
2022-09-30 13:30:00,-303.9966856680262,
2022-09-30 15:00:00,-288.8979412289509,
2022-09-30 15:30:30,-288.8979412289509,
2022-09-30 23:59:59,-269.07135385145216,w
