date,EU_IDVY_2022_Q1,meta
2022-02-25 00:00:00,282.3958801642232,
2022-02-25 03:30:00,221.71806947262576,
2022-02-25 04:00:00,214.54300342843885,
2022-02-25 06:00:00,215.2636073297599,
2022-02-25 08:00:00,261.96871850013554,
2022-02-25 10:30:00,293.22656883968057,
2022-02-25 11:00:00,291.80703796326657,
2022-02-25 23:59:59,276.7274018679261,w
2022-02-28 00:00:00,77.46035705704503,
2022-02-28 03:30:00,-18.082115316425416,
2022-02-28 04:00:00,-119.36942707497815,
2022-02-28 06:00:00,-125.04998688036403,
2022-02-28 08:00:00,-128.6274412192704,
2022-02-28 10:30:00,-71.29111459718615,
2022-02-28 11:00:00,-45.113630580012796,
2022-02-28 23:59:59,-54.26284237660889,c
2022-03-01 00:00:00,-67.63788749087871,
2022-03-01 03:30:00,-164.25336089244615,
2022-03-01 04:00:00,-179.5187912845547,
2022-03-01 06:00:00,-206.86440138287526,
2022-03-01 08:00:00,-208.38640331198803,
2022-03-01 10:30:00,-335.66635444941835,
2022-03-01 11:00:00,-355.6698288076608,
2022-03-01 23:59:59,-354.1341647218296,c
2022-03-02 00:00:00,-418.9065042934128,
2022-03-02 03:30:00,-495.1806992479128,
2022-03-02 04:00:00,-552.2489893842576,
2022-03-02 06:00:00,-377.02925168726665,
2022-03-02 08:00:00,-302.2629293187467,
2022-03-02 10:30:00,-269.54021043904254,
2022-03-02 11:00:00,-292.9063380920577,
2022-03-02 23:59:59,-241.08317734294724,c
2022-03-03 00:00:00,-225.61370531685407,
2022-03-03 03:30:00,-257.78254146707866,
2022-03-03 04:00:00,-256.0669760492717,
2022-03-03 06:00:00,-318.0437377247762,
2022-03-03 08:00:00,-275.8237679201486,
2022-03-03 10:30:00,-285.57014187260336,
2022-03-03 11:00:00,-313.00715593351856,
2022-03-03 23:59:59,-305.4064694651546,c
2022-03-04 00:00:00,-328.4818698001716,
2022-03-04 03:30:00,-311.33290266412496,
2022-03-04 04:00:00,-342.3440224264991,
2022-03-04 06:00:00,-336.6108369827447,
2022-03-04 08:00:00,-296.0711892221709,
2022-03-04 10:30:00,-344.3386029816337,
2022-03-04 11:00:00,-356.9865975683209,
2022-03-04 23:59:59,-351.29049719794193,w
2022-03-07 00:00:00,-421.28982170284087,
2022-03-07 03:30:00,-543.7687933687627,
2022-03-07 04:00:00,-498.784108024946,
2022-03-07 06:00:00,-513.2991081916513,
2022-03-07 08:00:00,-413.94875367693874,
2022-03-07 10:30:00,-426.5477696058266,
2022-03-07 11:00:00,-446.1518127799735,
2022-03-07 23:59:59,-423.3500668948965,c
2022-03-08 00:00:00,-452.06164677029403,
2022-03-08 03:30:00,-193.2170701038724,
2022-03-08 04:00:00,-228.41956133645817,
2022-03-08 06:00:00,-257.5870436702494,
2022-03-08 08:00:00,-269.8472709476913,
2022-03-08 10:30:00,-270.9700950725686,
2022-03-08 11:00:00,-249.7847599051829,
2022-03-08 23:59:59,-269.6774046733216,c
2022-03-09 00:00:00,-197.5518938392429,
2022-03-09 03:30:00,-223.5465411914779,
2022-03-09 04:00:00,-205.58701469863854,
2022-03-09 06:00:00,-85.34886928288688,
2022-03-09 08:00:00,-68.90726296935622,
2022-03-09 10:30:00,-124.50685801594341,
2022-03-09 11:00:00,-92.17917956093379,
2022-03-09 23:59:59,-121.53417783571649,c
2022-03-10 00:00:00,-61.55654047095345,
2022-03-10 03:30:00,-180.35714657878748,
2022-03-10 04:00:00,-245.51594715081865,
2022-03-10 06:00:00,-218.00682062756232,
2022-03-10 08:00:00,-137.7441191927055,
2022-03-10 10:30:00,-115.6613479293087,
2022-03-10 11:00:00,-122.86938983007803,
2022-03-10 23:59:59,-136.60299648057594,c
2022-03-11 00:00:00,-148.95697208229626,
