date,SP1500_GV_2021_Q4,meta
2021-10-29 00:00:00,258.84441437716526,
2021-10-29 10:00:00,258.03912622458245,
2021-10-29 10:30:00,260.0948093280787,
2021-10-29 12:00:00,261.1694925428557,
2021-10-29 13:30:00,261.14630584506915,
2021-10-29 15:00:00,261.84218280576545,
2021-10-29 15:30:30,261.84218280576545,
2021-10-29 23:59:59,259.292741669067,w
2021-11-01 00:00:00,247.24281403626412,
2021-11-01 10:00:00,232.13259373134343,
2021-11-01 10:30:00,229.01726873748092,
2021-11-01 12:00:00,226.90766055816462,
2021-11-01 13:30:00,227.45388483157305,
2021-11-01 15:00:00,232.87556851719796,
2021-11-01 15:30:30,232.87556851719796,
2021-11-01 23:59:59,230.93143387784522,c
2021-11-02 00:00:00,219.70812788440173,
2021-11-02 10:00:00,208.80232438012862,
2021-11-02 10:30:00,218.50511146273777,
2021-11-02 12:00:00,217.4622804304944,
2021-11-02 13:30:00,215.23831815303356,
2021-11-02 15:00:00,217.88143263588947,
2021-11-02 15:30:30,217.88143263588947,
2021-11-02 23:59:59,216.6657223402973,c
2021-11-03 00:00:00,215.4999577173539,
2021-11-03 10:00:00,199.11518326285758,
2021-11-03 10:30:00,205.682328590417,
2021-11-03 12:00:00,210.75603157291533,
2021-11-03 13:30:00,208.80344991941445,
2021-11-03 15:00:00,211.10993289523697,
2021-11-03 15:30:30,211.10993289523697,
2021-11-03 23:59:59,215.011406472774,c
2021-11-04 00:00:00,183.73775971026026,
2021-11-04 10:00:00,158.85856621031746,
2021-11-04 10:30:00,157.52725993516836,
2021-11-04 12:00:00,145.44357825282069,
2021-11-04 13:30:00,131.45082908479986,
2021-11-04 15:00:00,130.42797176718253,
2021-11-04 15:30:30,130.42797176718253,
2021-11-04 23:59:59,133.3640134063633,c
2021-11-05 00:00:00,106.00997329160016,
2021-11-05 10:00:00,111.62646553068065,
2021-11-05 10:30:00,101.57458922969855,
2021-11-05 12:00:00,89.84928104670547,
2021-11-05 13:30:00,88.92311830716909,
2021-11-05 15:00:00,95.01369683987329,
2021-11-05 15:30:30,95.01369683987329,
2021-11-05 23:59:59,96.47751360301208,w
2021-11-08 00:00:00,83.37326423587024,
2021-11-08 10:00:00,92.8710664826369,
2021-11-08 10:30:00,87.52928673795881,
2021-11-08 12:00:00,87.41397372184854,
2021-11-08 13:30:00,86.74099284015728,
2021-11-08 15:00:00,86.54882880343118,
2021-11-08 15:30:30,86.54882880343118,
2021-11-08 23:59:59,86.94739803604958,c
2021-11-09 00:00:00,77.69223124527716,
2021-11-09 10:00:00,63.63530743674124,
2021-11-09 10:30:00,63.6270065489571,
2021-11-09 12:00:00,69.3499223277367,
2021-11-09 13:30:00,60.18458485123095,
2021-11-09 15:00:00,57.77993752483445,
2021-11-09 15:30:30,57.77993752483445,
2021-11-09 23:59:59,57.346950180661594,c
2021-11-10 00:00:00,47.38845157190782,
2021-11-10 10:00:00,62.160542524428635,
2021-11-10 10:30:00,62.77270727903641,
2021-11-10 12:00:00,71.35457488232895,
2021-11-10 13:30:00,67.64764040545126,
2021-11-10 15:00:00,62.64177746511888,
2021-11-10 15:30:30,62.64177746511888,
2021-11-10 23:59:59,59.106954750274724,c
2021-11-11 00:00:00,56.29946658147968,
2021-11-11 10:00:00,49.32926049360414,
2021-11-11 10:30:00,44.65883365893748,
2021-11-11 12:00:00,37.32039374471567,
2021-11-11 13:30:00,31.66408828690021,
2021-11-11 15:00:00,32.42873579099202,
2021-11-11 15:30:30,32.42873579099202,
2021-11-11 23:59:59,35.555663807191564,c
2021-11-12 00:00:00,36.11796439001036,
2021-11-12 10:00:00,25.182394790224066,
2021-11-12 10:30:00,22.633215522482075,
2021-11-12 12:00:00,31.737708349857428,
2021-11-12 13:30:00,31.096258043182672,
2021-11-12 15:00:00,35.40409828041223,
2021-11-12 15:30:30,35.40409828041223,
2021-11-12 23:59:59,33.892451112142766,w
2021-11-15 00:00:00,28.302014675921484,
2021-11-15 10:00:00,33.28772037567589,
2021-11-15 10:30:00,20.090029459422283,
2021-11-15 12:00:00,27.35875494331296,
2021-11-15 13:30:00,27.899656027752343,
2021-11-15 15:00:00,28.774983125185983,
2021-11-15 15:30:30,28.774983125185983,
2021-11-15 23:59:59,28.263912734281647,c
2021-11-16 00:00:00,28.017848188549706,
2021-11-16 10:00:00,18.941577772767843,
2021-11-16 10:30:00,9.709959799577518,
2021-11-16 12:00:00,8.296689229778138,
2021-11-16 13:30:00,10.901976982574496,
2021-11-16 15:00:00,10.922563777296233,
2021-11-16 15:30:30,10.922563777296233,
2021-11-16 23:59:59,13.64286939710479,c
2021-11-17 00:00:00,14.766270249899549,
2021-11-17 10:00:00,18.423644620141303,
2021-11-17 10:30:00,17.25374258131599,
2021-11-17 12:00:00,24.98823243199702,
2021-11-17 13:30:00,24.67557709239388,
2021-11-17 15:00:00,25.369187689043173,
2021-11-17 15:30:30,25.369187689043173,
2021-11-17 23:59:59,20.254615943201145,c
2021-11-18 00:00:00,-1.2489094357443946,
2021-11-18 10:00:00,-20.91651501760407,
2021-11-18 10:30:00,-7.66603132340245,
2021-11-18 12:00:00,-13.054082618399377,
2021-11-18 13:30:00,-17.258336802123267,
2021-11-18 15:00:00,-17.719727136803584,
2021-11-18 15:30:30,-17.719727136803584,
2021-11-18 23:59:59,-14.78525201717099,c
2021-11-19 00:00:00,5.897951141674554,
2021-11-19 10:00:00,8.006045621039533,
2021-11-19 10:30:00,6.850182591209574,
2021-11-19 12:00:00,-3.6776548838911935,
2021-11-19 13:30:00,-8.224819506549778,
2021-11-19 15:00:00,-4.119298475477308,
2021-11-19 15:30:30,-4.119298475477308,
2021-11-19 23:59:59,-4.125966045234918,w
2021-11-22 00:00:00,-15.99444482998112,
2021-11-22 10:00:00,-30.056890958167855,
2021-11-22 10:30:00,-26.00451687888517,
2021-11-22 12:00:00,-14.655783514664705,
2021-11-22 13:30:00,-19.632936929222694,
2021-11-22 15:00:00,-14.235434988640122,
2021-11-22 15:30:30,-14.235434988640122,u
2021-11-22 23:59:59,-9.529747072576725,c
2021-11-23 00:00:00,-6.136700563307727,
2021-11-23 10:00:00,-20.27254563290043,
2021-11-23 10:30:00,-18.704161261908837,
2021-11-23 12:00:00,-14.225503534337605,
2021-11-23 13:30:00,-20.53640130675032,
2021-11-23 15:00:00,-22.371593076090164,
2021-11-23 15:30:30,-22.371593076090164,
2021-11-23 23:59:59,-20.698667662308537,c
2021-11-24 00:00:00,-14.089144390394722,
2021-11-24 10:00:00,-15.62230092986735,
2021-11-24 10:30:00,-22.462152874404865,
2021-11-24 12:00:00,-18.31882212100993,
2021-11-24 13:30:00,-19.848446951113885,
2021-11-24 15:00:00,-26.855946813218708,
2021-11-24 15:30:30,-26.855946813218708,
2021-11-24 23:59:59,-26.49972881206793,c
2021-11-25 00:00:00,-26.49972881206793,
2021-11-25 10:00:00,-26.49972881206793,
2021-11-25 10:30:00,-26.49972881206793,
2021-11-25 12:00:00,-26.49972881206793,
2021-11-25 13:30:00,-26.49972881206793,
2021-11-25 15:00:00,-26.49972881206793,
2021-11-25 15:30:30,-26.49972881206793,
2021-11-25 23:59:59,-26.49972881206793,c
2021-11-26 00:00:00,25.155769494330443,
2021-11-26 10:00:00,32.6044679458893,
2021-11-26 10:30:00,21.501818921009672,
2021-11-26 12:00:00,27.32425890036764,
2021-11-26 13:30:00,27.32425890036764,
2021-11-26 15:00:00,27.32425890036764,
2021-11-26 15:30:30,27.32425890036764,
2021-11-26 23:59:59,21.122560172875765,w
2021-11-29 00:00:00,18.048418542220304,
2021-11-29 10:00:00,25.315169386605618,
2021-11-29 10:30:00,27.263176943521927,
2021-11-29 12:00:00,17.60710460734498,
2021-11-29 13:30:00,19.692170747092874,
2021-11-29 15:00:00,23.0738383916716,
2021-11-29 15:30:30,23.0738383916716,
2021-11-29 23:59:59,19.02143519421591,c
2021-11-30 00:00:00,17.655266658033568,
2021-11-30 10:00:00,22.49011357779473,
2021-11-30 10:30:00,23.31817720055207,
2021-11-30 12:00:00,20.797312144666307,
2021-11-30 13:30:00,33.95707615292382,
2021-11-30 15:00:00,27.406068098496462,
2021-11-30 15:30:30,27.406068098496462,s
2021-11-30 23:59:59,28.262009764141652,c
2021-12-01 00:00:00,3.403026985731316,
2021-12-01 10:00:00,7.541496206651715,
2021-12-01 10:30:00,15.801999281831954,
2021-12-01 12:00:00,21.448057878465065,
2021-12-01 13:30:00,19.522856271529264,
2021-12-01 15:00:00,22.66801985284812,
2021-12-01 15:30:30,22.66801985284812,
2021-12-01 23:59:59,26.18775370971811,c
2021-12-02 00:00:00,24.51340076510833,
2021-12-02 10:00:00,22.439037905659262,
2021-12-02 10:30:00,13.71828140751694,
2021-12-02 12:00:00,0.39074123128818883,
2021-12-02 13:30:00,5.181251604442309,
2021-12-02 15:00:00,0.03620405461506948,
2021-12-02 15:30:30,0.03620405461506948,
2021-12-02 23:59:59,5.948746001994152,c
2021-12-03 00:00:00,8.697186363335248,
2021-12-03 10:00:00,-11.810678437045794,
2021-12-03 10:30:00,-4.877768221161205,
2021-12-03 12:00:00,-6.351859928854793,
2021-12-03 13:30:00,-1.802837809891514,
2021-12-03 15:00:00,-1.2298481840715567,
2021-12-03 15:30:30,-1.2298481840715567,
2021-12-03 23:59:59,0.0,a
2021-12-06 00:00:00,-12.128946490637162,
2021-12-06 10:00:00,10.620818781363027,
2021-12-06 10:30:00,24.060393789426172,
2021-12-06 12:00:00,19.304750275848505,
2021-12-06 13:30:00,18.16879050706369,
2021-12-06 15:00:00,14.87113807399173,
2021-12-06 15:30:30,14.87113807399173,
2021-12-06 23:59:59,13.729807434609285,c
2021-12-07 00:00:00,8.325545163255015,
2021-12-07 10:00:00,11.780612486208241,
2021-12-07 10:30:00,21.876398441243154,
2021-12-07 12:00:00,24.269042060163414,
2021-12-07 13:30:00,20.625454055912414,
2021-12-07 15:00:00,16.405532636237368,
2021-12-07 15:30:30,16.405532636237368,
2021-12-07 23:59:59,16.125893877793843,c
2021-12-08 00:00:00,10.623823633453156,
2021-12-08 10:00:00,14.744542294845573,
2021-12-08 10:30:00,29.15808599507288,
2021-12-08 12:00:00,25.625164724200914,
2021-12-08 13:30:00,24.661595644976643,
2021-12-08 15:00:00,25.229225139085145,
2021-12-08 15:30:30,25.229225139085145,
2021-12-08 23:59:59,14.923739264313056,c
2021-12-09 00:00:00,17.31281210958663,
2021-12-09 10:00:00,21.251332570279644,
2021-12-09 10:30:00,24.048993869995954,
2021-12-09 12:00:00,22.19758907936992,
2021-12-09 13:30:00,11.060577325147165,
2021-12-09 15:00:00,15.8818601930667,
2021-12-09 15:30:30,15.8818601930667,
2021-12-09 23:59:59,16.345570647543624,c
2021-12-10 00:00:00,-5.081767066381559,
2021-12-10 10:00:00,21.229896310633478,
2021-12-10 10:30:00,16.15606493173975,
2021-12-10 12:00:00,14.08944830808008,
2021-12-10 13:30:00,14.271585825519168,
2021-12-10 15:00:00,10.570349480476068,
