date,AS_MSCI_FACTOR_UNTRADE_2021_Q4,meta
2021-11-04 00:00:00,12.527172696242786,
2021-11-04 01:00:00,5.940205695824602,
2021-11-04 02:30:00,11.143259812088502,
2021-11-04 03:00:00,10.871067581303663,
2021-11-04 18:30:00,11.601737111832648,
2021-11-04 20:00:00,10.128952350857219,
2021-11-04 23:00:00,27.035197654780205,
2021-11-04 23:59:59,23.408831733692836,c
2021-11-05 00:00:00,20.469779688440013,
2021-11-05 01:00:00,19.763754157283756,
2021-11-05 02:30:00,11.77491626742463,
2021-11-05 03:00:00,11.924159102790043,
2021-11-05 18:30:00,11.924159102790043,
2021-11-05 20:00:00,11.924159102790043,
2021-11-05 23:00:00,11.924159102790043,
2021-11-05 23:59:59,10.62231508356001,w
2021-11-08 00:00:00,38.16202380739435,
2021-11-08 01:00:00,39.92011325331572,
2021-11-08 02:30:00,26.125108516624124,
2021-11-08 03:00:00,30.338644793567198,
2021-11-08 18:30:00,20.965296887017615,
2021-11-08 20:00:00,21.785355844057563,
2021-11-08 23:00:00,21.082055408622296,
2021-11-08 23:59:59,19.007752621298295,c
2021-11-09 00:00:00,29.941785603785434,
2021-11-09 01:00:00,34.071211640456056,
2021-11-09 02:30:00,16.87312601974591,
2021-11-09 03:00:00,12.695185254582725,
2021-11-09 18:30:00,8.47338705652308,
2021-11-09 20:00:00,9.907281055177378,
2021-11-09 23:00:00,6.081985616336681,
2021-11-09 23:59:59,-21.85786795332632,c
2021-11-10 00:00:00,-14.400704763177856,
2021-11-10 01:00:00,-6.97960370936633,
2021-11-10 02:30:00,-5.346251777731766,
2021-11-10 03:00:00,-14.659545116301587,
2021-11-10 18:30:00,-5.674674669171253,
2021-11-10 20:00:00,-6.142234705462641,
2021-11-10 23:00:00,1.8605045628197558,
2021-11-10 23:59:59,-5.260327343408932,c
2021-11-11 00:00:00,7.340563825773728,
2021-11-11 01:00:00,-2.534537639503384,
2021-11-11 02:30:00,3.855216132886909,
2021-11-11 03:00:00,5.186123049615929,
2021-11-11 18:30:00,4.752386057818114,
2021-11-11 20:00:00,4.8862639197178055,
2021-11-11 23:00:00,2.685335047513945,
2021-11-11 23:59:59,-13.946536909544506,c
2021-11-12 00:00:00,-17.973278678515896,
2021-11-12 01:00:00,-28.84583425744654,
2021-11-12 02:30:00,-40.369828584701594,
2021-11-12 03:00:00,-40.837328847880855,
2021-11-12 18:30:00,-40.837328847880855,
2021-11-12 20:00:00,-40.837328847880855,
2021-11-12 23:00:00,-40.837328847880855,
2021-11-12 23:59:59,-58.44287838539634,w
2021-11-15 00:00:00,-51.34290387962227,
2021-11-15 01:00:00,-46.22515538198289,
2021-11-15 02:30:00,-46.177962067792095,
2021-11-15 03:00:00,-49.43865613037963,
2021-11-15 18:30:00,-39.61345302699348,
2021-11-15 20:00:00,-38.92290678627916,
2021-11-15 23:00:00,-5.855655381154463,
2021-11-15 23:59:59,-17.37570063098042,c
2021-11-16 00:00:00,-11.600448532242524,
2021-11-16 01:00:00,-19.032013336885257,
2021-11-16 02:30:00,-29.303644353239036,
2021-11-16 03:00:00,-27.006844685817867,
2021-11-16 18:30:00,-22.533331839193835,
2021-11-16 20:00:00,-21.14707550071111,
2021-11-16 23:00:00,-4.19390544510054,
2021-11-16 23:59:59,-8.301025525791573,c
2021-11-17 00:00:00,-8.814401071487794,
2021-11-17 01:00:00,-8.614468264085588,
2021-11-17 02:30:00,0.11203454404915192,
2021-11-17 03:00:00,-0.6052473758433052,
2021-11-17 18:30:00,5.368919055721932,
2021-11-17 20:00:00,5.462370068868125,
2021-11-17 23:00:00,-2.1864628186806954,
2021-11-17 23:59:59,-12.459696748302264,c
2021-11-18 00:00:00,-8.284393310812419,
2021-11-18 01:00:00,-1.2385364860706432,
2021-11-18 02:30:00,-7.139478933123854,
2021-11-18 03:00:00,-15.594140017819939,
2021-11-18 18:30:00,-32.63494548783726,
2021-11-18 20:00:00,-30.564766945992574,
2021-11-18 23:00:00,-0.6477284726890105,
2021-11-18 23:59:59,0.0,a
2021-11-19 00:00:00,0.9255222371895968,
2021-11-19 01:00:00,8.010722694061059,
2021-11-19 02:30:00,9.646929957126957,
2021-11-19 03:00:00,9.49937092906083,
2021-11-19 18:30:00,9.49937092906083,
2021-11-19 20:00:00,9.49937092906083,
2021-11-19 23:00:00,9.49937092906083,
2021-11-19 23:59:59,9.216678610625934,w
2021-11-22 00:00:00,49.03791799618986,
2021-11-22 01:00:00,13.106270488358405,
2021-11-22 02:30:00,-25.779027636887008,
2021-11-22 03:00:00,-25.23193592152515,
2021-11-22 18:30:00,-10.056403192868856,
2021-11-22 20:00:00,-11.141911374069508,
2021-11-22 23:00:00,37.51481774271954,
2021-11-22 23:59:59,48.041195347239864,c
2021-11-23 00:00:00,54.619898473682355,
2021-11-23 01:00:00,41.680308784480104,
2021-11-23 02:30:00,32.306347882209934,
2021-11-23 03:00:00,34.4434132654153,
2021-11-23 18:30:00,43.016074445442115,
2021-11-23 20:00:00,43.14834650168521,
2021-11-23 23:00:00,90.80377861035281,
2021-11-23 23:59:59,102.77032585130156,c
0,102.77032585130156,
0,102.77032585130156,
