date,CAD_SLEW_2021_Q1,meta
2021-03-22 10:30:00,38.504874822274246,
2021-03-22 12:00:00,26.43254979069127,
2021-03-22 13:30:00,33.33231250715005,
2021-03-22 15:00:00,31.880086780160923,
2021-03-22 15:30:30,31.880086780160923,
2021-03-22 23:59:59,29.248443426182916,c
2021-03-23 00:00:00,28.570495861034146,
2021-03-23 10:00:00,6.717524832483832,
2021-03-23 10:30:00,5.653393739025887,
2021-03-23 12:00:00,4.3479495802592965,
2021-03-23 13:30:00,10.776376386912602,
2021-03-23 15:00:00,19.06396766037028,
2021-03-23 15:30:30,19.06396766037028,
2021-03-23 23:59:59,18.617726649043107,c
2021-03-24 00:00:00,17.739674397095087,
2021-03-24 10:00:00,11.282208440210752,
2021-03-24 10:30:00,12.855069772820116,
2021-03-24 12:00:00,1.5695941442627372,
2021-03-24 13:30:00,6.810033477440584,
2021-03-24 15:00:00,15.196004693635587,
2021-03-24 15:30:30,15.196004693635587,
2021-03-24 23:59:59,28.490787645615,c
2021-03-25 00:00:00,36.07767562379081,
2021-03-25 10:00:00,28.06403034648224,
2021-03-25 10:30:00,24.47668996184484,
2021-03-25 12:00:00,17.056404737162097,
2021-03-25 13:30:00,3.201755690490586,
2021-03-25 15:00:00,-7.598374890193213,
2021-03-25 15:30:30,-7.598374890193213,
2021-03-25 23:59:59,-25.687601170724292,c
2021-03-26 00:00:00,-29.12729260750484,
2021-03-26 10:00:00,-30.46322927551364,
2021-03-26 10:30:00,-50.46921788853854,
2021-03-26 12:00:00,-59.59162900452725,
2021-03-26 13:30:00,-63.46305495988065,
2021-03-26 15:00:00,-54.3574734548464,
2021-03-26 15:30:30,-54.3574734548464,
2021-03-26 23:59:59,-56.417810299352595,w
2021-03-29 00:00:00,-53.13850062920801,
2021-03-29 10:00:00,-37.95711769007846,
2021-03-29 10:30:00,-34.0057467907676,
2021-03-29 12:00:00,-39.98172519193861,
2021-03-29 13:30:00,-43.74181193344634,
2021-03-29 15:00:00,-47.5441133941132,
2021-03-29 15:30:30,-47.5441133941132,
2021-03-29 23:59:59,-43.409549212682464,c
2021-03-30 00:00:00,-43.54211567802565,
2021-03-30 10:00:00,-48.219381801959116,
2021-03-30 10:30:00,-53.26613723036485,
2021-03-30 12:00:00,-57.050306799993564,
2021-03-30 13:30:00,-48.041750717496825,
2021-03-30 15:00:00,-52.31886415958854,
2021-03-30 15:30:30,-52.31886415958854,
