date,FT_SECTOR_2021_Q3,meta
2021-07-08 00:00:00,-40.72429935269575,
2021-07-08 10:00:00,-33.19352340015548,
2021-07-08 10:30:00,-26.207987854622797,
2021-07-08 12:00:00,-17.856474517953636,
2021-07-08 13:30:00,-21.581113453653792,
2021-07-08 15:00:00,-23.953824489148438,
2021-07-08 15:30:30,-23.953824489148438,
2021-07-08 23:59:59,-23.624673956959057,c
2021-07-09 00:00:00,-18.937258611559823,
2021-07-09 10:00:00,-21.152897700216464,
2021-07-09 10:30:00,-24.796574093978073,
2021-07-09 12:00:00,-31.800127268148554,
2021-07-09 13:30:00,-26.426043009240175,
2021-07-09 15:00:00,-27.321347687713384,
2021-07-09 15:30:30,-27.321347687713384,
2021-07-09 23:59:59,-23.820029171432665,w
2021-07-12 00:00:00,-16.332097451424755,
2021-07-12 10:00:00,-10.303254740229427,
2021-07-12 10:30:00,-2.156423426268686,
2021-07-12 12:00:00,-0.34320432742393847,
2021-07-12 13:30:00,-4.340109886507519,
2021-07-12 15:00:00,-4.079569008593627,
2021-07-12 15:30:30,-4.079569008593627,
2021-07-12 23:59:59,-10.570713066998447,c
2021-07-13 00:00:00,-11.810158521957892,
2021-07-13 10:00:00,-23.11970145739777,
2021-07-13 10:30:00,-24.57938504937897,
2021-07-13 12:00:00,-22.769829450980723,
2021-07-13 13:30:00,-22.312948618426166,
2021-07-13 15:00:00,-23.080719964645166,
2021-07-13 15:30:30,-23.080719964645166,
2021-07-13 23:59:59,-23.342907404415804,c
2021-07-14 00:00:00,-23.12661069856869,
2021-07-14 10:00:00,-25.26843959454737,
2021-07-14 10:30:00,-25.873606616647447,
2021-07-14 12:00:00,-35.723169429618835,
2021-07-14 13:30:00,-34.34311478226307,
2021-07-14 15:00:00,-41.79455929279129,
2021-07-14 15:30:30,-41.79455929279129,
2021-07-14 23:59:59,-45.44383475740971,c
2021-07-15 00:00:00,-47.87286539661649,
2021-07-15 10:00:00,-40.71686754393179,
2021-07-15 10:30:00,-38.46718885669007,
2021-07-15 12:00:00,-38.01720971849546,
2021-07-15 13:30:00,-43.49582350962133,
2021-07-15 15:00:00,-39.725329983239064,
2021-07-15 15:30:30,-39.725329983239064,
2021-07-15 23:59:59,-37.682727354277674,c
2021-07-16 00:00:00,-34.93807215740166,
2021-07-16 10:00:00,-41.203837117594674,
2021-07-16 10:30:00,-43.25218140654843,
2021-07-16 12:00:00,-43.38809192471867,
2021-07-16 13:30:00,-38.89864594496537,
2021-07-16 15:00:00,-39.72596885449439,
2021-07-16 15:30:30,-39.72596885449439,
2021-07-16 23:59:59,-42.363801723224555,w
2021-07-19 00:00:00,-48.88290448744176,
2021-07-19 10:00:00,-41.94691937983904,
2021-07-19 10:30:00,-37.929785627676736,
2021-07-19 12:00:00,-25.452480700592858,
2021-07-19 13:30:00,-30.184727115889206,
2021-07-19 15:00:00,-27.21241726412843,
2021-07-19 15:30:30,-27.21241726412843,
2021-07-19 23:59:59,-30.060670123610297,c
2021-07-20 00:00:00,-35.60093057220371,
2021-07-20 10:00:00,-42.13479530666993,
2021-07-20 10:30:00,-40.10229177270026,
2021-07-20 12:00:00,-36.711001088704265,
2021-07-20 13:30:00,-30.377421963099586,
2021-07-20 15:00:00,-25.76151321968857,
2021-07-20 15:30:30,-25.76151321968857,
2021-07-20 23:59:59,-25.43272828878099,c
