date,EU_JETS_2022_Q3,meta
2022-08-26 00:00:00,-85.12363850094425,
2022-08-26 03:30:00,-76.01460468496771,
2022-08-26 04:00:00,-55.288027852423966,
2022-08-26 06:00:00,-70.19164428814929,
2022-08-26 08:00:00,-48.13228178232566,
2022-08-26 10:30:00,-40.71177809731125,
2022-08-26 11:00:00,-30.98018331164758,
2022-08-26 23:59:59,0.0,a
2022-08-29 00:00:00,45.4832493924514,
2022-08-29 03:30:00,30.495226617327262,
2022-08-29 04:00:00,30.28482082854771,
2022-08-29 06:00:00,79.17373556700068,
2022-08-29 08:00:00,74.835211198455,
2022-08-29 10:30:00,46.07266007665021,
2022-08-29 11:00:00,69.90923970179074,
2022-08-29 23:59:59,90.94108313426432,c
2022-08-30 00:00:00,83.14978224548759,
2022-08-30 03:30:00,66.53390147985147,
2022-08-30 04:00:00,56.58376497324525,
2022-08-30 06:00:00,18.43917232324111,
2022-08-30 08:00:00,51.043533686065075,
2022-08-30 10:30:00,73.88834791337194,
2022-08-30 11:00:00,93.41751006647519,
2022-08-30 23:59:59,87.46720891289078,c
2022-08-31 00:00:00,72.28654829703964,
2022-08-31 03:30:00,135.8080397154995,
2022-08-31 04:00:00,153.31831381396796,
2022-08-31 06:00:00,132.0545798308176,
2022-08-31 08:00:00,123.21086631486469,
2022-08-31 10:30:00,122.36787937331701,
2022-08-31 11:00:00,110.73604086272871,
2022-08-31 23:59:59,125.20944461284807,c
0,125.20944461284807,
0,125.20944461284807,
0,125.20944461284807,
0,125.20944461284807,
0,125.20944461284807,
0,125.20944461284807,
0,125.20944461284807,
0,125.20944461284807,
0,125.20944461284807,
0,125.20944461284807,
0,125.20944461284807,
0,125.20944461284807,
0,125.20944461284807,
0,125.20944461284807,
0,125.20944461284807,
0,125.20944461284807,
2022-09-01 00:00:00,167.06461104082337,
2022-09-01 03:30:00,190.17992927319756,
2022-09-01 04:00:00,194.59327834246415,
2022-09-01 06:00:00,213.32162012360732,
2022-09-01 08:00:00,214.53924867507158,
2022-09-01 10:30:00,255.25669133694691,
2022-09-01 11:00:00,277.4671018918689,
2022-09-01 23:59:59,247.93950013425047,c
2022-09-02 00:00:00,184.2889344915743,
2022-09-02 03:30:00,251.12231596126549,
2022-09-02 04:00:00,249.27806960184716,
2022-09-02 06:00:00,241.3292012373854,
2022-09-02 08:00:00,253.54331558304239,
2022-09-02 10:30:00,199.30749384881256,
2022-09-02 11:00:00,186.90413100004344,
2022-09-02 23:59:59,197.61532257848648,w
2022-09-05 00:00:00,296.7248749542591,
2022-09-05 03:30:00,246.73466319801992,
2022-09-05 04:00:00,263.64389724908006,
2022-09-05 06:00:00,224.90766583097366,
2022-09-05 08:00:00,212.48769232048562,
2022-09-05 10:30:00,167.5335301807154,
2022-09-05 11:00:00,166.06202183268852,
2022-09-05 23:59:59,176.01528415654684,c
2022-09-06 00:00:00,181.25384415069448,
2022-09-06 03:30:00,216.5880159413855,
2022-09-06 04:00:00,247.77226528727806,
2022-09-06 06:00:00,219.01873280701147,
2022-09-06 08:00:00,216.23902723723222,
2022-09-06 10:30:00,208.3167312486221,
2022-09-06 11:00:00,203.75195320157445,
2022-09-06 23:59:59,198.52230629723317,c
2022-09-07 00:00:00,208.7505072839399,
2022-09-07 03:30:00,208.43322240551151,
2022-09-07 04:00:00,213.40140355623726,
2022-09-07 06:00:00,188.30500448633256,
2022-09-07 08:00:00,178.79871965569055,
2022-09-07 10:30:00,171.76497432438873,
2022-09-07 11:00:00,170.93676109846956,
2022-09-07 23:59:59,171.1322646514932,c
2022-09-08 00:00:00,143.21065170813654,
2022-09-08 03:30:00,151.16683117064485,
2022-09-08 04:00:00,188.96488506101696,
2022-09-08 06:00:00,164.01967431796356,
2022-09-08 08:00:00,166.79254143288108,
2022-09-08 10:30:00,125.44767052776479,
2022-09-08 11:00:00,98.41112855002802,
2022-09-08 23:59:59,80.23586894938762,c
2022-09-09 00:00:00,76.84788473549906,
2022-09-09 03:30:00,73.6969941355178,
2022-09-09 04:00:00,64.56855369663299,
2022-09-09 06:00:00,52.56047381217968,
2022-09-09 08:00:00,20.24179074937092,
2022-09-09 10:30:00,2.4864423356339103,
2022-09-09 11:00:00,15.516860196817106,
2022-09-09 23:59:59,12.188508478466701,e
2022-09-12 00:00:00,-25.415246210578516,
2022-09-12 03:30:00,-42.470615051325694,
2022-09-12 04:00:00,-31.874206148523626,
2022-09-12 06:00:00,-13.401610000932124,
2022-09-12 08:00:00,-5.256069873676097,
2022-09-12 10:30:00,-6.990889893342228,
2022-09-12 11:00:00,9.802439800487264,
2022-09-12 23:59:59,3.5044503483877634,c
2022-09-13 00:00:00,1.3577648451878304,
2022-09-13 03:30:00,23.180696014866953,
2022-09-13 04:00:00,39.18950699045217,
2022-09-13 06:00:00,23.675655100269523,
2022-09-13 08:00:00,-16.69881190391061,
2022-09-13 10:30:00,-13.749883868876623,
2022-09-13 11:00:00,-58.5661961415035,
2022-09-13 23:59:59,-57.59821406476931,c
2022-09-14 00:00:00,-55.29458982783035,
2022-09-14 03:30:00,-52.042739874718336,
2022-09-14 04:00:00,-40.110514405786944,
2022-09-14 06:00:00,-91.99749242133112,
2022-09-14 08:00:00,-70.35847147359846,
2022-09-14 10:30:00,-73.99157808237715,
2022-09-14 11:00:00,-61.86286433145233,
2022-09-14 23:59:59,-66.5290166836844,c
2022-09-15 00:00:00,-62.6756536151679,
2022-09-15 03:30:00,-32.68137582937425,
2022-09-15 04:00:00,-72.3606990256294,
2022-09-15 06:00:00,-114.51380299921493,
2022-09-15 08:00:00,-125.09187455855908,
2022-09-15 10:30:00,-123.41890220675577,
2022-09-15 11:00:00,-131.7407011044038,
2022-09-15 23:59:59,-112.57553858459369,c
2022-09-16 00:00:00,-79.9466184884559,
2022-09-16 03:30:00,-78.78850202442572,
2022-09-16 04:00:00,-49.16188547841239,
2022-09-16 06:00:00,-77.85239612295936,
2022-09-16 08:00:00,-94.18293463019108,
2022-09-16 10:30:00,-100.55274320795479,
2022-09-16 11:00:00,-97.3797661289841,
2022-09-16 23:59:59,-72.42514341961396,w
2022-09-19 00:00:00,-42.35274152494003,
2022-09-19 03:30:00,-50.748559789507,
2022-09-19 04:00:00,-53.91574387537048,
2022-09-19 06:00:00,-70.14946426656161,
2022-09-19 08:00:00,-60.98185578361472,
2022-09-19 10:30:00,-126.11485302338224,
2022-09-19 11:00:00,-155.26694461583202,
2022-09-19 23:59:59,-130.51884506369015,c
2022-09-20 00:00:00,-182.62222991625958,
2022-09-20 03:30:00,-108.8062059824797,
2022-09-20 04:00:00,-155.07407794492246,
2022-09-20 06:00:00,-102.1225872524974,
2022-09-20 08:00:00,-43.62189082958503,
2022-09-20 10:30:00,16.52633476763367,
2022-09-20 11:00:00,26.65751081892813,
2022-09-20 23:59:59,17.565116386867885,c
2022-09-21 00:00:00,28.207489569446352,
2022-09-21 03:30:00,19.448217413595103,
2022-09-21 04:00:00,56.6609618601824,
2022-09-21 06:00:00,52.53613777704686,
2022-09-21 08:00:00,72.07920537769269,
2022-09-21 10:30:00,69.28068805491375,
2022-09-21 11:00:00,50.794832276433226,
2022-09-21 23:59:59,43.22808373890484,c
2022-09-22 00:00:00,91.72546442142539,
2022-09-22 03:30:00,69.1478099889564,
2022-09-22 04:00:00,76.03520051704936,
2022-09-22 06:00:00,85.83325901263333,
2022-09-22 08:00:00,100.81862617250908,
2022-09-22 10:30:00,141.64927277122206,
2022-09-22 11:00:00,165.23185144650097,
2022-09-22 23:59:59,113.89407216453401,c
2022-09-23 00:00:00,116.82735546495451,
2022-09-23 03:30:00,201.099336670899,
2022-09-23 04:00:00,196.47929710079052,
2022-09-23 06:00:00,223.81882560753093,
2022-09-23 08:00:00,226.63499654085354,
2022-09-23 10:30:00,191.79571248936873,
2022-09-23 11:00:00,198.0009831603761,
2022-09-23 23:59:59,181.62665211337708,w
