date,EU_MSCI_MINVOL_2022_Q2,meta
2022-04-14 00:00:00,-429.54962072615194,
2022-04-14 03:30:00,-427.7059303278626,
2022-04-14 04:00:00,-429.1244590715273,
2022-04-14 06:00:00,-420.06929953177166,
2022-04-14 08:00:00,-439.0834978576838,
2022-04-14 10:30:00,-412.138888243191,
2022-04-14 11:00:00,-412.5568539950251,
2022-04-14 23:59:59,-402.95322616409794,c
2022-04-15 00:00:00,-402.95322616409794,
2022-04-15 03:30:00,-402.95322616409794,
2022-04-15 04:00:00,-402.95322616409794,
2022-04-15 06:00:00,-402.95322616409794,
2022-04-15 08:00:00,-402.95322616409794,
2022-04-15 10:30:00,-402.95322616409794,
2022-04-15 11:00:00,-402.95322616409794,
2022-04-15 23:59:59,-402.95322616409794,w
2022-04-18 00:00:00,-402.5738100800828,
2022-04-18 03:30:00,-403.44938931267825,
2022-04-18 04:00:00,-403.35114473691556,
2022-04-18 06:00:00,-404.9575996733106,
2022-04-18 08:00:00,-404.9575996733106,
2022-04-18 10:30:00,-404.9575996733106,
2022-04-18 11:00:00,-404.9575996733106,
2022-04-18 23:59:59,-405.1640575931806,c
2022-04-19 00:00:00,-351.20984395794494,
2022-04-19 03:30:00,-336.37840869620754,
2022-04-19 04:00:00,-318.3994968293903,
2022-04-19 06:00:00,-297.76244029502016,
2022-04-19 08:00:00,-318.9143430685591,
2022-04-19 10:30:00,-342.2548608947169,
2022-04-19 11:00:00,-345.3505597150337,
2022-04-19 23:59:59,-335.9990939341026,c
2022-04-20 00:00:00,-329.9140842255324,
2022-04-20 03:30:00,-342.06231102299444,
2022-04-20 04:00:00,-323.73681728629697,
2022-04-20 06:00:00,-359.73118705855984,
2022-04-20 08:00:00,-365.4899151731497,
2022-04-20 10:30:00,-373.129999923479,
2022-04-20 11:00:00,-369.61669733440965,
2022-04-20 23:59:59,-363.29735208460534,c
2022-04-21 00:00:00,-355.601485848606,
2022-04-21 03:30:00,-362.3046715484828,
2022-04-21 04:00:00,-391.18041359382937,
2022-04-21 06:00:00,-378.3670095240142,
2022-04-21 08:00:00,-383.7955892779099,
2022-04-21 10:30:00,-356.4070959619503,
2022-04-21 11:00:00,-343.8109621242911,
2022-04-21 23:59:59,-344.02771612540676,c
2022-04-22 00:00:00,-311.84475029529517,
2022-04-22 03:30:00,-283.2486015811387,
2022-04-22 04:00:00,-315.8257252476361,
2022-04-22 06:00:00,-330.6156730734549,
2022-04-22 08:00:00,-326.9916659669335,
2022-04-22 10:30:00,-300.89343128905205,
2022-04-22 11:00:00,-307.53446801998984,
2022-04-22 23:59:59,-298.1826537719719,w
2022-04-25 00:00:00,-278.4607012099252,
2022-04-25 03:30:00,-296.1688332727025,
2022-04-25 04:00:00,-275.9990535610665,
2022-04-25 06:00:00,-267.0820274573118,
2022-04-25 08:00:00,-274.4071766003932,
2022-04-25 10:30:00,-277.8046670397558,
2022-04-25 11:00:00,-269.1415304226406,
2022-04-25 23:59:59,-265.9319597663159,c
2022-04-26 00:00:00,-279.1122064498977,
2022-04-26 03:30:00,-243.37093671581002,
2022-04-26 04:00:00,-237.4265769701499,
2022-04-26 06:00:00,-248.99410543568078,
2022-04-26 08:00:00,-248.13738625887268,
2022-04-26 10:30:00,-201.68757391392282,
2022-04-26 11:00:00,-186.34317299494887,
2022-04-26 23:59:59,-176.38502904975644,c
2022-04-27 00:00:00,-173.97694675331496,
2022-04-27 03:30:00,-162.62671422735494,
2022-04-27 04:00:00,-188.61172650272638,
2022-04-27 06:00:00,-185.065340877061,
2022-04-27 08:00:00,-187.57967998057322,
2022-04-27 10:30:00,-168.13062498134354,
2022-04-27 11:00:00,-177.13807517563322,
2022-04-27 23:59:59,-191.72463666229365,c
2022-04-28 00:00:00,-196.02053288397295,
2022-04-28 03:30:00,-225.7668288156652,
2022-04-28 04:00:00,-226.3087365210989,
2022-04-28 06:00:00,-216.0392871200623,
2022-04-28 08:00:00,-230.83634900821122,
2022-04-28 10:30:00,-219.49140847400795,
2022-04-28 11:00:00,-210.0940796617014,
2022-04-28 23:59:59,-210.41771033305727,c
2022-04-29 00:00:00,-292.7060994105119,
2022-04-29 03:30:00,-295.69284926117143,
2022-04-29 04:00:00,-293.4949511769436,
2022-04-29 06:00:00,-280.7477081063074,
2022-04-29 08:00:00,-268.66449911950303,
2022-04-29 10:30:00,-265.07580790023496,
2022-04-29 11:00:00,-269.8950078776875,
2022-04-29 23:59:59,-270.0534565473804,w
2022-05-02 00:00:00,-256.8867339392758,
2022-05-02 03:30:00,-256.422982177339,
2022-05-02 04:00:00,-195.14893205113154,
2022-05-02 06:00:00,-238.44686234104788,
2022-05-02 08:00:00,-190.50572461999556,
2022-05-02 10:30:00,-223.39076851684646,
2022-05-02 11:00:00,-220.2155248937208,
2022-05-02 23:59:59,-221.48045883664687,c
2022-05-03 00:00:00,-250.19201415695753,
2022-05-03 03:30:00,-231.89798062681794,
2022-05-03 04:00:00,-223.71242170928147,
2022-05-03 06:00:00,-221.40232636076783,
2022-05-03 08:00:00,-204.9669761221435,
2022-05-03 10:30:00,-184.77427840871812,
2022-05-03 11:00:00,-182.63978713216227,
2022-05-03 23:59:59,-180.18204267227352,c
2022-05-04 00:00:00,-188.51530119777794,
2022-05-04 03:30:00,-185.88563657244035,
2022-05-04 04:00:00,-190.0960666982908,
2022-05-04 06:00:00,-159.4551233291595,
2022-05-04 08:00:00,-176.65263336993388,
2022-05-04 10:30:00,-171.29651434332342,
2022-05-04 11:00:00,-167.55038062436714,
2022-05-04 23:59:59,-164.31952298894836,c
2022-05-05 00:00:00,-198.82960399661877,
2022-05-05 03:30:00,-196.3456139081736,
2022-05-05 04:00:00,-191.31407470452407,
2022-05-05 06:00:00,-199.90673444663807,
2022-05-05 08:00:00,-172.66163198477852,
2022-05-05 10:30:00,-127.11802230173328,
2022-05-05 11:00:00,-109.73361333750032,
2022-05-05 23:59:59,-103.27808867234512,c
2022-05-06 00:00:00,-91.70481894966943,
2022-05-06 03:30:00,-59.77215985798138,
2022-05-06 04:00:00,-50.01765186495203,
2022-05-06 06:00:00,-46.65134214643153,
2022-05-06 08:00:00,-45.212327161421015,
2022-05-06 10:30:00,-39.842337273479004,
2022-05-06 11:00:00,-45.47694621545466,
2022-05-06 23:59:59,-48.20239106110159,w
2022-05-09 00:00:00,-37.994071080704686,
2022-05-09 03:30:00,-44.852347741462765,
2022-05-09 04:00:00,-19.633864969780234,
2022-05-09 06:00:00,-2.1951543436270526,
2022-05-09 08:00:00,-3.7212282265846284,
2022-05-09 10:30:00,23.261757826198924,
2022-05-09 11:00:00,30.17490400070553,
2022-05-09 23:59:59,43.00438451985957,c
2022-05-10 00:00:00,26.152426774092277,
2022-05-10 03:30:00,53.97796496094396,
2022-05-10 04:00:00,49.420816445806445,
2022-05-10 06:00:00,48.79269135477813,
2022-05-10 08:00:00,67.93996663404789,
2022-05-10 10:30:00,57.33222169957492,
2022-05-10 11:00:00,69.83437476889327,
2022-05-10 23:59:59,72.20961910121504,c
2022-05-11 00:00:00,40.3751797655164,
2022-05-11 03:30:00,28.698821706827154,
2022-05-11 04:00:00,35.14940765903536,
2022-05-11 06:00:00,23.878147560628733,
2022-05-11 08:00:00,11.812846019410614,
2022-05-11 10:30:00,17.4791305222006,
2022-05-11 11:00:00,17.408321245293102,
2022-05-11 23:59:59,27.27007032650713,c
2022-05-12 00:00:00,54.77618401928149,
2022-05-12 03:30:00,66.12967034503176,
2022-05-12 04:00:00,59.676657282155574,
2022-05-12 06:00:00,85.36391096164736,
2022-05-12 08:00:00,86.54912924388783,
2022-05-12 10:30:00,52.26947853011523,
2022-05-12 11:00:00,45.01456664568527,
2022-05-12 23:59:59,20.103463921285844,c
2022-05-13 00:00:00,12.712336680444245,
2022-05-13 03:30:00,29.341914768863163,
2022-05-13 04:00:00,30.360610031530115,
2022-05-13 06:00:00,22.791837532625323,
2022-05-13 08:00:00,18.032263730050836,
2022-05-13 10:30:00,11.200341966501277,
2022-05-13 11:00:00,18.08932379053413,
2022-05-13 23:59:59,15.80153336546033,w
2022-05-16 00:00:00,41.97966545523933,
2022-05-16 03:30:00,30.61041898198755,
2022-05-16 04:00:00,26.735706505205016,
2022-05-16 06:00:00,29.935828310387997,
2022-05-16 08:00:00,27.62559505078,
2022-05-16 10:30:00,56.32914003060024,
2022-05-16 11:00:00,68.93576219390052,
2022-05-16 23:59:59,80.13308026692232,c
2022-05-17 00:00:00,74.03320370071341,
2022-05-17 03:30:00,63.640643706554485,
2022-05-17 04:00:00,62.982580048019074,
2022-05-17 06:00:00,26.226727888548517,
2022-05-17 08:00:00,-13.092273699741227,
2022-05-17 10:30:00,4.508252858852778,
2022-05-17 11:00:00,11.310291259897319,
2022-05-17 23:59:59,7.664501009351369,c
2022-05-18 00:00:00,17.91122056830394,
2022-05-18 03:30:00,9.78728830816987,
2022-05-18 04:00:00,29.065691520305805,
2022-05-18 06:00:00,33.65305754003425,
2022-05-18 08:00:00,40.88102654914883,
2022-05-18 10:30:00,50.06188882705154,
2022-05-18 11:00:00,45.85148325882079,
2022-05-18 23:59:59,38.55575658934157,c
2022-05-19 00:00:00,50.53350670314504,
2022-05-19 03:30:00,59.278203784236425,
2022-05-19 04:00:00,31.067966979725746,
2022-05-19 06:00:00,47.925594861752344,
2022-05-19 08:00:00,31.857990105976324,
2022-05-19 10:30:00,20.531138469594005,
2022-05-19 11:00:00,8.758718049159938,
2022-05-19 23:59:59,0.0,a
2022-05-20 00:00:00,12.003210263887212,
2022-05-20 03:30:00,40.45648819350646,
2022-05-20 04:00:00,14.15423388502311,
2022-05-20 06:00:00,-12.673426207363491,
2022-05-20 08:00:00,-17.96333664343689,
2022-05-20 10:30:00,-15.576408266546764,
2022-05-20 11:00:00,-12.079074899480048,
2022-05-20 23:59:59,-9.940900899930753,w
