date,PKW_2023_Q1,meta
2023-01-03 00:00:00,-182.72131041323334,
2023-01-03 10:00:00,-172.7632648932055,
2023-01-03 10:30:00,-178.09167703359807,
2023-01-03 12:00:00,-190.3796126143403,
2023-01-03 13:30:00,-187.3372021755834,
2023-01-03 15:00:00,-190.2791240447897,
2023-01-03 15:30:30,-190.2791240447897,
2023-01-03 23:59:59,-190.8051694105744,c
2023-01-04 00:00:00,-201.0355105692241,
2023-01-04 10:00:00,-202.06309115867268,
2023-01-04 10:30:00,-196.7642340045837,
2023-01-04 12:00:00,-194.21462341124487,
2023-01-04 13:30:00,-182.716652176923,
2023-01-04 15:00:00,-173.52163560798365,
2023-01-04 15:30:30,-173.52163560798365,
2023-01-04 23:59:59,-172.0273112209476,c
2023-01-05 00:00:00,-171.19303796139383,
2023-01-05 10:00:00,-170.89409667624818,
2023-01-05 10:30:00,-164.56545564033487,
2023-01-05 12:00:00,-152.29677963988527,
2023-01-05 13:30:00,-143.46026616742608,
2023-01-05 15:00:00,-146.545882533585,
2023-01-05 15:30:30,-146.545882533585,
2023-01-05 23:59:59,-150.62890924095655,c
2023-01-06 00:00:00,-145.17464371082846,
2023-01-06 10:00:00,-134.98279416090207,
2023-01-06 10:30:00,-132.07220562421472,
2023-01-06 12:00:00,-136.46611425415313,
2023-01-06 13:30:00,-129.98612213046934,
2023-01-06 15:00:00,-130.97233862170737,
2023-01-06 15:30:30,-130.97233862170737,
2023-01-06 23:59:59,-126.11850497520987,w
2023-01-09 00:00:00,-115.01379515479681,
2023-01-09 10:00:00,-109.03151596465727,
2023-01-09 10:30:00,-111.54543006612491,
2023-01-09 12:00:00,-104.63747411787352,
2023-01-09 13:30:00,-92.35573082151299,
2023-01-09 15:00:00,-83.27319945367154,
2023-01-09 15:30:30,-83.27319945367154,
2023-01-09 23:59:59,-82.07648824530193,c
2023-01-10 00:00:00,-83.27445109265494,
2023-01-10 10:00:00,-77.64812850842566,
2023-01-10 10:30:00,-73.84906988628217,
2023-01-10 12:00:00,-75.22963226255234,
2023-01-10 13:30:00,-76.04423955764298,
2023-01-10 15:00:00,-68.521858492255,
2023-01-10 15:30:30,-68.521858492255,
2023-01-10 23:59:59,-68.99642860028891,c
2023-01-11 00:00:00,-71.37099484759634,
2023-01-11 10:00:00,-83.80981160386395,
2023-01-11 10:30:00,-85.6395580538204,
2023-01-11 12:00:00,-80.81464159932258,
2023-01-11 13:30:00,-87.93205229157604,
2023-01-11 15:00:00,-84.9753827716327,
2023-01-11 15:30:30,-84.9753827716327,
2023-01-11 23:59:59,-88.82377384249452,c
2023-01-12 00:00:00,-91.62937145674857,
2023-01-12 10:00:00,-93.31555264767726,
2023-01-12 10:30:00,-93.65534497461164,
2023-01-12 12:00:00,-74.68419446674918,
2023-01-12 13:30:00,-69.43515515026363,
2023-01-12 15:00:00,-58.1672193900478,
2023-01-12 15:30:30,-58.1672193900478,
2023-01-12 23:59:59,-54.37643073305484,c
2023-01-13 00:00:00,-48.80588513924082,
2023-01-13 10:00:00,-62.05133778258658,
2023-01-13 10:30:00,-56.85324846060215,
2023-01-13 12:00:00,-53.405731032265926,
2023-01-13 13:30:00,-59.37970653458223,
2023-01-13 15:00:00,-57.793273239941904,
2023-01-13 15:30:30,-57.793273239941904,
2023-01-13 23:59:59,-53.15884813399935,w
2023-01-16 00:00:00,-53.15884813399935,
2023-01-16 10:00:00,-53.15884813399935,
2023-01-16 10:30:00,-53.15884813399935,
2023-01-16 12:00:00,-53.15884813399935,
2023-01-16 13:30:00,-53.15884813399935,
2023-01-16 15:00:00,-53.15884813399935,
2023-01-16 15:30:30,-53.15884813399935,
2023-01-16 23:59:59,-53.15884813399935,c
2023-01-17 00:00:00,-38.464077159145695,
2023-01-17 10:00:00,-18.829254536590135,
2023-01-17 10:30:00,-20.78923773813395,
2023-01-17 12:00:00,-15.558870418230548,
2023-01-17 13:30:00,-15.917939125526601,
2023-01-17 15:00:00,-21.843655681188793,
2023-01-17 15:30:30,-21.843655681188793,
2023-01-17 23:59:59,-19.573640668951924,c
2023-01-18 00:00:00,2.1775638070401335,
2023-01-18 10:00:00,22.089524216616773,
2023-01-18 10:30:00,23.102817745596603,
2023-01-18 12:00:00,9.763118940229806,
2023-01-18 13:30:00,1.6816745416217067,
2023-01-18 15:00:00,2.3213492256185404,
2023-01-18 15:30:30,2.3213492256185404,
2023-01-18 23:59:59,3.5664416786138773,c
2023-01-19 00:00:00,-4.278798309275167,
2023-01-19 10:00:00,-11.549600009177283,
2023-01-19 10:30:00,-11.704062396650485,
2023-01-19 12:00:00,-7.342453631984,
2023-01-19 13:30:00,-2.9463883322397635,
2023-01-19 15:00:00,5.563665013723625,
2023-01-19 15:30:30,5.563665013723625,
2023-01-19 23:59:59,9.383625816647488,c
2023-01-20 00:00:00,9.374051886163862,
2023-01-20 10:00:00,15.971128130218155,
2023-01-20 10:30:00,6.811926959877212,
2023-01-20 12:00:00,10.822999516966323,
2023-01-20 13:30:00,10.45626632089807,
2023-01-20 15:00:00,13.724323352771982,
2023-01-20 15:30:30,13.724323352771982,
2023-01-20 23:59:59,20.156012994850734,w
2023-01-23 00:00:00,20.59965620259466,
2023-01-23 10:00:00,27.629458658153922,
2023-01-23 10:30:00,33.45789582655999,
2023-01-23 12:00:00,23.757642420916987,
2023-01-23 13:30:00,28.058586802229243,
2023-01-23 15:00:00,30.378720551788426,
2023-01-23 15:30:30,30.378720551788426,
2023-01-23 23:59:59,29.627887483075895,c
2023-01-24 00:00:00,-1.2267065354151825,
2023-01-24 10:00:00,12.105721203264213,
2023-01-24 10:30:00,13.521753055713368,
2023-01-24 12:00:00,9.831435395338154,
2023-01-24 13:30:00,9.036732071986997,
2023-01-24 15:00:00,4.370142294885504,
2023-01-24 15:30:30,4.370142294885504,
2023-01-24 23:59:59,0.0,a
2023-01-25 00:00:00,3.3736684363303517,
2023-01-25 10:00:00,-16.83932619427167,
2023-01-25 10:30:00,-26.621684961258573,
2023-01-25 12:00:00,-29.610630511226795,
2023-01-25 13:30:00,-37.925405788196706,
2023-01-25 15:00:00,-34.62944134268009,
2023-01-25 15:30:30,-34.62944134268009,
2023-01-25 23:59:59,-33.628729841752765,c
2023-01-26 00:00:00,-38.44833308501732,
2023-01-26 10:00:00,-41.41342451417943,
2023-01-26 10:30:00,-42.58902683320428,
2023-01-26 12:00:00,-35.468330469112594,
2023-01-26 13:30:00,-24.53209812759102,
2023-01-26 15:00:00,-18.846811939861333,
2023-01-26 15:30:30,-18.846811939861333,
2023-01-26 23:59:59,-12.311711686578718,c
2023-01-27 00:00:00,-25.199102549600724,
2023-01-27 10:00:00,-31.28059877263022,
2023-01-27 10:30:00,-32.08031346283868,
2023-01-27 12:00:00,-36.21611148457591,
2023-01-27 13:30:00,-38.677908613734324,
2023-01-27 15:00:00,-37.79611532816468,
2023-01-27 15:30:30,-37.79611532816468,
2023-01-27 23:59:59,-33.05454847153154,w
2023-01-30 00:00:00,-50.93130212733666,
2023-01-30 10:00:00,-58.97013861636112,
2023-01-30 10:30:00,-54.9456813968279,
2023-01-30 12:00:00,-57.895680760560715,
2023-01-30 13:30:00,-55.586056858359036,
2023-01-30 15:00:00,-58.670250019848574,
2023-01-30 15:30:30,-58.670250019848574,
2023-01-30 23:59:59,-65.56105424981837,c
2023-01-31 00:00:00,-76.77836300564974,
2023-01-31 10:00:00,-64.19072956043058,
2023-01-31 10:30:00,-57.84278369656419,
2023-01-31 12:00:00,-57.84244222615917,
2023-01-31 13:30:00,-60.144261617631535,
2023-01-31 15:00:00,-64.89978093523698,
2023-01-31 15:30:30,-64.89978093523698,
2023-01-31 23:59:59,-71.30255092551553,e
2023-02-01 00:00:00,-64.84763799729438,
2023-02-01 10:00:00,-100.04804469023111,
2023-02-01 10:30:00,-106.16372972019431,
2023-02-01 12:00:00,-128.57234672188463,
2023-02-01 13:30:00,-128.21085801104093,
2023-02-01 15:00:00,-122.54805856805922,
2023-02-01 15:30:30,-122.54805856805922,
2023-02-01 23:59:59,-115.96214502003465,c
2023-02-02 00:00:00,-122.6197733863855,
2023-02-02 10:00:00,-116.47680721872658,
2023-02-02 10:30:00,-98.0924502522746,
2023-02-02 12:00:00,-87.74895651174018,
2023-02-02 13:30:00,-83.30301221036896,
2023-02-02 15:00:00,-84.40449306824641,
2023-02-02 15:30:30,-84.40449306824641,
2023-02-02 23:59:59,-72.06841627379819,c
2023-02-03 00:00:00,-74.02515650177006,
2023-02-03 10:00:00,-79.74735477316429,
2023-02-03 10:30:00,-82.81131123801552,
2023-02-03 12:00:00,-84.29578728349244,
2023-02-03 13:30:00,-85.51108980236114,
