date,MVECT_2020_Q4,meta
2020-12-11 15:00:00,1.825744505708144,
2020-12-11 15:30:30,1.825744505708144,
2020-12-11 23:59:59,0.0,a
2020-12-14 00:00:00,-62.91157503844465,
2020-12-14 10:00:00,-93.06704977900154,
2020-12-14 10:30:00,-67.40767272953508,
2020-12-14 12:00:00,-70.89545458560315,
2020-12-14 13:30:00,-41.4101212942785,
2020-12-14 15:00:00,-42.123361658540944,
2020-12-14 15:30:30,-42.123361658540944,
2020-12-14 23:59:59,-40.29045241277436,c
2020-12-15 00:00:00,-54.562130733935874,
2020-12-15 10:00:00,-0.871085554413412,
2020-12-15 10:30:00,-23.48741601239226,
2020-12-15 12:00:00,-2.2529207196478183,
2020-12-15 13:30:00,20.70551799419445,
2020-12-15 15:00:00,-18.98681416314298,
2020-12-15 15:30:30,-18.98681416314298,
2020-12-15 23:59:59,-1.5249573634907847,c
2020-12-16 00:00:00,30.78944219740174,
2020-12-16 10:00:00,22.813006843972744,
2020-12-16 10:30:00,24.485362481438415,
2020-12-16 12:00:00,35.4241109330319,
2020-12-16 13:30:00,40.39731439655861,
2020-12-16 15:00:00,48.403946830576615,
2020-12-16 15:30:30,48.403946830576615,
2020-12-16 23:59:59,43.57200929000123,c
2020-12-17 00:00:00,85.25900670238389,
2020-12-17 10:00:00,61.99136281878123,
2020-12-17 10:30:00,15.669910029615266,
2020-12-17 12:00:00,71.20996461719346,
2020-12-17 13:30:00,64.65517883752386,
2020-12-17 15:00:00,57.136825782631604,
2020-12-17 15:30:30,57.136825782631604,
2020-12-17 23:59:59,45.9352851027254,c
2020-12-18 00:00:00,74.85607500508718,
2020-12-18 10:00:00,92.78916129337426,
2020-12-18 10:30:00,63.62071326792443,
2020-12-18 12:00:00,87.23577580187543,
2020-12-18 13:30:00,84.28227026430977,
2020-12-18 15:00:00,86.59767987382111,
2020-12-18 15:30:30,86.59767987382111,
2020-12-18 23:59:59,150.5359710430148,e
2020-12-21 00:00:00,232.11603206181212,
2020-12-21 10:00:00,126.689037043991,
2020-12-21 10:30:00,129.19992932907599,
2020-12-21 12:00:00,143.261979381836,
2020-12-21 13:30:00,148.2960125904001,
2020-12-21 15:00:00,162.13374625834126,
2020-12-21 15:30:30,162.13374625834126,
2020-12-21 23:59:59,186.78248395030005,c
2020-12-22 00:00:00,198.4777278855429,
2020-12-22 10:00:00,274.10659487487305,
2020-12-22 10:30:00,245.1684677727569,
2020-12-22 12:00:00,277.40373817978275,
2020-12-22 13:30:00,287.8915319141706,
2020-12-22 15:00:00,314.1233651784653,
2020-12-22 15:30:30,314.1233651784653,
2020-12-22 23:59:59,336.5971828640488,c
2020-12-23 00:00:00,374.1204479745063,
2020-12-23 10:00:00,346.7950511023935,
2020-12-23 10:30:00,345.9480410381161,
2020-12-23 12:00:00,316.5864926461927,
2020-12-23 13:30:00,319.70309702511486,
2020-12-23 15:00:00,321.3282334992464,
2020-12-23 15:30:30,321.3282334992464,
2020-12-23 23:59:59,323.0941027762083,c
2020-12-24 00:00:00,358.77474219655164,
2020-12-24 10:00:00,381.73201966354327,
2020-12-24 10:30:00,393.7041379939974,
2020-12-24 12:00:00,354.8917327839674,
2020-12-24 13:30:00,354.8917327839674,
2020-12-24 15:00:00,354.8917327839674,
2020-12-24 15:30:30,354.8917327839674,
2020-12-24 23:59:59,336.56842995480497,c
2020-12-25 00:00:00,336.56842995480497,
2020-12-25 10:00:00,336.56842995480497,
2020-12-25 10:30:00,336.56842995480497,
2020-12-25 12:00:00,336.56842995480497,
2020-12-25 13:30:00,336.56842995480497,
2020-12-25 15:00:00,336.56842995480497,
2020-12-25 15:30:30,336.56842995480497,
2020-12-25 23:59:59,336.56842995480497,w
2020-12-28 00:00:00,367.13846781954976,
2020-12-28 10:00:00,354.194208475928,
2020-12-28 10:30:00,369.09630288580047,
2020-12-28 12:00:00,350.953936691217,
2020-12-28 13:30:00,361.0287859152968,
2020-12-28 15:00:00,345.5384905713411,
2020-12-28 15:30:30,345.5384905713411,
2020-12-28 23:59:59,352.13333757926216,c
2020-12-29 00:00:00,367.40790078410737,
2020-12-29 10:00:00,316.8366310471142,
2020-12-29 10:30:00,330.9048771140915,
2020-12-29 12:00:00,269.54597303877335,
2020-12-29 13:30:00,317.4623231945575,
2020-12-29 15:00:00,302.3465720875024,
2020-12-29 15:30:30,302.3465720875024,
2020-12-29 23:59:59,286.5853384028346,c
2020-12-30 00:00:00,254.8085075795575,
2020-12-30 10:00:00,188.05827999144003,
2020-12-30 10:30:00,196.59058801622723,
2020-12-30 12:00:00,221.44444593807907,
2020-12-30 13:30:00,194.22687874320582,
2020-12-30 15:00:00,198.58712331452784,
2020-12-30 15:30:30,198.58712331452784,
2020-12-30 23:59:59,202.9439025077222,c
2020-12-31 00:00:00,207.820854807851,
2020-12-31 10:00:00,247.63968823656455,
2020-12-31 10:30:00,251.80764119979972,
2020-12-31 12:00:00,243.41593463338108,
2020-12-31 13:30:00,251.6320497819329,
2020-12-31 15:00:00,268.0954838899702,
2020-12-31 15:30:30,268.0954838899702,
2020-12-31 23:59:59,256.4216564156425,c
2021-01-01 00:00:00,256.4216564156425,
2021-01-01 10:00:00,256.4216564156425,
2021-01-01 10:30:00,256.4216564156425,
2021-01-01 12:00:00,256.4216564156425,
2021-01-01 13:30:00,256.4216564156425,
2021-01-01 15:00:00,256.4216564156425,
2021-01-01 15:30:30,256.4216564156425,
2021-01-01 23:59:59,256.4216564156425,w
