date,AS_TOPIX_2022_Q1,meta
2021-11-30 00:00:00,-153.9453585512184,
2021-11-30 01:00:00,-157.03074474215026,
2021-11-30 02:30:00,-157.03074474215026,
2021-11-30 03:00:00,-157.03074474215026,
2021-11-30 18:30:00,-157.03074474215026,
2021-11-30 20:00:00,-193.86824701454597,
2021-11-30 23:00:00,-143.53594292798962,
2021-11-30 23:59:59,-133.10068366080503,c
2021-12-01 00:00:00,-116.36175016652182,
2021-12-01 01:00:00,-109.74277742638895,
2021-12-01 02:30:00,-109.74277742638895,
2021-12-01 03:00:00,-109.74277742638895,
2021-12-01 18:30:00,-109.74277742638895,
2021-12-01 20:00:00,-119.30681849469407,
2021-12-01 23:00:00,-129.1988372427599,
2021-12-01 23:59:59,-140.83049600957096,c
2021-12-02 00:00:00,-134.98387609324772,
2021-12-02 01:00:00,-132.63752969874105,
2021-12-02 02:30:00,-132.63752969874105,
2021-12-02 03:00:00,-132.63752969874105,
2021-12-02 18:30:00,-132.63752969874105,
2021-12-02 20:00:00,-136.85069515619566,
2021-12-02 23:00:00,-134.20146916603773,
2021-12-02 23:59:59,-139.24875276940378,c
2021-12-03 00:00:00,-141.673026193645,
2021-12-03 01:00:00,-134.81570299851393,
2021-12-03 02:30:00,-134.81570299851393,
2021-12-03 03:00:00,-134.81570299851393,
2021-12-03 18:30:00,-134.81570299851393,
2021-12-03 20:00:00,-134.81570299851393,
2021-12-03 23:00:00,-134.81570299851393,
2021-12-03 23:59:59,-137.08428453612493,w
2021-12-06 00:00:00,-130.32004452253327,
2021-12-06 01:00:00,-128.62316197197072,
2021-12-06 02:30:00,-128.62316197197072,
2021-12-06 03:00:00,-128.62316197197072,
2021-12-06 18:30:00,-128.62316197197072,
2021-12-06 20:00:00,-117.90378291754062,
2021-12-06 23:00:00,-126.64938046362445,
2021-12-06 23:59:59,-138.25258031967735,c
2021-12-07 00:00:00,-134.8468773629947,
2021-12-07 01:00:00,-136.40192808514672,
2021-12-07 02:30:00,-136.40192808514672,
2021-12-07 03:00:00,-136.40192808514672,
2021-12-07 18:30:00,-136.40192808514672,
2021-12-07 20:00:00,-112.7600208627137,
