date,AS_IHD_2023_Q1,meta
2023-01-30 00:00:00,-131.3686420883647,
2023-01-30 01:00:00,-131.3686420883647,
2023-01-30 02:30:00,-131.3686420883647,
2023-01-30 03:00:00,-131.3686420883647,
2023-01-30 18:30:00,-133.74146867766868,
2023-01-30 20:00:00,-118.05881104016261,
2023-01-30 23:00:00,-104.41621825722399,
2023-01-30 23:59:59,-108.50192038934875,c
2023-01-31 00:00:00,-134.94197586187798,
2023-01-31 01:00:00,-134.94197586187798,
2023-01-31 02:30:00,-134.94197586187798,
2023-01-31 03:00:00,-134.94197586187798,
2023-01-31 18:30:00,-125.45991964346152,
2023-01-31 20:00:00,-138.0667066284174,
2023-01-31 23:00:00,-154.7427228033626,
2023-01-31 23:59:59,-148.30477998306037,e
2023-02-01 00:00:00,-152.10296013557075,
2023-02-01 01:00:00,-152.10296013557075,
2023-02-01 02:30:00,-152.10296013557075,
2023-02-01 03:00:00,-152.10296013557075,
2023-02-01 18:30:00,-152.34221982829467,
2023-02-01 20:00:00,-153.87654782467558,
2023-02-01 23:00:00,-161.4826076201041,
2023-02-01 23:59:59,-146.69692441396742,c
2023-02-02 00:00:00,-159.14278959542222,
2023-02-02 01:00:00,-159.14278959542222,
2023-02-02 02:30:00,-159.14278959542222,
2023-02-02 03:00:00,-159.14278959542222,
2023-02-02 18:30:00,-164.81266078452245,
2023-02-02 20:00:00,-125.35217783013468,
2023-02-02 23:00:00,-133.04896594062595,
2023-02-02 23:59:59,-122.07883853886932,c
2023-02-03 00:00:00,-134.9057387133622,
2023-02-03 01:00:00,-134.9057387133622,
2023-02-03 02:30:00,-134.9057387133622,
2023-02-03 03:00:00,-134.9057387133622,
2023-02-03 18:30:00,-134.9057387133622,
2023-02-03 20:00:00,-134.9057387133622,
2023-02-03 23:00:00,-134.9057387133622,
2023-02-03 23:59:59,-135.18591501158969,w
2023-02-06 00:00:00,-85.84999779561792,
2023-02-06 01:00:00,-85.84999779561792,
2023-02-06 02:30:00,-85.84999779561792,
2023-02-06 03:00:00,-85.84999779561792,
2023-02-06 18:30:00,-81.6904666697211,
2023-02-06 20:00:00,-88.5290312270178,
2023-02-06 23:00:00,-87.8396119355447,
2023-02-06 23:59:59,-86.78970599688948,c
2023-02-07 00:00:00,-56.892287003516245,
2023-02-07 01:00:00,-56.892287003516245,
2023-02-07 02:30:00,-56.892287003516245,
2023-02-07 03:00:00,-56.892287003516245,
2023-02-07 18:30:00,-67.53954121637305,
2023-02-07 20:00:00,-87.97373714583466,
2023-02-07 23:00:00,-91.14562285046533,
2023-02-07 23:59:59,-95.82747553506488,c
2023-02-08 00:00:00,-64.45284806323173,
2023-02-08 01:00:00,-64.45284806323173,
2023-02-08 02:30:00,-64.45284806323173,
2023-02-08 03:00:00,-64.45284806323173,
2023-02-08 18:30:00,-71.49890306765961,
2023-02-08 20:00:00,-77.2743022680265,
2023-02-08 23:00:00,-80.23355799909095,
2023-02-08 23:59:59,-77.32325836980894,c
2023-02-09 00:00:00,-86.14590322215525,
2023-02-09 01:00:00,-86.14590322215525,
2023-02-09 02:30:00,-86.14590322215525,
2023-02-09 03:00:00,-86.14590322215525,
2023-02-09 18:30:00,-123.95519312639755,
2023-02-09 20:00:00,-125.55627494818728,
2023-02-09 23:00:00,-120.22954844410928,
2023-02-09 23:59:59,-118.06231464716436,c
2023-02-10 00:00:00,-120.09462377733752,
2023-02-10 01:00:00,-120.09462377733752,
2023-02-10 02:30:00,-120.09462377733752,
2023-02-10 03:00:00,-120.09462377733752,
2023-02-10 18:30:00,-120.09462377733752,
2023-02-10 20:00:00,-120.09462377733752,
2023-02-10 23:00:00,-120.09462377733752,
2023-02-10 23:59:59,-120.4754573746513,w
2023-02-13 00:00:00,-70.5176969582291,
2023-02-13 01:00:00,-70.5176969582291,
2023-02-13 02:30:00,-70.5176969582291,
2023-02-13 03:00:00,-70.5176969582291,
2023-02-13 18:30:00,-49.815331780371324,
2023-02-13 20:00:00,-50.463248211833346,
2023-02-13 23:00:00,-113.11733467667254,
2023-02-13 23:59:59,-91.71282582175085,c
2023-02-14 00:00:00,-97.43091257318852,
2023-02-14 01:00:00,-97.43091257318852,
2023-02-14 02:30:00,-97.43091257318852,
2023-02-14 03:00:00,-97.43091257318852,
2023-02-14 18:30:00,-97.43091257318852,
2023-02-14 20:00:00,-97.43091257318852,
2023-02-14 23:00:00,-97.43091257318852,
2023-02-14 23:59:59,-97.51605444332796,c
