date,Q_ILLIQ_HEDGED_2022_Q1,meta
2022-01-28 00:00:00,-140.83312540298328,
2022-01-28 10:00:00,-141.6116033007084,
2022-01-28 10:30:00,-136.6885643857436,
2022-01-28 12:00:00,-122.61965921768304,
2022-01-28 13:30:00,-117.18394426708137,
2022-01-28 15:00:00,-112.33858131777222,
2022-01-28 15:30:30,-112.33858131777222,
2022-01-28 23:59:59,-114.81424858678722,w
2022-01-31 00:00:00,-119.31073185105181,
2022-01-31 10:00:00,-97.96382641058544,
2022-01-31 10:30:00,-100.94333061108931,
2022-01-31 12:00:00,-94.39605933063847,
2022-01-31 13:30:00,-105.01212656155165,
2022-01-31 15:00:00,-104.70546871874033,
2022-01-31 15:30:30,-104.70546871874033,
2022-01-31 23:59:59,-95.2202357896825,c
2022-02-01 00:00:00,-108.41125490956041,
2022-02-01 10:00:00,-109.32096427888278,
2022-02-01 10:30:00,-102.51822344116269,
2022-02-01 12:00:00,-98.30679376002938,
2022-02-01 13:30:00,-100.92507374388977,
2022-02-01 15:00:00,-103.2312595233031,
2022-02-01 15:30:30,-103.2312595233031,
2022-02-01 23:59:59,-106.82362616801112,c
2022-02-02 00:00:00,-104.36238251432722,
2022-02-02 10:00:00,-116.41448543112992,
2022-02-02 10:30:00,-119.72415804369925,
2022-02-02 12:00:00,-128.59092185398893,
2022-02-02 13:30:00,-124.69521442149804,
2022-02-02 15:00:00,-123.27532138011132,
2022-02-02 15:30:30,-123.27532138011132,
2022-02-02 23:59:59,-128.95197471086087,c
2022-02-03 00:00:00,-143.87388000816668,
2022-02-03 10:00:00,-135.02801608998612,
2022-02-03 10:30:00,-121.20737987531693,
2022-02-03 12:00:00,-107.59940917999448,
2022-02-03 13:30:00,-111.47448449618905,
2022-02-03 15:00:00,-121.46047052979429,
2022-02-03 15:30:30,-121.46047052979429,
2022-02-03 23:59:59,-119.44204196300866,c
2022-02-04 00:00:00,-127.48310526874917,
2022-02-04 10:00:00,-145.255041492811,
2022-02-04 10:30:00,-131.39264335309605,
2022-02-04 12:00:00,-134.7845427001101,
2022-02-04 13:30:00,-134.79049754306246,
2022-02-04 15:00:00,-134.8210114432861,
2022-02-04 15:30:30,-134.8210114432861,
2022-02-04 23:59:59,-126.55519213493211,w
2022-02-07 00:00:00,-121.14744853108424,
2022-02-07 10:00:00,-122.36331766642215,
2022-02-07 10:30:00,-118.04784309866722,
2022-02-07 12:00:00,-118.81720685526892,
2022-02-07 13:30:00,-116.25075160359502,
2022-02-07 15:00:00,-122.06113492643689,
2022-02-07 15:30:30,-122.06113492643689,
2022-02-07 23:59:59,-118.38851260215546,c
2022-02-08 00:00:00,-126.60254114682701,
2022-02-08 10:00:00,-127.01603643725673,
2022-02-08 10:30:00,-126.13542555037014,
2022-02-08 12:00:00,-112.41950193185072,
2022-02-08 13:30:00,-126.69540596611472,
2022-02-08 15:00:00,-118.72412957085994,
2022-02-08 15:30:30,-118.72412957085994,
2022-02-08 23:59:59,-116.45393936066867,c
2022-02-09 00:00:00,-101.632985513363,
2022-02-09 10:00:00,-94.71116179322048,
2022-02-09 10:30:00,-85.35325844995808,
2022-02-09 12:00:00,-82.96281406972857,
2022-02-09 13:30:00,-91.85735719181987,
2022-02-09 15:00:00,-87.51605205302901,
2022-02-09 15:30:30,-87.51605205302901,
2022-02-09 23:59:59,-98.84296550471385,c
2022-02-10 00:00:00,-115.58179362688414,
2022-02-10 10:00:00,-107.03254014092178,
2022-02-10 10:30:00,-103.46574425542107,
2022-02-10 12:00:00,-103.61261066186228,
2022-02-10 13:30:00,-111.84005114275617,
2022-02-10 15:00:00,-116.6862306962953,
2022-02-10 15:30:30,-116.6862306962953,
2022-02-10 23:59:59,-125.44817800436056,c
2022-02-11 00:00:00,-122.41718849244783,
2022-02-11 10:00:00,-138.6573782101674,
2022-02-11 10:30:00,-133.58858807626436,
2022-02-11 12:00:00,-130.87234774294527,
2022-02-11 13:30:00,-133.0660986507974,
2022-02-11 15:00:00,-147.97136597633204,
2022-02-11 15:30:30,-147.97136597633204,
2022-02-11 23:59:59,-141.48859594585952,w
2022-02-14 00:00:00,-151.53816866312062,
2022-02-14 10:00:00,-152.92384699089607,
2022-02-14 10:30:00,-151.48289490155082,
2022-02-14 12:00:00,-159.70155684467352,
2022-02-14 13:30:00,-164.89776803430766,
2022-02-14 15:00:00,-161.53573352002593,
2022-02-14 15:30:30,-161.53573352002593,
2022-02-14 23:59:59,-168.56866352665025,c
2022-02-15 00:00:00,-174.4862205525537,
2022-02-15 10:00:00,-175.83449319381373,
2022-02-15 10:30:00,-176.18111251803347,
2022-02-15 12:00:00,-169.06521445653428,
2022-02-15 13:30:00,-162.31279993344785,
2022-02-15 15:00:00,-154.7542418037802,
2022-02-15 15:30:30,-154.7542418037802,
2022-02-15 23:59:59,-156.74796910713118,c
2022-02-16 00:00:00,-148.14540264630563,
2022-02-16 10:00:00,-158.1929118714186,
2022-02-16 10:30:00,-162.3433430922838,
2022-02-16 12:00:00,-150.95483852041085,
2022-02-16 13:30:00,-152.86100798216697,
2022-02-16 15:00:00,-155.33823482412362,
2022-02-16 15:30:30,-155.33823482412362,
2022-02-16 23:59:59,-161.14306555957594,c
2022-02-17 00:00:00,-148.88208152839002,
2022-02-17 10:00:00,-151.55703362203974,
2022-02-17 10:30:00,-148.40475615168216,
2022-02-17 12:00:00,-137.28959040649104,
2022-02-17 13:30:00,-133.8667525145125,
2022-02-17 15:00:00,-131.84840905484054,
2022-02-17 15:30:30,-131.84840905484054,
2022-02-17 23:59:59,-136.209639558689,c
2022-02-18 00:00:00,-130.34429833480965,
2022-02-18 10:00:00,-130.8165455694378,
2022-02-18 10:30:00,-127.53444561741541,
2022-02-18 12:00:00,-131.5397082471281,
2022-02-18 13:30:00,-134.7026931089519,
2022-02-18 15:00:00,-132.91132380005234,
2022-02-18 15:30:30,-132.91132380005234,
2022-02-18 23:59:59,-126.17613465293638,w
2022-02-21 00:00:00,-126.10052962369043,
2022-02-21 10:00:00,-125.60769067671482,
2022-02-21 10:30:00,-125.59943619850485,
2022-02-21 12:00:00,-125.59943619850485,
2022-02-21 13:30:00,-125.59943619850485,
2022-02-21 15:00:00,-125.59943619850485,
2022-02-21 15:30:30,-125.59943619850485,
2022-02-21 23:59:59,-125.72250447745762,c
2022-02-22 00:00:00,-127.99729800301522,
2022-02-22 10:00:00,-127.59199376757053,
2022-02-22 10:30:00,-112.72964064317397,
2022-02-22 12:00:00,-105.91059261907482,
2022-02-22 13:30:00,-104.02012492535806,
2022-02-22 15:00:00,-102.18636976524563,
