date,SPLV_2021_Q4,meta
2021-10-15 00:00:00,-27.353120174933412,
2021-10-15 10:00:00,-29.077545556697384,
2021-10-15 10:30:00,-32.707114870657804,
2021-10-15 12:00:00,-30.575470000846398,
2021-10-15 13:30:00,-28.56525337262993,
2021-10-15 15:00:00,-29.688172284895803,
2021-10-15 15:30:30,-29.688172284895803,
2021-10-15 23:59:59,-30.051755879595337,w
2021-10-18 00:00:00,-25.231119951597922,
2021-10-18 10:00:00,-15.976702062324502,
2021-10-18 10:30:00,-20.467249895103624,
2021-10-18 12:00:00,-17.164087789956707,
2021-10-18 13:30:00,-10.518011101302204,
2021-10-18 15:00:00,-10.744327355962053,
2021-10-18 15:30:30,-10.744327355962053,
2021-10-18 23:59:59,-6.713665550720027,c
2021-10-19 00:00:00,-7.833652122335579,
2021-10-19 10:00:00,-7.204078958996185,
2021-10-19 10:30:00,-7.425343313227646,
2021-10-19 12:00:00,0.45753674971627945,
2021-10-19 13:30:00,-3.9916446117017834,
2021-10-19 15:00:00,-1.090335160109042,
2021-10-19 15:30:30,-1.090335160109042,
2021-10-19 23:59:59,-1.59387706747847,c
2021-10-20 00:00:00,1.016205753971569,
2021-10-20 10:00:00,2.500747552173099,
2021-10-20 10:30:00,4.551451207104037,
2021-10-20 12:00:00,-11.713557507238658,
2021-10-20 13:30:00,-12.52536439184087,
2021-10-20 15:00:00,-12.389115080275236,
2021-10-20 15:30:30,-12.389115080275236,
2021-10-20 23:59:59,-12.856549550219025,c
2021-10-21 00:00:00,-11.046796729272106,
2021-10-21 10:00:00,-25.23697350474954,
2021-10-21 10:30:00,-27.995482432499056,
2021-10-21 12:00:00,-30.810691059523275,
2021-10-21 13:30:00,-31.081908863270055,
2021-10-21 15:00:00,-32.71100176330549,
2021-10-21 15:30:30,-32.71100176330549,
2021-10-21 23:59:59,-30.88819715374368,c
2021-10-22 00:00:00,-25.254960348361767,
2021-10-22 10:00:00,-37.643297208766555,
2021-10-22 10:30:00,-39.71608503270866,
2021-10-22 12:00:00,-48.6496963746126,
2021-10-22 13:30:00,-51.115198813448146,
2021-10-22 15:00:00,-50.44942851789216,
2021-10-22 15:30:30,-50.44942851789216,
2021-10-22 23:59:59,-53.41762802867309,w
2021-10-25 00:00:00,-49.28519318948106,
2021-10-25 10:00:00,-37.954288689978924,
2021-10-25 10:30:00,-49.90182378737626,
2021-10-25 12:00:00,-42.6390668352729,
2021-10-25 13:30:00,-31.784292951655036,
2021-10-25 15:00:00,-29.97802409493725,
2021-10-25 15:30:30,-29.97802409493725,
2021-10-25 23:59:59,-32.67762542963959,c
2021-10-26 00:00:00,-34.10234273486891,
2021-10-26 10:00:00,-35.713059702644784,
2021-10-26 10:30:00,-35.88414287537195,
2021-10-26 12:00:00,-30.27049046288484,
2021-10-26 13:30:00,-36.77679259997973,
2021-10-26 15:00:00,-40.22937501505645,
2021-10-26 15:30:30,-40.22937501505645,
2021-10-26 23:59:59,-43.837005128781726,c
2021-10-27 00:00:00,-26.36207109544613,
2021-10-27 10:00:00,-32.69069425263284,
2021-10-27 10:30:00,-29.927675956110992,
2021-10-27 12:00:00,-26.94250886832216,
2021-10-27 13:30:00,-33.38229270546911,
2021-10-27 15:00:00,-33.40063851291151,
2021-10-27 15:30:30,-33.40063851291151,
2021-10-27 23:59:59,-35.05225642980504,c
2021-10-28 00:00:00,-30.550363390378674,
