date,EU_HTWO_2022_Q4,meta
2022-10-26 00:00:00,416.9815927219472,
2022-10-26 03:30:00,356.2575692470873,
2022-10-26 04:00:00,383.9034275570207,
2022-10-26 06:00:00,343.4929341494294,
2022-10-26 08:00:00,279.83767642157704,
2022-10-26 10:30:00,178.39857063135014,
2022-10-26 11:00:00,270.12251722398514,
2022-10-26 23:59:59,200.74955317212698,c
2022-10-27 00:00:00,-426.66154487521726,
2022-10-27 03:30:00,-373.0216260650875,
2022-10-27 04:00:00,-338.9231948145043,
2022-10-27 06:00:00,-494.3332173478793,
2022-10-27 08:00:00,-420.35637009720153,
2022-10-27 10:30:00,-289.5062393648443,
2022-10-27 11:00:00,-303.1260140775728,
2022-10-27 23:59:59,-264.5946918555578,c
2022-10-28 00:00:00,-359.5473105181959,
2022-10-28 03:30:00,-276.2797146455582,
2022-10-28 04:00:00,-293.34175119914426,
2022-10-28 06:00:00,-465.3487231097456,
2022-10-28 08:00:00,-423.0423139363413,
2022-10-28 10:30:00,-426.867230699796,
2022-10-28 11:00:00,-392.555635237587,
2022-10-28 23:59:59,-270.8856148677021,w
2022-10-31 00:00:00,-264.56671043072083,
2022-10-31 03:30:00,-264.56671043072083,
2022-10-31 04:00:00,-264.56671043072083,
2022-10-31 06:00:00,-330.20013610737374,
2022-10-31 08:00:00,-237.31184849116858,
2022-10-31 10:30:00,-200.7340091231879,
2022-10-31 11:00:00,-224.31870119292148,
2022-10-31 23:59:59,-348.203071317914,c
2022-11-01 00:00:00,-293.1826445234278,
2022-11-01 03:30:00,-293.1826445234278,
2022-11-01 04:00:00,-293.1826445234278,
2022-11-01 06:00:00,-127.77465774090979,
2022-11-01 08:00:00,-44.04007263015433,
2022-11-01 10:30:00,-220.3522405538938,
2022-11-01 11:00:00,-187.06399157491092,
2022-11-01 23:59:59,-218.49334794175638,c
2022-11-02 00:00:00,-243.37582497082326,
2022-11-02 03:30:00,-243.37582497082326,
2022-11-02 04:00:00,-243.37582497082326,
2022-11-02 06:00:00,-266.2779158706344,
2022-11-02 08:00:00,-261.9723846343338,
2022-11-02 10:30:00,-257.1749189598627,
2022-11-02 11:00:00,-162.7625439343003,
2022-11-02 23:59:59,-189.47428729023795,c
2022-11-03 00:00:00,-194.18709252889266,
2022-11-03 03:30:00,-194.18709252889266,
2022-11-03 04:00:00,-194.18709252889266,
2022-11-03 06:00:00,-290.07413628520476,
2022-11-03 08:00:00,-341.149717096901,
2022-11-03 10:30:00,-347.0051385938557,
2022-11-03 11:00:00,-291.6071180808649,
2022-11-03 23:59:59,-287.70442667964085,c
2022-11-04 00:00:00,-241.809743990274,
2022-11-04 03:30:00,-241.809743990274,
2022-11-04 04:00:00,-241.809743990274,
2022-11-04 06:00:00,-272.93435827068333,
2022-11-04 08:00:00,-252.741445584772,
2022-11-04 10:30:00,-162.55682253359237,
2022-11-04 11:00:00,-147.3649687308964,
2022-11-04 23:59:59,-238.2035882125865,w
2022-11-07 00:00:00,-153.6741671284094,
2022-11-07 03:30:00,-110.88077236957224,
2022-11-07 04:00:00,-112.12890388808546,
2022-11-07 06:00:00,-30.42891274661224,
2022-11-07 08:00:00,-64.60281763834678,
2022-11-07 10:30:00,-140.7108707548466,
2022-11-07 11:00:00,-115.2708113810611,
2022-11-07 23:59:59,-136.2465808248587,c
2022-11-08 00:00:00,-193.21952088859484,
2022-11-08 03:30:00,-276.48998325965067,
2022-11-08 04:00:00,-262.9718836236775,
2022-11-08 06:00:00,-273.8847030531017,
2022-11-08 08:00:00,-307.01302183459643,
2022-11-08 10:30:00,-221.41779771075903,
2022-11-08 11:00:00,-215.2719391416092,
2022-11-08 23:59:59,-190.17391215379325,c
2022-11-09 00:00:00,-223.95440186974906,
2022-11-09 03:30:00,-172.31175827030006,
2022-11-09 04:00:00,-132.3714511423293,
2022-11-09 06:00:00,-145.30042637904648,
2022-11-09 08:00:00,-218.00977367721362,
2022-11-09 10:30:00,-86.84318568460935,
2022-11-09 11:00:00,-26.49790996763545,
2022-11-09 23:59:59,0.0,a
2022-11-10 00:00:00,1.2465918552093171,
2022-11-10 03:30:00,79.32800256713176,
2022-11-10 04:00:00,62.067273647277716,
2022-11-10 06:00:00,180.67520881323526,
2022-11-10 08:00:00,221.2328945028687,
2022-11-10 10:30:00,449.64281190290603,
2022-11-10 11:00:00,395.13641036941885,
2022-11-10 23:59:59,393.89708725948867,c
2022-11-11 00:00:00,396.32508792976137,
2022-11-11 03:30:00,505.67536300769666,
2022-11-11 04:00:00,578.9065697642752,
2022-11-11 06:00:00,724.8051242182048,
2022-11-11 08:00:00,594.7178242935968,
2022-11-11 10:30:00,741.9843217068426,
2022-11-11 11:00:00,785.2568267390818,
2022-11-11 23:59:59,831.5938207168522,w
2022-11-14 00:00:00,883.1565540183221,
2022-11-14 03:30:00,931.7535079277857,
2022-11-14 04:00:00,1211.716603518257,
2022-11-14 06:00:00,1252.9331541150661,
2022-11-14 08:00:00,1555.7659429743028,
2022-11-14 10:30:00,1761.0248028737572,
2022-11-14 11:00:00,1499.4799556727555,
2022-11-14 23:59:59,1402.8923091922386,c
2022-11-15 00:00:00,1682.4624685527222,
