date,NOBL_2021_Q4,meta
2021-10-01 00:00:00,217.99592507185028,
2021-10-01 10:00:00,214.59317722574562,
2021-10-01 10:30:00,230.96077964420456,
2021-10-01 12:00:00,226.5259809133786,
2021-10-01 13:30:00,208.8366158964494,
2021-10-01 15:00:00,206.63603475621522,
2021-10-01 15:30:30,206.63603475621522,
2021-10-01 23:59:59,203.1317358266867,w
2021-10-04 00:00:00,197.40587292514667,
2021-10-04 10:00:00,206.43217400198395,
2021-10-04 10:30:00,225.89642922778395,
2021-10-04 12:00:00,205.01343947118474,
2021-10-04 13:30:00,210.08561233782723,
2021-10-04 15:00:00,216.19780210799817,
2021-10-04 15:30:30,216.19780210799817,
2021-10-04 23:59:59,214.61219729231226,c
2021-10-05 00:00:00,198.29494745322552,
2021-10-05 10:00:00,180.6921102500417,
2021-10-05 10:30:00,169.0643284611359,
2021-10-05 12:00:00,174.69097423024252,
2021-10-05 13:30:00,176.9910382765546,
2021-10-05 15:00:00,168.38161486131756,
2021-10-05 15:30:30,168.38161486131756,
2021-10-05 23:59:59,165.38632918785711,c
2021-10-06 00:00:00,181.70027809609536,
2021-10-06 10:00:00,195.5867233217484,
2021-10-06 10:30:00,195.11633680079345,
2021-10-06 12:00:00,181.342340904675,
2021-10-06 13:30:00,180.3044394629608,
2021-10-06 15:00:00,174.81062999362936,
2021-10-06 15:30:30,174.81062999362936,
2021-10-06 23:59:59,178.8758619474235,c
2021-10-07 00:00:00,168.4666825329492,
2021-10-07 10:00:00,172.36662965037965,
2021-10-07 10:30:00,168.93381476834696,
2021-10-07 12:00:00,167.74431145285953,
2021-10-07 13:30:00,162.47413844611728,
2021-10-07 15:00:00,166.06874939359213,
2021-10-07 15:30:30,166.06874939359213,
2021-10-07 23:59:59,160.67299449473757,c
2021-10-08 00:00:00,157.88769885480167,
2021-10-08 10:00:00,155.24109707643882,
2021-10-08 10:30:00,151.3958478654228,
2021-10-08 12:00:00,159.04803963559635,
2021-10-08 13:30:00,170.61667282072034,
2021-10-08 15:00:00,168.20487386746188,
2021-10-08 15:30:30,168.20487386746188,
2021-10-08 23:59:59,161.0980951726002,w
2021-10-11 00:00:00,155.59759583664302,
2021-10-11 10:00:00,152.63116649979094,
2021-10-11 10:30:00,143.72031828859977,
2021-10-11 12:00:00,136.02035734523966,
2021-10-11 13:30:00,160.60937111260773,
2021-10-11 15:00:00,160.20060726650132,
2021-10-11 15:30:30,160.20060726650132,
2021-10-11 23:59:59,165.73601305890463,c
2021-10-12 00:00:00,161.1051405742238,
2021-10-12 10:00:00,163.65649570731082,
2021-10-12 10:30:00,165.93111542824144,
2021-10-12 12:00:00,163.88635499983496,
2021-10-12 13:30:00,162.78821370092766,
2021-10-12 15:00:00,151.1202419152731,
2021-10-12 15:30:30,151.1202419152731,
2021-10-12 23:59:59,152.81362723507522,c
2021-10-13 00:00:00,150.92825296955488,
2021-10-13 10:00:00,141.86475456334935,
2021-10-13 10:30:00,149.0928579090481,
2021-10-13 12:00:00,151.47608345205168,
2021-10-13 13:30:00,152.28130186413836,
2021-10-13 15:00:00,153.4039391216981,
2021-10-13 15:30:30,153.4039391216981,
2021-10-13 23:59:59,147.49556543391907,c
2021-10-14 00:00:00,139.4712935639559,
2021-10-14 10:00:00,148.92352256696967,
2021-10-14 10:30:00,144.19236883736448,
2021-10-14 12:00:00,141.10806385995005,
2021-10-14 13:30:00,141.55752326424184,
2021-10-14 15:00:00,135.40974561067117,
2021-10-14 15:30:30,135.40974561067117,
2021-10-14 23:59:59,140.93912718634664,c
2021-10-15 00:00:00,125.53015665456898,
2021-10-15 10:00:00,134.3241081241899,
2021-10-15 10:30:00,145.64276977183317,
2021-10-15 12:00:00,146.08075805017359,
2021-10-15 13:30:00,143.55363971545003,
2021-10-15 15:00:00,138.0184315075341,
2021-10-15 15:30:30,138.0184315075341,
2021-10-15 23:59:59,150.39107415309698,w
2021-10-18 00:00:00,142.0466257648729,
2021-10-18 10:00:00,113.38720729358172,
2021-10-18 10:30:00,111.80706379154593,
2021-10-18 12:00:00,119.29804100632387,
2021-10-18 13:30:00,105.35759484691272,
2021-10-18 15:00:00,102.73195429352462,
2021-10-18 15:30:30,102.73195429352462,
2021-10-18 23:59:59,94.89872875766994,c
2021-10-19 00:00:00,71.94103135014674,
2021-10-19 10:00:00,77.86909870116965,
2021-10-19 10:30:00,71.96916880803133,
2021-10-19 12:00:00,71.28264748696697,
2021-10-19 13:30:00,76.35897421913288,
2021-10-19 15:00:00,78.78772382256095,
2021-10-19 15:30:30,78.78772382256095,
2021-10-19 23:59:59,77.50825676526165,c
2021-10-20 00:00:00,79.9372519115443,
2021-10-20 10:00:00,81.39454934846482,
2021-10-20 10:30:00,67.72470869437846,
2021-10-20 12:00:00,89.28919588024546,
2021-10-20 13:30:00,93.08892286803494,
2021-10-20 15:00:00,69.75963285748882,
2021-10-20 15:30:30,69.75963285748882,
2021-10-20 23:59:59,62.59740753817715,c
2021-10-21 00:00:00,65.1972907642617,
2021-10-21 10:00:00,45.08138874032225,
2021-10-21 10:30:00,42.06234493306472,
2021-10-21 12:00:00,51.105340319348855,
2021-10-21 13:30:00,39.046712254169506,
2021-10-21 15:00:00,35.764764528069975,
2021-10-21 15:30:30,35.764764528069975,
2021-10-21 23:59:59,26.23086805411298,c
2021-10-22 00:00:00,5.579138880233723,
2021-10-22 10:00:00,-1.1857563588711315,
2021-10-22 10:30:00,-0.9205563859033568,
2021-10-22 12:00:00,21.144767978898862,
2021-10-22 13:30:00,16.99964016335013,
