date,EU_SBX_AD_2021_Q4,meta
2021-10-26 00:00:00,-1021.5366337079288,
2021-10-26 03:30:00,-1023.2442338530811,
2021-10-26 04:00:00,-1024.4811836115034,
2021-10-26 06:00:00,-997.0923132271159,
2021-10-26 08:00:00,-1034.5349847708692,
2021-10-26 10:30:00,-1025.5995297890322,
2021-10-26 11:00:00,-1026.0397823850535,
2021-10-26 23:59:59,-1016.1201061417062,c
2021-10-27 00:00:00,-1007.9411984835231,
2021-10-27 03:30:00,-953.6062184082673,
2021-10-27 04:00:00,-939.9612923915022,
2021-10-27 06:00:00,-908.2294262942107,
2021-10-27 08:00:00,-873.2641345412151,
2021-10-27 10:30:00,-867.2990343167735,
2021-10-27 11:00:00,-868.3308213507696,
2021-10-27 23:59:59,-863.1769809084315,c
2021-10-28 00:00:00,-840.2738601075503,
2021-10-28 03:30:00,-823.663473556079,
2021-10-28 04:00:00,-754.769044675473,
2021-10-28 06:00:00,-642.6654099311754,
2021-10-28 08:00:00,-569.9347425217074,
2021-10-28 10:30:00,-490.12346085797344,
2021-10-28 11:00:00,-451.29472488542024,
2021-10-28 23:59:59,-470.66016586233764,c
2021-10-29 00:00:00,-470.66016586233764,
2021-10-29 03:30:00,-562.1621858933499,
2021-10-29 04:00:00,-512.6948779600657,
2021-10-29 06:00:00,-431.0396592625634,
2021-10-29 08:00:00,-436.287398392511,
2021-10-29 10:30:00,-429.3977264857558,
2021-10-29 11:00:00,-429.06238940688445,
2021-10-29 23:59:59,-446.28438655294076,w
2021-11-01 00:00:00,-449.03752653554056,
2021-11-01 03:30:00,-449.03752653554056,
2021-11-01 04:00:00,-449.03752653554056,
2021-11-01 06:00:00,-494.41309126835176,
2021-11-01 08:00:00,-406.4446475369018,
2021-11-01 10:30:00,-382.44485066124207,
2021-11-01 11:00:00,-376.5293409200567,
2021-11-01 23:59:59,-395.02021104641517,c
2021-11-02 00:00:00,-404.8438481879466,
2021-11-02 03:30:00,-404.8438481879466,
2021-11-02 04:00:00,-404.8438481879466,
2021-11-02 06:00:00,-390.2212699811407,
2021-11-02 08:00:00,-397.4778997288904,
2021-11-02 10:30:00,-404.88248387264593,
