date,EU_SBX_AD_2021_Q4,meta
2021-11-02 11:00:00,-419.33611776661746,
2021-11-02 23:59:59,-404.82628855640496,c
2021-11-03 00:00:00,-400.5657859362368,
2021-11-03 03:30:00,-400.5657859362368,
2021-11-03 04:00:00,-400.5657859362368,
2021-11-03 06:00:00,-361.56336020159097,
2021-11-03 08:00:00,-394.8774170396355,
2021-11-03 10:30:00,-427.5203778561786,
2021-11-03 11:00:00,-411.1487001433784,
2021-11-03 23:59:59,-412.8959045001511,c
2021-11-04 00:00:00,-406.0389627912741,
2021-11-04 03:30:00,-406.0389627912741,
2021-11-04 04:00:00,-406.0389627912741,
2021-11-04 06:00:00,-365.38633491466135,
2021-11-04 08:00:00,-345.6395984910373,
2021-11-04 10:30:00,-346.4696216104239,
2021-11-04 11:00:00,-316.1913566771191,
2021-11-04 23:59:59,-304.10591872321174,c
2021-11-05 00:00:00,-289.97868257540404,
2021-11-05 03:30:00,-289.97868257540404,
2021-11-05 04:00:00,-289.97868257540404,
2021-11-05 06:00:00,-332.5013511469915,
2021-11-05 08:00:00,-332.5013511469915,
2021-11-05 10:30:00,-332.5013511469915,
2021-11-05 11:00:00,-332.5013511469915,
2021-11-05 23:59:59,-377.86463571077957,w
2021-11-08 00:00:00,-397.877693890925,
2021-11-08 03:30:00,-388.8815942682004,
2021-11-08 04:00:00,-392.13827691271445,
2021-11-08 06:00:00,-392.041744763143,
2021-11-08 08:00:00,-291.1153103597985,
2021-11-08 10:30:00,-291.30785325979787,
2021-11-08 11:00:00,-246.25010829014764,
2021-11-08 23:59:59,-262.6789138373774,c
2021-11-09 00:00:00,-251.78073636931458,
2021-11-09 03:30:00,-184.21506651770687,
2021-11-09 04:00:00,-179.3719762858318,
2021-11-09 06:00:00,-190.4619842929569,
2021-11-09 08:00:00,-211.11975761828262,
2021-11-09 10:30:00,-229.1244412953306,
2021-11-09 11:00:00,-210.46900927334445,
2021-11-09 23:59:59,-218.5937621344874,c
2021-11-10 00:00:00,-214.96637752298147,
2021-11-10 03:30:00,-194.5020910931712,
2021-11-10 04:00:00,-230.50717638165588,
2021-11-10 06:00:00,-228.76420315649784,
2021-11-10 08:00:00,-209.60268007449804,
2021-11-10 10:30:00,-212.60413732738334,
2021-11-10 11:00:00,-219.30266595978492,
2021-11-10 23:59:59,-189.80357890562436,c
2021-11-11 00:00:00,-194.17418712051403,
2021-11-11 03:30:00,-243.440405864465,
2021-11-11 04:00:00,-225.08197532076474,
2021-11-11 06:00:00,-248.69010528126682,
2021-11-11 08:00:00,-197.5914181680614,
2021-11-11 10:30:00,-194.19855206210786,
2021-11-11 11:00:00,-215.94823912033917,
2021-11-11 23:59:59,-200.16361786083098,c
2021-11-12 00:00:00,-211.52034868771398,
2021-11-12 03:30:00,-213.11990118431595,
2021-11-12 04:00:00,-161.51429596365188,
2021-11-12 06:00:00,-178.39408288026516,
2021-11-12 08:00:00,-196.71303865166965,
2021-11-12 10:30:00,-165.48540314428055,
2021-11-12 11:00:00,-171.2029345459905,
2021-11-12 23:59:59,-153.53945523902894,w
2021-11-15 00:00:00,-164.15585667647156,
2021-11-15 03:30:00,-105.33887130918902,
2021-11-15 04:00:00,-52.25291939203953,
2021-11-15 06:00:00,-45.76200972873994,
2021-11-15 08:00:00,-59.16695599025388,
2021-11-15 10:30:00,-16.382407527516534,
2021-11-15 11:00:00,-17.6163580603843,
2021-11-15 23:59:59,9.047363973223128,c
2021-11-16 00:00:00,80.26496173137502,
2021-11-16 03:30:00,55.24361481280084,
2021-11-16 04:00:00,85.72717196243275,
2021-11-16 06:00:00,79.36616801480568,
2021-11-16 08:00:00,0.4647359130017321,
2021-11-16 10:30:00,27.14563926785604,
2021-11-16 11:00:00,35.55670701452027,
2021-11-16 23:59:59,63.45441450128965,c
2021-11-17 00:00:00,97.67150873573064,
2021-11-17 03:30:00,166.10520574089333,
2021-11-17 04:00:00,177.0632146224866,
2021-11-17 06:00:00,154.42505029636868,
2021-11-17 08:00:00,186.78333406337606,
2021-11-17 10:30:00,212.0411925152016,
2021-11-17 11:00:00,201.84074287722797,
2021-11-17 23:59:59,178.9145353062213,c
2021-11-18 00:00:00,275.07366720651544,
2021-11-18 03:30:00,234.10751799253467,
2021-11-18 04:00:00,268.8776791202522,
2021-11-18 06:00:00,215.5481791141642,
2021-11-18 08:00:00,173.33848828854616,
2021-11-18 10:30:00,181.13779047772505,
2021-11-18 11:00:00,173.86452151403364,
2021-11-18 23:59:59,197.23042025587029,c
2021-11-19 00:00:00,268.8515930585136,
2021-11-19 03:30:00,212.6272844501068,
2021-11-19 04:00:00,206.95917561568967,
2021-11-19 06:00:00,163.0046130846299,
2021-11-19 08:00:00,128.0968111440793,
2021-11-19 10:30:00,202.95854910773642,
2021-11-19 11:00:00,182.3154741756798,
2021-11-19 23:59:59,178.31764416037595,w
2021-11-22 00:00:00,231.38440685122305,
2021-11-22 03:30:00,216.85474343139367,
2021-11-22 04:00:00,178.81540194049649,
2021-11-22 06:00:00,164.85694076191749,
2021-11-22 08:00:00,159.58748096526097,
2021-11-22 10:30:00,144.4782993720064,
2021-11-22 11:00:00,134.28649678731472,
2021-11-22 23:59:59,109.5265151269582,c
2021-11-23 00:00:00,83.24765122989038,
2021-11-23 03:30:00,-39.942958887556415,
2021-11-23 04:00:00,7.88628910665193,
2021-11-23 06:00:00,47.27789811817274,
2021-11-23 08:00:00,27.77165324832322,
2021-11-23 10:30:00,16.144245777370543,
2021-11-23 11:00:00,-21.167713677031315,
2021-11-23 23:59:59,0.0,a
2021-11-24 00:00:00,174.7296182313753,
2021-11-24 03:30:00,270.8406974333111,
2021-11-24 04:00:00,322.96528276125946,
2021-11-24 06:00:00,214.7068454311193,
2021-11-24 08:00:00,274.6078277966144,
2021-11-24 10:30:00,311.26140726298945,
2021-11-24 11:00:00,325.9467311925937,
2021-11-24 23:59:59,327.36736950106115,c
2021-11-25 00:00:00,380.4443265991699,
2021-11-25 03:30:00,441.4333457008688,
2021-11-25 04:00:00,443.98781049176387,
2021-11-25 06:00:00,354.5713953219656,
2021-11-25 08:00:00,360.076269235753,
2021-11-25 10:30:00,393.3973399553556,
2021-11-25 11:00:00,403.26517851573135,
2021-11-25 23:59:59,367.2102856482925,c
2021-11-26 00:00:00,210.653065220597,
2021-11-26 03:30:00,313.1249469166919,
2021-11-26 04:00:00,325.43778834702425,
2021-11-26 06:00:00,396.39597421760664,
2021-11-26 08:00:00,406.43047050873156,
2021-11-26 10:30:00,368.42838525714114,
2021-11-26 11:00:00,376.9232670943793,
2021-11-26 23:59:59,357.9966328597634,w
0,357.9966328597634,
0,357.9966328597634,
0,357.9966328597634,
0,357.9966328597634,
0,357.9966328597634,
0,357.9966328597634,
0,357.9966328597634,
0,357.9966328597634,
0,357.9966328597634,
0,357.9966328597634,
0,357.9966328597634,
0,357.9966328597634,
0,357.9966328597634,
0,357.9966328597634,
0,357.9966328597634,
0,357.9966328597634,
0,357.9966328597634,
0,357.9966328597634,
0,357.9966328597634,
0,357.9966328597634,
0,357.9966328597634,
0,357.9966328597634,
0,357.9966328597634,
0,357.9966328597634,
0,357.9966328597634,
0,357.9966328597634,
0,357.9966328597634,
0,357.9966328597634,
0,357.9966328597634,
0,357.9966328597634,
0,357.9966328597634,
0,357.9966328597634,
0,357.9966328597634,
0,357.9966328597634,
0,357.9966328597634,
0,357.9966328597634,
0,357.9966328597634,
0,357.9966328597634,
0,357.9966328597634,
0,357.9966328597634,
2021-11-29 00:00:00,396.94305058229656,
2021-11-29 03:30:00,417.4192495499942,
2021-11-29 04:00:00,417.5400604044239,
2021-11-29 06:00:00,404.86538502816484,
2021-11-29 08:00:00,398.70436376657244,
2021-11-29 10:30:00,457.67990645188956,
2021-11-29 11:00:00,439.97777600542486,
2021-11-29 23:59:59,419.38470193015974,c
2021-11-30 00:00:00,449.3306382291503,
2021-11-30 03:30:00,330.6799605207275,
2021-11-30 04:00:00,306.5767020088556,
2021-11-30 06:00:00,308.57580352291507,
2021-11-30 08:00:00,397.0258015346212,
2021-11-30 10:30:00,343.0881322329519,
2021-11-30 11:00:00,300.48833985188185,
2021-11-30 23:59:59,328.1329558422508,e
2021-12-01 00:00:00,299.6585264436817,
2021-12-01 03:30:00,226.93425235548648,
2021-12-01 04:00:00,290.80844271545357,
2021-12-01 06:00:00,336.43150631835124,
2021-12-01 08:00:00,342.0280891142115,
2021-12-01 10:30:00,408.1670753020758,
2021-12-01 11:00:00,405.0005429368998,
2021-12-01 23:59:59,413.987463035563,c
2021-12-02 00:00:00,388.39748176793864,
2021-12-02 03:30:00,395.8684537990034,
2021-12-02 04:00:00,393.37707990789477,
2021-12-02 06:00:00,388.47277584503036,
2021-12-02 08:00:00,349.60836336352804,
2021-12-02 10:30:00,367.85361302012916,
2021-12-02 11:00:00,360.5774396896745,
2021-12-02 23:59:59,319.30446505351983,c
2021-12-03 00:00:00,341.20112073387645,
2021-12-03 03:30:00,341.0648132425804,
2021-12-03 04:00:00,318.30864947398686,
2021-12-03 06:00:00,349.4146140197463,
2021-12-03 08:00:00,349.50205180000285,
2021-12-03 10:30:00,287.756332357666,
2021-12-03 11:00:00,287.33141945055013,
2021-12-03 23:59:59,325.339758668727,w
2021-12-06 00:00:00,386.6296381034945,
2021-12-06 03:30:00,379.89520126509615,
2021-12-06 04:00:00,376.31522331920723,
2021-12-06 06:00:00,340.9927923568698,
2021-12-06 08:00:00,378.6148345093411,
2021-12-06 10:30:00,408.02926583404815,
2021-12-06 11:00:00,391.7989906140501,
2021-12-06 23:59:59,378.23920285986105,c
2021-12-07 00:00:00,378.23920285986105,
2021-12-07 03:30:00,483.09566469967876,
2021-12-07 04:00:00,481.39946972754706,
2021-12-07 06:00:00,510.50585556128317,
2021-12-07 08:00:00,516.3459276762137,
2021-12-07 10:30:00,533.5850849592557,
2021-12-07 11:00:00,543.4830363892424,
2021-12-07 23:59:59,568.5781123472884,c
2021-12-08 00:00:00,578.9404490246825,
2021-12-08 03:30:00,617.3392727149735,
2021-12-08 04:00:00,582.8356396502136,
2021-12-08 06:00:00,631.4798673879677,
2021-12-08 08:00:00,599.7832304696358,
2021-12-08 10:30:00,613.2974721511173,
2021-12-08 11:00:00,614.8613687779175,
2021-12-08 23:59:59,589.0384933118835,c
2021-12-09 00:00:00,604.5346810145211,
2021-12-09 03:30:00,621.8210227240379,
2021-12-09 04:00:00,652.7161097141279,
2021-12-09 06:00:00,629.3147496333636,
2021-12-09 08:00:00,595.404851607856,
2021-12-09 10:30:00,606.4301648591345,
2021-12-09 11:00:00,609.2522893914029,
2021-12-09 23:59:59,626.6040530083496,c
2021-12-10 00:00:00,600.0789487212314,
2021-12-10 03:30:00,597.855683310811,
2021-12-10 04:00:00,605.7667364361828,
2021-12-10 06:00:00,582.5517013292806,
2021-12-10 08:00:00,555.702340689008,
2021-12-10 10:30:00,548.0101317292988,
2021-12-10 11:00:00,541.0762037720324,
2021-12-10 23:59:59,556.3130500968236,w
2021-12-13 00:00:00,579.711919162979,
2021-12-13 03:30:00,627.7899015346698,
2021-12-13 04:00:00,599.9975440533349,
2021-12-13 06:00:00,603.393796249075,
2021-12-13 08:00:00,582.5078978376455,
2021-12-13 10:30:00,574.1743887673538,
2021-12-13 11:00:00,567.4625142087734,
2021-12-13 23:59:59,605.8258002198145,c
2021-12-14 00:00:00,638.0176695277232,
2021-12-14 03:30:00,608.3872234202172,
2021-12-14 04:00:00,604.7510314467277,
2021-12-14 06:00:00,584.7978075666451,
2021-12-14 08:00:00,598.2266866562836,
2021-12-14 10:30:00,543.659701253709,
2021-12-14 11:00:00,503.91551943414606,
2021-12-14 23:59:59,532.7981999176791,c
2021-12-15 00:00:00,533.6074870099783,
2021-12-15 03:30:00,562.6887934663646,
2021-12-15 04:00:00,554.5514223956202,
2021-12-15 06:00:00,560.4244154238709,
2021-12-15 08:00:00,591.131450038798,
2021-12-15 10:30:00,561.9324324552081,
2021-12-15 11:00:00,549.7443812899078,
2021-12-15 23:59:59,573.2628872930532,c
2021-12-16 00:00:00,646.1911632067145,
2021-12-16 03:30:00,583.4021799166762,
2021-12-16 04:00:00,540.5405749422848,
2021-12-16 06:00:00,589.2160612442285,
2021-12-16 08:00:00,612.3232164554693,
2021-12-16 10:30:00,633.589180047094,
2021-12-16 11:00:00,608.945415767872,
2021-12-16 23:59:59,608.7493359652221,c
2021-12-17 00:00:00,601.8757177256653,
2021-12-17 03:30:00,580.8179293253143,
2021-12-17 04:00:00,576.63731583442,
2021-12-17 06:00:00,572.2905298713886,
2021-12-17 08:00:00,579.1186367529781,
2021-12-17 10:30:00,572.8194428969073,
2021-12-17 11:00:00,604.8249593645073,
2021-12-17 23:59:59,620.2558950379503,w
2021-12-20 00:00:00,540.9050730155955,
2021-12-20 03:30:00,565.958625949339,
2021-12-20 04:00:00,571.1783181293254,
2021-12-20 06:00:00,626.510912133062,
2021-12-20 08:00:00,604.2943008697316,
2021-12-20 10:30:00,590.1142681732763,
2021-12-20 11:00:00,560.7089036172229,
2021-12-20 23:59:59,575.0468496078015,c
2021-12-21 00:00:00,581.4987683899071,
2021-12-21 03:30:00,636.7601132137647,
2021-12-21 04:00:00,623.4609438369985,
2021-12-21 06:00:00,593.736307619984,
2021-12-21 08:00:00,597.9532734689888,
2021-12-21 10:30:00,575.3862536841461,
2021-12-21 11:00:00,581.4175582129355,
2021-12-21 23:59:59,607.6475276256156,c
