date,BOTZ_2021_Q4,meta
2021-12-31 13:30:00,279.86054282175064,
2021-12-31 15:00:00,297.5892325801342,
2021-12-31 15:30:30,297.5892325801342,
2021-12-31 23:59:59,284.77327613782927,e
2022-01-03 00:00:00,230.85431078025886,
2022-01-03 10:00:00,372.15224755085546,
2022-01-03 10:30:00,274.2906258037101,
2022-01-03 12:00:00,342.5680936355002,
2022-01-03 13:30:00,279.35837168736,
2022-01-03 15:00:00,238.41230850663942,
2022-01-03 15:30:30,238.41230850663942,
2022-01-03 23:59:59,225.66975817610546,c
2022-01-04 00:00:00,213.24523018221953,
2022-01-04 10:00:00,263.33830869244593,
2022-01-04 10:30:00,340.5823468878907,
2022-01-04 12:00:00,370.66353979539235,
2022-01-04 13:30:00,364.6877064415339,
2022-01-04 15:00:00,308.8608378463596,
2022-01-04 15:30:30,308.8608378463596,
2022-01-04 23:59:59,249.45338256357263,c
2022-01-05 00:00:00,325.5021221152965,
2022-01-05 10:00:00,226.33166818605423,
2022-01-05 10:30:00,309.5128538773206,
2022-01-05 12:00:00,352.7616350949156,
2022-01-05 13:30:00,413.5831342558431,
2022-01-05 15:00:00,575.7585720525713,
2022-01-05 15:30:30,575.7585720525713,
2022-01-05 23:59:59,629.2912410406234,c
2022-01-06 00:00:00,635.2373294172385,
2022-01-06 10:00:00,634.8153633657275,
2022-01-06 10:30:00,626.4893546468656,
2022-01-06 12:00:00,468.78106563528127,
2022-01-06 13:30:00,503.6099374372916,
2022-01-06 15:00:00,465.7750988212738,
2022-01-06 15:30:30,465.7750988212738,
2022-01-06 23:59:59,522.9588967010404,c
2022-01-07 00:00:00,572.7886647920895,
2022-01-07 10:00:00,463.3362057304048,
2022-01-07 10:30:00,568.3067170383938,
2022-01-07 12:00:00,568.9132961018231,
2022-01-07 13:30:00,603.6807415494504,
2022-01-07 15:00:00,582.2306395825835,
2022-01-07 15:30:30,582.2306395825835,
2022-01-07 23:59:59,625.1677734386503,w
2022-01-10 00:00:00,749.9292379302569,
2022-01-10 10:00:00,792.187414614591,
2022-01-10 10:30:00,858.0923902941804,
2022-01-10 12:00:00,861.6052225091171,
2022-01-10 13:30:00,859.4109312200735,
2022-01-10 15:00:00,787.7838479429447,
