date,INTEL_STYLE_2022_Q1,meta
2022-02-08 00:00:00,-10.584409586174402,
2022-02-08 10:00:00,-20.063564527923347,
2022-02-08 10:30:00,-14.594224297006917,
2022-02-08 12:00:00,-30.89124908972316,
2022-02-08 13:30:00,-20.41258504333979,
2022-02-08 15:00:00,-16.56287697828482,
2022-02-08 15:30:30,-16.56287697828482,
2022-02-08 23:59:59,-22.821298866720014,c
2022-02-09 00:00:00,-33.58853678754939,
2022-02-09 10:00:00,-17.321096367401154,
2022-02-09 10:30:00,-17.300619975974598,
2022-02-09 12:00:00,-23.417392912224585,
2022-02-09 13:30:00,-26.63744697641971,
2022-02-09 15:00:00,-34.22351559797913,
2022-02-09 15:30:30,-34.22351559797913,
2022-02-09 23:59:59,-32.990079828020896,c
2022-02-10 00:00:00,-36.51523828741455,
2022-02-10 10:00:00,-43.43588044955989,
2022-02-10 10:30:00,-51.37126916854224,
2022-02-10 12:00:00,-44.6196999269319,
2022-02-10 13:30:00,-47.24593996618424,
2022-02-10 15:00:00,-44.03018212264989,
2022-02-10 15:30:30,-44.03018212264989,
2022-02-10 23:59:59,-42.78321141443975,c
2022-02-11 00:00:00,-55.89638627404075,
2022-02-11 10:00:00,-38.97225243550865,
2022-02-11 10:30:00,-31.436765798403002,
2022-02-11 12:00:00,-27.86258440904048,
2022-02-11 13:30:00,-25.49579518619001,
2022-02-11 15:00:00,-12.166353902547058,
2022-02-11 15:30:30,-12.166353902547058,
2022-02-11 23:59:59,-8.932675582299396,w
2022-02-14 00:00:00,-4.068314828720133,
2022-02-14 10:00:00,-18.027037332501806,
2022-02-14 10:30:00,-12.580043724089975,
2022-02-14 12:00:00,-7.228460809599881,
2022-02-14 13:30:00,-9.950214759636879,
2022-02-14 15:00:00,-6.853869483290808,
2022-02-14 15:30:30,-6.853869483290808,
2022-02-14 23:59:59,-7.885680806740282,c
2022-02-15 00:00:00,-15.5106684252968,
2022-02-15 10:00:00,-20.84260692586706,
2022-02-15 10:30:00,-10.043235914593481,
2022-02-15 12:00:00,-17.77101727058448,
2022-02-15 13:30:00,-14.975423870458286,
2022-02-15 15:00:00,-20.824956498230193,
2022-02-15 15:30:30,-20.824956498230193,
2022-02-15 23:59:59,-25.72478321230534,c
2022-02-16 00:00:00,-10.090532854725126,
2022-02-16 10:00:00,-6.943948261360859,
2022-02-16 10:30:00,-9.106971381288133,
2022-02-16 12:00:00,-7.327568920607334,
2022-02-16 13:30:00,-8.94639494241919,
2022-02-16 15:00:00,-7.129586330146836,
2022-02-16 15:30:30,-7.129586330146836,
2022-02-16 23:59:59,-11.379193162320334,c
2022-02-17 00:00:00,-16.683494677414814,
2022-02-17 10:00:00,-10.670643682774454,
2022-02-17 10:30:00,-13.315933652657648,
2022-02-17 12:00:00,-4.796084821823939,
2022-02-17 13:30:00,-3.7329088910598927,
2022-02-17 15:00:00,-5.050622283321488,
2022-02-17 15:30:30,-5.050622283321488,
2022-02-17 23:59:59,-1.9192624971509815,c
2022-02-18 00:00:00,0.7877197383574952,
2022-02-18 10:00:00,13.530439312496554,
2022-02-18 10:30:00,16.750769507668963,
2022-02-18 12:00:00,12.6279163356227,
2022-02-18 13:30:00,14.845595243491005,
2022-02-18 15:00:00,14.92984432360467,
2022-02-18 15:30:30,14.92984432360467,
2022-02-18 23:59:59,15.4124921331302,w
2022-02-21 00:00:00,15.4124921331302,
2022-02-21 10:00:00,15.4124921331302,
2022-02-21 10:30:00,15.4124921331302,
2022-02-21 12:00:00,15.4124921331302,
2022-02-21 13:30:00,15.4124921331302,
2022-02-21 15:00:00,15.4124921331302,
2022-02-21 15:30:30,15.4124921331302,
2022-02-21 23:59:59,15.4124921331302,c
2022-02-22 00:00:00,33.1923697299259,
2022-02-22 10:00:00,18.116577904159612,
2022-02-22 10:30:00,6.546668566044644,
2022-02-22 12:00:00,1.1946165868213257,
2022-02-22 13:30:00,-4.193923000604229,
2022-02-22 15:00:00,-5.467198748045448,
2022-02-22 15:30:30,-5.467198748045448,s
2022-02-22 23:59:59,0.0,a
2022-02-23 00:00:00,25.51585023694622,
2022-02-23 10:00:00,27.077907458371442,
2022-02-23 10:30:00,28.28531759788254,
2022-02-23 12:00:00,19.822897646781144,
2022-02-23 13:30:00,25.580701233835214,
2022-02-23 15:00:00,24.78104554274867,
2022-02-23 15:30:30,24.78104554274867,
2022-02-23 23:59:59,27.71006351760198,c
2022-02-24 00:00:00,69.21905775784336,
2022-02-24 10:00:00,46.26387005064245,
2022-02-24 10:30:00,42.51740932576416,
2022-02-24 12:00:00,16.968211224970133,
2022-02-24 13:30:00,8.818559268015349,
2022-02-24 15:00:00,1.075658596804729,
2022-02-24 15:30:30,1.075658596804729,
2022-02-24 23:59:59,-2.855185759960847,c
0,-2.855185759960847,
0,-2.855185759960847,
0,-2.855185759960847,
0,-2.855185759960847,
0,-2.855185759960847,
0,-2.855185759960847,
0,-2.855185759960847,
0,-2.855185759960847,
2022-02-25 00:00:00,1.5524651690686966,
2022-02-25 10:00:00,22.756359820155097,
2022-02-25 10:30:00,17.153716096670138,
