date,AS_MSCI_EM_HK_SC_2022_Q4,meta
2022-09-29 00:00:00,-318.821269933798,
2022-09-29 01:00:00,-318.821269933798,
2022-09-29 02:30:00,-302.4596934844478,
2022-09-29 03:00:00,-314.39256500790935,
2022-09-29 18:30:00,-314.39256500790935,
2022-09-29 20:00:00,-314.39256500790935,
2022-09-29 23:00:00,-375.33570020401964,
2022-09-29 23:59:59,-303.717148086935,c
2022-09-30 00:00:00,-329.2722351369223,
2022-09-30 01:00:00,-329.2722351369223,
2022-09-30 02:30:00,-383.0388107723803,
2022-09-30 03:00:00,-393.81235265080636,
2022-09-30 18:30:00,-393.81235265080636,
2022-09-30 20:00:00,-393.81235265080636,
2022-09-30 23:00:00,-393.81235265080636,
2022-09-30 23:59:59,-333.17790300166473,w
2022-10-03 00:00:00,-286.96729689565234,
2022-10-03 01:00:00,-286.96729689565234,
2022-10-03 02:30:00,-299.2473980325527,
2022-10-03 03:00:00,-291.54642498106665,
2022-10-03 18:30:00,-291.54642498106665,
2022-10-03 20:00:00,-291.54642498106665,
2022-10-03 23:00:00,-291.54642498106665,
2022-10-03 23:59:59,-303.49814871745264,c
2022-10-04 00:00:00,-303.49814871745264,
2022-10-04 01:00:00,-303.49814871745264,
2022-10-04 02:30:00,-303.49814871745264,
2022-10-04 03:00:00,-303.49814871745264,
2022-10-04 18:30:00,-303.49814871745264,
2022-10-04 20:00:00,-303.49814871745264,
2022-10-04 23:00:00,-240.35636511102666,
2022-10-04 23:59:59,-240.35636511102666,c
2022-10-05 00:00:00,-318.0417778456914,
2022-10-05 01:00:00,-318.0417778456914,
2022-10-05 02:30:00,-307.5487244074694,
2022-10-05 03:00:00,-298.2257804251651,
2022-10-05 18:30:00,-298.2257804251651,
2022-10-05 20:00:00,-298.2257804251651,
2022-10-05 23:00:00,-355.5237379580316,
2022-10-05 23:59:59,-332.8324883910547,c
2022-10-06 00:00:00,-318.6237137698363,
2022-10-06 01:00:00,-318.6237137698363,
2022-10-06 02:30:00,-308.3116333998564,
2022-10-06 03:00:00,-317.20269112749014,
