date,EU_MSCI_DM_STAY_2023_Q1,meta
2022-12-29 00:00:00,226.72042851616789,
2022-12-29 03:30:00,222.56108906363124,
2022-12-29 04:00:00,228.97033320565532,
2022-12-29 06:00:00,230.50681604737946,
2022-12-29 08:00:00,226.74446140423794,
2022-12-29 10:30:00,219.59784591445032,
2022-12-29 11:00:00,221.93659066427938,
2022-12-29 23:59:59,220.81870349537786,c
2022-12-30 00:00:00,228.3849485256402,
2022-12-30 03:30:00,231.8603215083462,
2022-12-30 04:00:00,233.27591668375334,
2022-12-30 06:00:00,226.54290063089383,
2022-12-30 08:00:00,225.7284874862354,
2022-12-30 10:30:00,225.60610942512994,
2022-12-30 11:00:00,223.35337836902647,
2022-12-30 23:59:59,221.82940221605605,w
2023-01-02 00:00:00,222.21194064679935,
2023-01-02 03:30:00,226.51924401582954,
2023-01-02 04:00:00,226.1612162040165,
2023-01-02 06:00:00,224.65759875389313,
2023-01-02 08:00:00,224.9922404293281,
2023-01-02 10:30:00,227.95885151867753,
2023-01-02 11:00:00,227.70234952507388,
2023-01-02 23:59:59,223.95528188290712,c
2023-01-03 00:00:00,198.3572466238043,
2023-01-03 03:30:00,180.01484334797192,
2023-01-03 04:00:00,186.27641369608295,
2023-01-03 06:00:00,183.62757894585445,
2023-01-03 08:00:00,175.16366748409519,
2023-01-03 10:30:00,176.21571074341017,
2023-01-03 11:00:00,175.06955531186333,
2023-01-03 23:59:59,172.43399513062457,c
2023-01-04 00:00:00,205.08783496286827,
2023-01-04 03:30:00,173.85720929398587,
2023-01-04 04:00:00,164.03778059116954,
2023-01-04 06:00:00,157.30435816300957,
2023-01-04 08:00:00,149.09873076468736,
2023-01-04 10:30:00,148.83885641266272,
2023-01-04 11:00:00,145.79277768386214,
2023-01-04 23:59:59,144.75053092161153,c
2023-01-05 00:00:00,139.227037820312,
2023-01-05 03:30:00,136.08741239419896,
2023-01-05 04:00:00,133.27109664484064,
2023-01-05 06:00:00,144.46797975839348,
2023-01-05 08:00:00,151.49037733536966,
2023-01-05 10:30:00,134.99634154035155,
2023-01-05 11:00:00,136.57680777425708,
2023-01-05 23:59:59,144.8096117023138,c
2023-01-06 00:00:00,150.17340092903947,
2023-01-06 03:30:00,136.25211854033654,
2023-01-06 04:00:00,138.33024130811043,
2023-01-06 06:00:00,135.7182606066832,
2023-01-06 08:00:00,148.44334260767602,
2023-01-06 10:30:00,142.74336810760968,
2023-01-06 11:00:00,145.16807053475134,
2023-01-06 23:59:59,147.0522597939524,w
2023-01-09 00:00:00,135.0598073007791,
2023-01-09 03:30:00,133.70525331681912,
2023-01-09 04:00:00,138.34053715396198,
2023-01-09 06:00:00,120.10890865175452,
2023-01-09 08:00:00,125.85154870815714,
2023-01-09 10:30:00,141.53241636203063,
2023-01-09 11:00:00,141.69084260395164,
2023-01-09 23:59:59,141.81041691553907,c
2023-01-10 00:00:00,142.589191096701,
2023-01-10 03:30:00,138.3138299770731,
2023-01-10 04:00:00,143.3671689523036,
2023-01-10 06:00:00,144.2385139961583,
2023-01-10 08:00:00,136.575703616317,
2023-01-10 10:30:00,141.98629607940956,
2023-01-10 11:00:00,138.8546808099407,
2023-01-10 23:59:59,132.15365271024908,c
2023-01-11 00:00:00,130.85271578473925,
2023-01-11 03:30:00,128.0543627585049,
2023-01-11 04:00:00,137.74938215513498,
2023-01-11 06:00:00,133.3520471571333,
2023-01-11 08:00:00,124.70583778668762,
2023-01-11 10:30:00,121.98016709242361,
2023-01-11 11:00:00,117.92484975219612,
2023-01-11 23:59:59,114.62262533036952,c
2023-01-12 00:00:00,128.28711831464864,
2023-01-12 03:30:00,115.45902537211754,
2023-01-12 04:00:00,108.96933145515705,
2023-01-12 06:00:00,105.77389011033412,
2023-01-12 08:00:00,111.8750561678179,
2023-01-12 10:30:00,103.20339851202965,
2023-01-12 11:00:00,102.19843713695367,
2023-01-12 23:59:59,105.27776466852181,c
2023-01-13 00:00:00,102.65697410455734,
2023-01-13 03:30:00,113.02600292904,
2023-01-13 04:00:00,115.73246697700516,
2023-01-13 06:00:00,116.26247494216786,
2023-01-13 08:00:00,121.41537696830454,
2023-01-13 10:30:00,111.81229854279644,
2023-01-13 11:00:00,116.66387215279698,
2023-01-13 23:59:59,122.31069481326256,w
2023-01-16 00:00:00,126.21523769147211,
2023-01-16 03:30:00,127.13645292481233,
2023-01-16 04:00:00,124.33219869310525,
2023-01-16 06:00:00,135.10661350229412,
2023-01-16 08:00:00,138.98595535481383,
2023-01-16 10:30:00,135.94765381464214,
2023-01-16 11:00:00,134.97616116534928,
2023-01-16 23:59:59,133.01860209928043,c
2023-01-17 00:00:00,130.01259216600266,
2023-01-17 03:30:00,133.91245880575957,
2023-01-17 04:00:00,133.7280828286756,
2023-01-17 06:00:00,126.24025740925832,
2023-01-17 08:00:00,119.5582538987297,
2023-01-17 10:30:00,130.03414849652174,
2023-01-17 11:00:00,131.48168294415208,
2023-01-17 23:59:59,135.3248386271652,c
2023-01-18 00:00:00,130.69312580450077,
2023-01-18 03:30:00,127.9205190124296,
2023-01-18 04:00:00,133.03234054671762,
2023-01-18 06:00:00,135.63129031288713,
2023-01-18 08:00:00,133.15316287807764,
2023-01-18 10:30:00,152.31025236525068,
2023-01-18 11:00:00,153.75989214436476,
2023-01-18 23:59:59,156.81002054094049,c
2023-01-19 00:00:00,158.40157740654814,
2023-01-19 03:30:00,164.5089005888832,
2023-01-19 04:00:00,165.5608686409542,
2023-01-19 06:00:00,161.3073221872299,
2023-01-19 08:00:00,149.35657779165945,
