date,EU_PHOPIO_2021_Q4,meta
2021-11-19 00:00:00,-247.51258628454707,
2021-11-19 03:30:00,-250.58677578200331,
2021-11-19 04:00:00,-232.5605842002933,
2021-11-19 06:00:00,-220.7241868006222,
2021-11-19 08:00:00,-203.7046581721861,
2021-11-19 10:30:00,-190.4967609662326,
2021-11-19 11:00:00,-191.99510889842713,
2021-11-19 23:59:59,-212.06303294943973,w
2021-11-22 00:00:00,-244.1318371084326,
2021-11-22 03:30:00,-207.36292854197745,
2021-11-22 04:00:00,-218.61568521830668,
2021-11-22 06:00:00,-217.84848792055345,
2021-11-22 08:00:00,-203.55403665013,
2021-11-22 10:30:00,-194.1334772342325,
2021-11-22 11:00:00,-192.41470676265453,
2021-11-22 23:59:59,-199.61717289195985,c
2021-11-23 00:00:00,-163.72233215639972,
2021-11-23 03:30:00,-61.13339115263989,
2021-11-23 04:00:00,-70.34893368060693,
2021-11-23 06:00:00,-114.8898113278101,
2021-11-23 08:00:00,-108.7967608262461,
2021-11-23 10:30:00,-98.15649067325103,
2021-11-23 11:00:00,-95.48623545989904,
2021-11-23 23:59:59,-54.19491893632767,c
2021-11-24 00:00:00,-77.34216447501421,
2021-11-24 03:30:00,-107.8014143014625,
2021-11-24 04:00:00,-122.89748910154049,
2021-11-24 06:00:00,-52.646469445206094,
2021-11-24 08:00:00,-77.7601690958436,
2021-11-24 10:30:00,-80.65624933753315,
2021-11-24 11:00:00,-92.98482831079491,
2021-11-24 23:59:59,-121.74601058749249,c
2021-11-25 00:00:00,-154.10258565275763,
2021-11-25 03:30:00,-177.19092507108508,
2021-11-25 04:00:00,-171.11121448317863,
2021-11-25 06:00:00,-144.43862892965262,
2021-11-25 08:00:00,-160.6222906355233,
2021-11-25 10:30:00,-146.37578691089038,
2021-11-25 11:00:00,-157.17409338262223,
2021-11-25 23:59:59,-186.33399578309036,c
2021-11-26 00:00:00,-86.50058284102124,
2021-11-26 03:30:00,-52.29940886521399,
2021-11-26 04:00:00,-87.39539889091611,
2021-11-26 06:00:00,-80.952693002042,
2021-11-26 08:00:00,-109.50010127272617,
2021-11-26 10:30:00,-110.13461029157588,
2021-11-26 11:00:00,-132.86168323712263,
2021-11-26 23:59:59,-55.54807743111269,w
2021-11-29 00:00:00,-141.21938987372596,
2021-11-29 03:30:00,-144.98311084991292,
2021-11-29 04:00:00,-132.00689605297157,
2021-11-29 06:00:00,-117.84993682051027,
2021-11-29 08:00:00,-117.9532189405254,
2021-11-29 10:30:00,-100.96191531059776,
2021-11-29 11:00:00,-81.29186490183201,
2021-11-29 23:59:59,-74.11074498236667,c
2021-11-30 00:00:00,-41.85887549807558,
2021-11-30 03:30:00,-35.31983753974964,
2021-11-30 04:00:00,-24.95601040051406,
