date,FVD_2021_Sep,meta
2021-09-06 00:00:00,282.3615937545114,
2021-09-06 10:00:00,282.3615937545114,
2021-09-06 10:30:00,282.3615937545114,
2021-09-06 12:00:00,282.3615937545114,
2021-09-06 13:30:00,282.3615937545114,
2021-09-06 15:00:00,282.3615937545114,
2021-09-06 15:30:30,282.3615937545114,
2021-09-06 23:59:59,282.3615937545114,c
2021-09-07 00:00:00,282.3615937545114,
2021-09-07 10:00:00,278.44738349211764,
2021-09-07 10:30:00,280.6229875470281,
2021-09-07 12:00:00,262.43129013852933,
2021-09-07 13:30:00,242.02585406413266,
2021-09-07 15:00:00,234.41314390378807,
2021-09-07 15:30:30,234.41314390378807,
2021-09-07 23:59:59,224.98661831032842,c
2021-09-08 00:00:00,221.19069602734652,
2021-09-08 10:00:00,185.86496512366455,
2021-09-08 10:30:00,180.6204598155178,
2021-09-08 12:00:00,180.34058252637692,
2021-09-08 13:30:00,177.6438499971619,
2021-09-08 15:00:00,188.9749452083957,
2021-09-08 15:30:30,188.9749452083957,
2021-09-08 23:59:59,197.1399324615271,c
2021-09-09 00:00:00,186.32148223211055,
2021-09-09 10:00:00,162.51189971266587,
2021-09-09 10:30:00,165.1304330628309,
2021-09-09 12:00:00,136.44317297953086,
2021-09-09 13:30:00,137.62126645775732,
2021-09-09 15:00:00,122.81559762264602,
2021-09-09 15:30:30,122.81559762264602,
2021-09-09 23:59:59,126.32001564924296,c
2021-09-10 00:00:00,126.86917529231384,
2021-09-10 10:00:00,126.30685311542895,
2021-09-10 10:30:00,125.56487851895618,
2021-09-10 12:00:00,134.58817950031835,
2021-09-10 13:30:00,119.73253960469184,
2021-09-10 15:00:00,107.92703611081366,
2021-09-10 15:30:30,107.92703611081366,
2021-09-10 23:59:59,98.80164862657124,w
2021-09-13 00:00:00,103.90619880730442,
2021-09-13 10:00:00,79.27257870297298,
2021-09-13 10:30:00,74.3364190077768,
2021-09-13 12:00:00,70.30333534791897,
2021-09-13 13:30:00,59.324293468286,
2021-09-13 15:00:00,68.1132116369959,
2021-09-13 15:30:30,68.1132116369959,
2021-09-13 23:59:59,78.99281626593752,c
2021-09-14 00:00:00,74.28485672418007,
2021-09-14 10:00:00,78.16765474094946,
2021-09-14 10:30:00,60.10620383408231,
2021-09-14 12:00:00,45.30039631715398,
2021-09-14 13:30:00,50.00466997900817,
2021-09-14 15:00:00,37.387687921842755,
2021-09-14 15:30:30,37.387687921842755,
2021-09-14 23:59:59,36.167800884097474,c
2021-09-15 00:00:00,31.846988143587353,
2021-09-15 10:00:00,37.565760301289984,
2021-09-15 10:30:00,36.144237928465216,
2021-09-15 12:00:00,27.487924152210567,
2021-09-15 13:30:00,16.40069495057189,
2021-09-15 15:00:00,3.316109487694632,
2021-09-15 15:30:30,3.316109487694632,
2021-09-15 23:59:59,6.254028186152681,c
2021-09-16 00:00:00,-17.527392884522882,
2021-09-16 10:00:00,-16.047644351696036,
2021-09-16 10:30:00,-15.384268492715051,
2021-09-16 12:00:00,-11.243873337954966,
2021-09-16 13:30:00,-6.336676492497773,
2021-09-16 15:00:00,-6.758413384766968,
2021-09-16 15:30:30,-6.758413384766968,
2021-09-16 23:59:59,-17.522392021407725,c
2021-09-17 00:00:00,-20.146660358004794,
2021-09-17 10:00:00,-28.784011717877092,
2021-09-17 10:30:00,-22.961900414687918,
2021-09-17 12:00:00,-27.78309139732316,
2021-09-17 13:30:00,-24.988533605370804,
2021-09-17 15:00:00,-28.665646639711724,
2021-09-17 15:30:30,-28.665646639711724,q
2021-09-17 23:59:59,-13.95078945221725,w
2021-09-20 00:00:00,-31.815647793495287,
2021-09-20 10:00:00,-35.04954036851683,
2021-09-20 10:30:00,-31.24792459766418,
2021-09-20 12:00:00,-11.211260129636926,
2021-09-20 13:30:00,-6.049047659203396,
2021-09-20 15:00:00,-11.164100001182874,
2021-09-20 15:30:30,-11.164100001182874,s
2021-09-20 23:59:59,0.0,a
2021-09-21 00:00:00,-3.753976996065532,
2021-09-21 10:00:00,-1.6824654212245207,
2021-09-21 10:30:00,0.6177338326143342,
2021-09-21 12:00:00,-11.893431386530636,
