date,AS_CIBR_2021_Q4,meta
2021-11-19 00:00:00,122.1615060432141,
2021-11-19 01:00:00,138.4428063981759,
2021-11-19 02:30:00,138.4428063981759,
2021-11-19 03:00:00,138.4428063981759,
2021-11-19 18:30:00,138.4428063981759,
2021-11-19 20:00:00,138.4428063981759,
2021-11-19 23:00:00,138.4428063981759,
2021-11-19 23:59:59,144.20902362112975,w
2021-11-22 00:00:00,263.52583316046,
2021-11-22 01:00:00,261.72734441709144,
2021-11-22 02:30:00,261.72734441709144,
2021-11-22 03:00:00,261.72734441709144,
2021-11-22 18:30:00,261.72734441709144,
2021-11-22 20:00:00,261.72734441709144,
2021-11-22 23:00:00,261.72734441709144,
2021-11-22 23:59:59,263.5253605165781,c
2021-11-23 00:00:00,263.5253605165781,
2021-11-23 01:00:00,263.5253605165781,
2021-11-23 02:30:00,263.5253605165781,
2021-11-23 03:00:00,263.5253605165781,
2021-11-23 18:30:00,263.5253605165781,
2021-11-23 20:00:00,229.8292819815215,
2021-11-23 23:00:00,118.52482161070111,
2021-11-23 23:59:59,118.52482161070111,c
2021-11-24 00:00:00,70.48367183097253,
2021-11-24 01:00:00,159.34157268470335,
2021-11-24 02:30:00,159.34157268470335,
2021-11-24 03:00:00,159.34157268470335,
2021-11-24 18:30:00,159.34157268470335,
2021-11-24 20:00:00,107.2867456517215,
2021-11-24 23:00:00,87.04219094902692,
2021-11-24 23:59:59,71.27320188921112,c
2021-11-25 00:00:00,86.1717620052932,
2021-11-25 01:00:00,40.340427261467994,
2021-11-25 02:30:00,40.340427261467994,
2021-11-25 03:00:00,40.340427261467994,
2021-11-25 18:30:00,40.340427261467994,
2021-11-25 20:00:00,-21.48444492769704,
2021-11-25 23:00:00,-74.39573458920677,
2021-11-25 23:59:59,-112.36170965938982,c
2021-11-26 00:00:00,-126.51724994446704,
2021-11-26 01:00:00,-29.258210592604883,
2021-11-26 02:30:00,-29.258210592604883,
2021-11-26 03:00:00,-29.258210592604883,
2021-11-26 18:30:00,-29.258210592604883,
2021-11-26 20:00:00,-29.258210592604883,
2021-11-26 23:00:00,-29.258210592604883,
2021-11-26 23:59:59,-66.9475016539418,w
2021-11-29 00:00:00,-165.5531710410196,
2021-11-29 01:00:00,-127.93758055189937,
2021-11-29 02:30:00,-127.93758055189937,
2021-11-29 03:00:00,-127.93758055189937,
2021-11-29 18:30:00,-127.93758055189937,
2021-11-29 20:00:00,-241.9544360917389,
2021-11-29 23:00:00,-187.81460297375452,
2021-11-29 23:59:59,-261.7273683003659,c
2021-11-30 00:00:00,-158.4539750380991,
2021-11-30 01:00:00,-226.81077696130887,
2021-11-30 02:30:00,-226.81077696130887,
2021-11-30 03:00:00,-226.81077696130887,
2021-11-30 18:30:00,-226.81077696130887,
2021-11-30 20:00:00,-167.28654212788206,
2021-11-30 23:00:00,-142.52872347128505,
2021-11-30 23:59:59,-207.8959217992724,c
2021-12-01 00:00:00,-229.88691923199622,
2021-12-01 01:00:00,-301.5640226581945,
2021-12-01 02:30:00,-301.5640226581945,
2021-12-01 03:00:00,-301.5640226581945,
2021-12-01 18:30:00,-301.5640226581945,
2021-12-01 20:00:00,-249.96243175546078,
2021-12-01 23:00:00,-255.99918727108707,
2021-12-01 23:59:59,-225.8791065483765,c
2021-12-02 00:00:00,-294.31592416142666,
2021-12-02 01:00:00,-297.3199068555059,
2021-12-02 02:30:00,-297.3199068555059,
2021-12-02 03:00:00,-297.3199068555059,
2021-12-02 18:30:00,-297.3199068555059,
2021-12-02 20:00:00,-320.1573235299966,
2021-12-02 23:00:00,-325.71661387017593,
2021-12-02 23:59:59,-281.7399963878579,c
2021-12-03 00:00:00,-199.16704528673654,
2021-12-03 01:00:00,-230.54758352973295,
2021-12-03 02:30:00,-230.54758352973295,
2021-12-03 03:00:00,-230.54758352973295,
2021-12-03 18:30:00,-230.54758352973295,
2021-12-03 20:00:00,-230.54758352973295,
2021-12-03 23:00:00,-230.54758352973295,
2021-12-03 23:59:59,-212.82777749670277,w
