date,AS_CIBR_2021_Q4,meta
2021-12-06 00:00:00,-150.58979465879202,
2021-12-06 01:00:00,-213.04423122972185,
2021-12-06 02:30:00,-213.04423122972185,
2021-12-06 03:00:00,-213.04423122972185,
2021-12-06 18:30:00,-213.04423122972185,
2021-12-06 20:00:00,-258.7807178008079,
2021-12-06 23:00:00,-220.8010543545588,
2021-12-06 23:59:59,-198.3835533047386,c
2021-12-07 00:00:00,-139.32083749004778,
2021-12-07 01:00:00,-216.89190235117712,
2021-12-07 02:30:00,-216.89190235117712,
2021-12-07 03:00:00,-216.89190235117712,
2021-12-07 18:30:00,-216.89190235117712,
2021-12-07 20:00:00,-218.6154184822717,
2021-12-07 23:00:00,-155.10168548738693,
2021-12-07 23:59:59,-183.85621919353616,c
2021-12-08 00:00:00,-94.29145675121617,
2021-12-08 01:00:00,-64.15216389330999,
2021-12-08 02:30:00,-64.15216389330999,
2021-12-08 03:00:00,-64.15216389330999,
2021-12-08 18:30:00,-64.15216389330999,
2021-12-08 20:00:00,-44.12431788165122,
2021-12-08 23:00:00,-37.1199201428044,
2021-12-08 23:59:59,-58.031918594262606,c
2021-12-09 00:00:00,-51.148372055000436,
2021-12-09 01:00:00,-26.276848111023355,
2021-12-09 02:30:00,-26.276848111023355,
2021-12-09 03:00:00,-26.276848111023355,
2021-12-09 18:30:00,-26.276848111023355,
2021-12-09 20:00:00,47.49344968598416,
2021-12-09 23:00:00,84.64381339064494,
2021-12-09 23:59:59,81.09459983551824,c
2021-12-10 00:00:00,37.41705180647841,
2021-12-10 01:00:00,-0.8814067285711644,
2021-12-10 02:30:00,-0.8814067285711644,
2021-12-10 03:00:00,-0.8814067285711644,
2021-12-10 18:30:00,-0.8814067285711644,
2021-12-10 20:00:00,-0.8814067285711644,
2021-12-10 23:00:00,-0.8814067285711644,
2021-12-10 23:59:59,0.0,a
2021-12-13 00:00:00,7.88540510474013,
2021-12-13 01:00:00,38.032519201167815,
2021-12-13 02:30:00,38.032519201167815,
2021-12-13 03:00:00,38.032519201167815,
2021-12-13 18:30:00,38.032519201167815,
2021-12-13 20:00:00,16.785556438639105,
2021-12-13 23:00:00,-5.425660795854128,
2021-12-13 23:59:59,-24.453016891340667,c
2021-12-14 00:00:00,-23.793461447230584,
2021-12-14 01:00:00,-7.40602330882939,
2021-12-14 02:30:00,-7.40602330882939,
2021-12-14 03:00:00,-7.40602330882939,
2021-12-14 18:30:00,-7.40602330882939,
2021-12-14 20:00:00,19.384497065939286,
2021-12-14 23:00:00,-22.999948265582134,
2021-12-14 23:59:59,-9.165283737138452,c
2021-12-15 00:00:00,-38.420867788545365,
2021-12-15 01:00:00,-95.36359999624801,
2021-12-15 02:30:00,-95.36359999624801,
2021-12-15 03:00:00,-95.36359999624801,
2021-12-15 18:30:00,-95.36359999624801,
2021-12-15 20:00:00,-126.83499175457473,
2021-12-15 23:00:00,-165.40080011808823,
2021-12-15 23:59:59,-162.3887158343332,c
2021-12-16 00:00:00,-82.66104162319061,
2021-12-16 01:00:00,-88.74274790615164,
2021-12-16 02:30:00,-88.74274790615164,
2021-12-16 03:00:00,-88.74274790615164,
2021-12-16 18:30:00,-88.74274790615164,
2021-12-16 20:00:00,-30.12221797985876,
2021-12-16 23:00:00,-22.193225372961024,
2021-12-16 23:59:59,-8.180652686949543,c
2021-12-17 00:00:00,-117.78213906309247,
2021-12-17 01:00:00,-250.33066687684004,
2021-12-17 02:30:00,-250.33066687684004,
2021-12-17 03:00:00,-250.33066687684004,
2021-12-17 18:30:00,-250.33066687684004,
2021-12-17 20:00:00,-250.33066687684004,
2021-12-17 23:00:00,-250.33066687684004,
2021-12-17 23:59:59,-257.192554059784,e
2021-12-20 00:00:00,-108.69533325185148,
2021-12-20 01:00:00,-131.13396857108637,
2021-12-20 02:30:00,-131.13396857108637,
2021-12-20 03:00:00,-131.13396857108637,
2021-12-20 18:30:00,-131.13396857108637,
2021-12-20 20:00:00,-230.29630350227671,
2021-12-20 23:00:00,-217.4797981770298,
2021-12-20 23:59:59,-227.81678709682456,c
2021-12-21 00:00:00,-184.51118825237063,
2021-12-21 01:00:00,-175.06823071987128,
2021-12-21 02:30:00,-175.06823071987128,
2021-12-21 03:00:00,-175.06823071987128,
2021-12-21 18:30:00,-175.06823071987128,
2021-12-21 20:00:00,-189.6982702108471,
2021-12-21 23:00:00,-184.96988652790424,
2021-12-21 23:59:59,-209.61399916771734,c
2021-12-22 00:00:00,-238.7494927353,
2021-12-22 01:00:00,-223.23666416245032,
2021-12-22 02:30:00,-223.23666416245032,
2021-12-22 03:00:00,-223.23666416245032,
2021-12-22 18:30:00,-223.23666416245032,
2021-12-22 20:00:00,-246.8453804803903,
2021-12-22 23:00:00,-295.99095668419614,
2021-12-22 23:59:59,-299.5777015941094,c
2021-12-23 00:00:00,-292.7309001372578,
2021-12-23 01:00:00,-252.15665474447087,
2021-12-23 02:30:00,-252.15665474447087,
2021-12-23 03:00:00,-252.15665474447087,
2021-12-23 18:30:00,-252.15665474447087,
2021-12-23 20:00:00,-249.6013327759556,
2021-12-23 23:00:00,-284.3151913998663,
2021-12-23 23:59:59,-265.7801054441006,c
2021-12-24 00:00:00,-272.8859838346689,
2021-12-24 01:00:00,-296.4915448969532,
2021-12-24 02:30:00,-296.4915448969532,
2021-12-24 03:00:00,-296.4915448969532,
2021-12-24 18:30:00,-296.4915448969532,
2021-12-24 20:00:00,-296.4915448969532,
2021-12-24 23:00:00,-296.4915448969532,
2021-12-24 23:59:59,-299.8827498283881,w
2021-12-27 00:00:00,-382.3987946388388,
2021-12-27 01:00:00,-411.3466693620412,
2021-12-27 02:30:00,-411.3466693620412,
2021-12-27 03:00:00,-411.3466693620412,
2021-12-27 18:30:00,-411.3466693620412,
2021-12-27 20:00:00,-305.2122426484275,
2021-12-27 23:00:00,-243.32583049045752,
2021-12-27 23:59:59,-231.39169262844734,c
2021-12-28 00:00:00,-217.06970071866817,
2021-12-28 01:00:00,-204.10834867356243,
2021-12-28 02:30:00,-204.10834867356243,
2021-12-28 03:00:00,-204.10834867356243,
2021-12-28 18:30:00,-204.10834867356243,
2021-12-28 20:00:00,-298.64019531855047,
2021-12-28 23:00:00,-387.21655447401827,
2021-12-28 23:59:59,-351.1099817850063,c
2021-12-29 00:00:00,-318.9401348322608,
2021-12-29 01:00:00,-307.3530421962587,
2021-12-29 02:30:00,-307.3530421962587,
2021-12-29 03:00:00,-307.3530421962587,
2021-12-29 18:30:00,-307.3530421962587,
2021-12-29 20:00:00,-369.69754186891623,
2021-12-29 23:00:00,-404.6124735084286,
2021-12-29 23:59:59,-410.7933807535537,c
2021-12-30 00:00:00,-410.7933807535537,
2021-12-30 01:00:00,-444.4505135690197,
2021-12-30 02:30:00,-444.4505135690197,
2021-12-30 03:00:00,-444.4505135690197,
2021-12-30 18:30:00,-444.4505135690197,
2021-12-30 20:00:00,-444.4505135690197,
2021-12-30 23:00:00,-444.4505135690197,
2021-12-30 23:59:59,-432.8126105821866,c
2021-12-31 00:00:00,-432.8126105821866,
2021-12-31 01:00:00,-432.8126105821866,
2021-12-31 02:30:00,-432.8126105821866,
2021-12-31 03:00:00,-432.8126105821866,
2021-12-31 18:30:00,-432.8126105821866,
2021-12-31 20:00:00,-432.8126105821866,
2021-12-31 23:00:00,-432.8126105821866,
2021-12-31 23:59:59,-432.8126105821866,w
