date,FINX_2021_Q2,meta
2021-06-30 13:30:00,145.71643723201396,
2021-06-30 15:00:00,187.9353602446995,
2021-06-30 15:30:30,187.9353602446995,
2021-06-30 23:59:59,106.43640613958678,e
2021-07-01 00:00:00,133.56772241116755,
2021-07-01 10:00:00,113.07977036177749,
2021-07-01 10:30:00,134.8414506594404,
2021-07-01 12:00:00,131.50313917166545,
2021-07-01 13:30:00,95.65477251414336,
2021-07-01 15:00:00,100.30110934887648,
2021-07-01 15:30:30,100.30110934887648,
2021-07-01 23:59:59,72.79807808488727,c
2021-07-02 00:00:00,97.84759543317045,
2021-07-02 10:00:00,70.31015861415835,
2021-07-02 10:30:00,43.8895268406568,
2021-07-02 12:00:00,19.500030251429735,
2021-07-02 13:30:00,23.970975418070566,
2021-07-02 15:00:00,35.98999077083886,
2021-07-02 15:30:30,35.98999077083886,
2021-07-02 23:59:59,33.96011154253392,w
2021-07-05 00:00:00,41.28342638831168,
2021-07-05 10:00:00,25.319486482137336,
2021-07-05 10:30:00,27.149348783302003,
2021-07-05 12:00:00,30.031674475265845,
2021-07-05 13:30:00,31.064103372300906,
2021-07-05 15:00:00,30.93339495287705,
2021-07-05 15:30:30,30.93339495287705,
2021-07-05 23:59:59,35.18066401682995,c
2021-07-06 00:00:00,71.84088405498346,
2021-07-06 10:00:00,-3.905708622048678,
2021-07-06 10:30:00,-34.384165629750214,
2021-07-06 12:00:00,-25.93209356518787,
2021-07-06 13:30:00,-43.731043888785734,
2021-07-06 15:00:00,-46.79437048304703,
2021-07-06 15:30:30,-46.79437048304703,
2021-07-06 23:59:59,-19.76846149224525,c
2021-07-07 00:00:00,-46.86860927492603,
2021-07-07 10:00:00,-67.41812057826428,
2021-07-07 10:30:00,-82.81511465561516,
2021-07-07 12:00:00,-49.734121930983974,
2021-07-07 13:30:00,-70.9177757467994,
2021-07-07 15:00:00,-53.51190460529028,
2021-07-07 15:30:30,-53.51190460529028,
2021-07-07 23:59:59,-40.35302533366803,c
2021-07-08 00:00:00,-122.20759798172048,
2021-07-08 10:00:00,-84.43711356244762,
2021-07-08 10:30:00,-85.22238730893514,
2021-07-08 12:00:00,-9.009615305292982,
2021-07-08 13:30:00,6.865914700847497,
2021-07-08 15:00:00,-63.10440404537326,
2021-07-08 15:30:30,-63.10440404537326,
2021-07-08 23:59:59,-52.07990283475465,c
2021-07-09 00:00:00,2.6115239277680757,
2021-07-09 10:00:00,-21.367285542282843,
2021-07-09 10:30:00,-31.9423072948116,
2021-07-09 12:00:00,-31.820510786817977,
2021-07-09 13:30:00,-56.74249115306202,
2021-07-09 15:00:00,-67.82500530670723,
2021-07-09 15:30:30,-67.82500530670723,
2021-07-09 23:59:59,-78.1657571545179,w
2021-07-12 00:00:00,-48.68381642086547,
2021-07-12 10:00:00,-29.941835756987984,
2021-07-12 10:30:00,-60.30657003959118,
2021-07-12 12:00:00,-31.95439525274378,
2021-07-12 13:30:00,-32.18668668102441,
2021-07-12 15:00:00,-25.284975861150315,
2021-07-12 15:30:30,-25.284975861150315,
2021-07-12 23:59:59,-18.278494617361275,c
2021-07-13 00:00:00,-24.466700698654222,
2021-07-13 10:00:00,-60.43488640019723,
2021-07-13 10:30:00,-52.007319227199105,
2021-07-13 12:00:00,-54.54499639629762,
2021-07-13 13:30:00,-69.88174156857212,
2021-07-13 15:00:00,-97.63806272231636,
2021-07-13 15:30:30,-97.63806272231636,
2021-07-13 23:59:59,-92.16882844568067,c
2021-07-14 00:00:00,-104.83785632899662,
2021-07-14 10:00:00,-112.49334383923883,
2021-07-14 10:30:00,-134.8476482388005,
2021-07-14 12:00:00,-153.99640235893412,
2021-07-14 13:30:00,-147.55613149416558,
2021-07-14 15:00:00,-150.33041558407376,
2021-07-14 15:30:30,-150.33041558407376,
2021-07-14 23:59:59,-149.15731534626593,c
