date,CAD_BBCA_2022_Q2,meta
2022-05-20 00:00:00,-453.7931399849008,
2022-05-20 10:00:00,-521.8634066996624,
2022-05-20 10:30:00,-495.816588831281,
2022-05-20 12:00:00,-400.3010457092123,
2022-05-20 13:30:00,-371.927172675003,
2022-05-20 15:00:00,-366.86018906708387,
2022-05-20 15:30:30,-366.86018906708387,
2022-05-20 23:59:59,-431.34716979973064,w
2022-05-23 00:00:00,-431.34716979973064,
2022-05-23 10:00:00,-431.34716979973064,
2022-05-23 10:30:00,-431.34716979973064,
2022-05-23 12:00:00,-431.34716979973064,
2022-05-23 13:30:00,-431.34716979973064,
2022-05-23 15:00:00,-431.34716979973064,
2022-05-23 15:30:30,-431.34716979973064,
2022-05-23 23:59:59,-431.34716979973064,c
2022-05-24 00:00:00,-390.0246424861093,
2022-05-24 10:00:00,-182.36693638965744,
2022-05-24 10:30:00,-208.57447455700913,
2022-05-24 12:00:00,-163.5920107761226,
2022-05-24 13:30:00,-140.2140093332523,
2022-05-24 15:00:00,-165.5313805439323,
2022-05-24 15:30:30,-165.5313805439323,
2022-05-24 23:59:59,-199.19945595934132,c
2022-05-25 00:00:00,-182.70181081682858,
2022-05-25 10:00:00,-107.6155550260005,
2022-05-25 10:30:00,-215.15024848572602,
2022-05-25 12:00:00,-201.6821754619632,
2022-05-25 13:30:00,-199.07341223702815,
2022-05-25 15:00:00,-237.51881656665546,
2022-05-25 15:30:30,-237.51881656665546,
2022-05-25 23:59:59,-244.0806987658848,c
2022-05-26 00:00:00,-249.33371385970622,
2022-05-26 10:00:00,-365.39564248940087,
2022-05-26 10:30:00,-402.1192897928863,
2022-05-26 12:00:00,-411.1685562634393,
2022-05-26 13:30:00,-528.8294015475176,
2022-05-26 15:00:00,-611.4835361999549,
2022-05-26 15:30:30,-611.4835361999549,
2022-05-26 23:59:59,-590.0027285552446,c
2022-05-27 00:00:00,-590.0027285552446,
2022-05-27 10:00:00,-532.9082534424224,
2022-05-27 10:30:00,-549.1254543772457,
2022-05-27 12:00:00,-523.742884154989,
2022-05-27 13:30:00,-530.8305817230166,
2022-05-27 15:00:00,-551.3521006163692,
2022-05-27 15:30:30,-551.3521006163692,
2022-05-27 23:59:59,-551.3521006163692,w
2022-05-30 00:00:00,-551.3521006163692,
2022-05-30 10:00:00,-621.7618409694915,
