date,AS_FTSE_EM_STAY_2023_Q1,meta
2023-01-06 00:00:00,-343.3907087215266,
2023-01-06 01:00:00,-343.3907087215266,
2023-01-06 02:30:00,-335.6265298081453,
2023-01-06 03:00:00,-328.63289844896553,
2023-01-06 18:30:00,-328.63289844896553,
2023-01-06 20:00:00,-328.63289844896553,
2023-01-06 23:00:00,-328.63289844896553,
2023-01-06 23:59:59,-298.5477892756776,w
2023-01-09 00:00:00,-290.402841125745,
2023-01-09 01:00:00,-290.402841125745,
2023-01-09 02:30:00,-270.60799448270336,
2023-01-09 03:00:00,-282.36469870256406,
2023-01-09 18:30:00,-282.36469870256406,
2023-01-09 20:00:00,-282.36469870256406,
2023-01-09 23:00:00,-253.02299821225506,
2023-01-09 23:59:59,-276.7674953276937,c
2023-01-10 00:00:00,-263.99554456192936,
2023-01-10 01:00:00,-263.99554456192936,
2023-01-10 02:30:00,-263.0793825018609,
2023-01-10 03:00:00,-277.27290040991693,
2023-01-10 18:30:00,-277.27290040991693,
2023-01-10 20:00:00,-277.27290040991693,
2023-01-10 23:00:00,-253.52600150724766,
2023-01-10 23:59:59,-231.7443699608607,c
2023-01-11 00:00:00,-231.26104290682042,
2023-01-11 01:00:00,-231.26104290682042,
2023-01-11 02:30:00,-232.49601893589943,
2023-01-11 03:00:00,-208.05635169264997,
2023-01-11 18:30:00,-208.05635169264997,
2023-01-11 20:00:00,-208.05635169264997,
2023-01-11 23:00:00,-177.22167821854646,
2023-01-11 23:59:59,-171.63698808817526,c
2023-01-12 00:00:00,-191.28822317683398,
2023-01-12 01:00:00,-191.28822317683398,
2023-01-12 02:30:00,-193.43552621983645,
2023-01-12 03:00:00,-181.37035627765044,
2023-01-12 18:30:00,-181.37035627765044,
2023-01-12 20:00:00,-181.37035627765044,
2023-01-12 23:00:00,-190.445250392876,
2023-01-12 23:59:59,-182.6668780835571,c
2023-01-13 00:00:00,-184.14935204282529,
2023-01-13 01:00:00,-184.14935204282529,
2023-01-13 02:30:00,-182.04686646901655,
2023-01-13 03:00:00,-202.64631086809732,
2023-01-13 18:30:00,-202.64631086809732,
2023-01-13 20:00:00,-202.64631086809732,
2023-01-13 23:00:00,-202.64631086809732,
2023-01-13 23:59:59,-166.80669507269567,w
2023-01-16 00:00:00,-163.58872005490457,
2023-01-16 01:00:00,-163.58872005490457,
2023-01-16 02:30:00,-156.01406032379418,
2023-01-16 03:00:00,-156.5671479714415,
2023-01-16 18:30:00,-156.5671479714415,
2023-01-16 20:00:00,-156.5671479714415,
2023-01-16 23:00:00,-102.10486962730374,
2023-01-16 23:59:59,-118.22122907244784,c
2023-01-17 00:00:00,-135.59512163801264,
2023-01-17 01:00:00,-135.59512163801264,
2023-01-17 02:30:00,-95.94007624124197,
2023-01-17 03:00:00,-127.66789229306187,
2023-01-17 18:30:00,-127.66789229306187,
