date,CLOU_2022_Q2,meta
2022-04-22 00:00:00,742.8016080032232,
2022-04-22 10:00:00,820.559357722783,
2022-04-22 10:30:00,742.7106189383842,
2022-04-22 12:00:00,673.535705407837,
2022-04-22 13:30:00,582.2674269545644,
2022-04-22 15:00:00,624.5438852648492,
2022-04-22 15:30:30,624.5438852648492,
2022-04-22 23:59:59,623.5667623659417,w
2022-04-25 00:00:00,535.6224726125267,
2022-04-25 10:00:00,652.3329398595822,
2022-04-25 10:30:00,731.881990469177,
2022-04-25 12:00:00,700.8786582198106,
2022-04-25 13:30:00,722.9045423494783,
2022-04-25 15:00:00,696.9728271661472,
2022-04-25 15:30:30,696.9728271661472,
2022-04-25 23:59:59,717.2645340294428,c
2022-04-26 00:00:00,649.7952009908556,
2022-04-26 10:00:00,483.8990995853544,
2022-04-26 10:30:00,514.8546777138697,
2022-04-26 12:00:00,465.40385921752136,
2022-04-26 13:30:00,452.4624769735731,
2022-04-26 15:00:00,536.0776516059811,
2022-04-26 15:30:30,536.0776516059811,
2022-04-26 23:59:59,419.4821855737798,c
2022-04-27 00:00:00,393.7495177227554,
2022-04-27 10:00:00,501.2748680703619,
2022-04-27 10:30:00,346.9852669476161,
2022-04-27 12:00:00,320.89653483673123,
2022-04-27 13:30:00,371.59277801851226,
2022-04-27 15:00:00,344.1687890521928,
2022-04-27 15:30:30,344.1687890521928,
2022-04-27 23:59:59,337.1836689716117,c
2022-04-28 00:00:00,392.7498866758863,
2022-04-28 10:00:00,335.38774613407236,
2022-04-28 10:30:00,223.6184975480303,
2022-04-28 12:00:00,249.6107332346494,
2022-04-28 13:30:00,530.3516306098907,
2022-04-28 15:00:00,645.7715473927794,
2022-04-28 15:30:30,645.7715473927794,
2022-04-28 23:59:59,618.3277275441576,c
2022-04-29 00:00:00,519.4997841438696,
2022-04-29 10:00:00,752.5137279385851,
2022-04-29 10:30:00,572.3903646531919,
2022-04-29 12:00:00,565.3228134817048,
2022-04-29 13:30:00,502.12043613942456,
2022-04-29 15:00:00,367.63447271837435,
2022-04-29 15:30:30,367.63447271837435,
2022-04-29 23:59:59,293.11324633972504,w
2022-05-02 00:00:00,279.1597008909432,
2022-05-02 10:00:00,489.69430996233245,
2022-05-02 10:30:00,495.8445940762588,
2022-05-02 12:00:00,489.8957668434989,
2022-05-02 13:30:00,439.81502509493816,
2022-05-02 15:00:00,479.6142305212204,
2022-05-02 15:30:30,479.6142305212204,
2022-05-02 23:59:59,583.0627414740591,c
2022-05-03 00:00:00,534.6780938824102,
2022-05-03 10:00:00,627.4327198696849,
2022-05-03 10:30:00,598.0996901496699,
2022-05-03 12:00:00,528.417663953963,
2022-05-03 13:30:00,502.8421639614937,
2022-05-03 15:00:00,527.3882716539713,
2022-05-03 15:30:30,527.3882716539713,
2022-05-03 23:59:59,486.62724916353477,c
2022-05-04 00:00:00,503.32041116959203,
2022-05-04 10:00:00,275.8384057742453,
2022-05-04 10:30:00,249.3409143557003,
2022-05-04 12:00:00,299.9265870220654,
2022-05-04 13:30:00,428.1924023391541,
2022-05-04 15:00:00,559.0622417608176,
2022-05-04 15:30:30,559.0622417608176,
2022-05-04 23:59:59,716.1761196949703,c
2022-05-05 00:00:00,318.9632762817603,
2022-05-05 10:00:00,125.97705045744192,
2022-05-05 10:30:00,106.5834129853381,
2022-05-05 12:00:00,90.05768120018979,
2022-05-05 13:30:00,173.62889460281917,
2022-05-05 15:00:00,95.10231030919908,
2022-05-05 15:30:30,95.10231030919908,
2022-05-05 23:59:59,147.82574351186008,c
2022-05-06 00:00:00,86.0390420774454,
2022-05-06 10:00:00,-164.54784222392504,
2022-05-06 10:30:00,-41.21859456337597,
2022-05-06 12:00:00,90.70392545795062,
2022-05-06 13:30:00,114.70654683047519,
2022-05-06 15:00:00,23.094516690116507,
2022-05-06 15:30:30,23.094516690116507,
2022-05-06 23:59:59,0.0,a
2022-05-09 00:00:00,-121.43405538626189,
2022-05-09 10:00:00,-183.03649201983785,
2022-05-09 10:30:00,-249.88822308135923,
2022-05-09 12:00:00,-252.8762488598045,
2022-05-09 13:30:00,-261.2503283439239,
2022-05-09 15:00:00,-319.0832659356697,
2022-05-09 15:30:30,-319.0832659356697,
2022-05-09 23:59:59,-372.04930395777956,c
2022-05-10 00:00:00,-235.87204358730355,
2022-05-10 10:00:00,-302.06309837781623,
2022-05-10 10:30:00,-332.0525595393642,
2022-05-10 12:00:00,-426.14350757928514,
2022-05-10 13:30:00,-375.7195509734586,
2022-05-10 15:00:00,-284.85009582361636,
2022-05-10 15:30:30,-284.85009582361636,u
2022-05-10 23:59:59,-356.9738937627669,c
2022-05-11 00:00:00,-433.15895996208405,
2022-05-11 10:00:00,-382.9428163931725,
2022-05-11 10:30:00,-383.028889433514,
